	voice Midi Diff								present		 Best		Sec

printNotes: i= 100-<2549 2545   4>,  	 G2 --   1/4th.(187) <-1*sela> 	V156 - M156	=  +  %+0  	q=-31  %-20  	 0.900(83)<-- same note
printNotes: i= 101-<1776 2350 -574>,  	 F2 --  1/16th.( 47) <      > 	V 41 - M 31	=+10  %+24  	q= -6  %-15  	 0.232(83)<-----%24   %15

printNotes: i= 102-<2290 2545 -255>,  	 G2 --    1/4th(125) <      > 	V128 - M 31	=+97  %+76  	q= +3  %+2  	 0.737(83)<-----%76   %2

printNotes: i= 103-<2529 2545 -16>,  	 G2 --   1/8th.( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(83)<-- same note
printNotes: i= 104-<2529 2545 -16>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note


silence
printNotes: i= 105-<   0   40 -40>,  	Slc --  1/4th..(218) <      > 	V210 - M249	=-39  %-19  	q= -8  %-4  	 1.213(83)<-----%19   %4

printNotes: i= 106-<1773 2059 -286>,  	 D2 --    1/8th( 62) <      > 	V 76 - M 31	=+45  %+59  	q=+14  %+18  	 0.435(83)<-----%59   %18

printNotes: i= 107-<2468 2545 -77>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 108-<2341 2350  -9>,  	 F2 --   1/8th.( 93) <      > 	V 79 - M 93	=-14  %-18  	q=-14  %-18  	 0.453(83)
printNotes: i= 109-<2544 2545  -1>,  	 G2 --   1/8th.( 93) <      > 	V 84 - M 62	=+22  %+26  	q= -9  %-11  	 0.482(83)<-----%26   %11

printNotes: i= 110-<2543 2545  -2>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 111-<1974 2350 -376>,  	 F2 --   1/4th.(187) <-1*sela> 	V163 - M125	=+38  %+23  	q=-24  %-15  	 0.940(83)<-----%23   %15

printNotes: i= 112-<1940 2189 -249>,  	Ek2 --    1/8th( 62) <      > 	V 61 - M 31	=+30  %+49  	q= -1  %-2  	 0.348(83)<-----%49   %2

printNotes: i= 113-<2354 2350   4>,  	 F2 --   1/4th.(187) <      > 	V176 - M125	=+51  %+29  	q=-11  %-6  	 1.016(83)<-----%29   %6

printNotes: i= 114-<2250 2545 -295>,  	 G2 --  1/8th..(109) <      > 	V102 - M 62	=+40  %+39  	q= -7  %-7  	 0.586(83)<-----%39   %7



silence
printNotes: i= 115-<   0   40 -40>,  	Slc --    whole(498) <6*sela> 	V600 - M436	=+164  %+27  	q=+102  %+17  	 3.477(83)<-----%27   %17

printNotes: i= 116-<1748 2742 -994>,  	 A2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 117-<1954 2545 -591>,  	 G2 --    1/8th( 62) <      > 	V 75 - M 31	=+44  %+59  	q=+13  %+17  	 0.430(83)<-----%59   %17

printNotes: i= 118-<1977 2742 -765>,  	 A2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(83)<-----%48   %10

printNotes: i= 119-<2084 2545 -461>,  	 G2 --    1/8th( 62) <      > 	V 58 - M 47	=+11  %+19  	q= -4  %-7  	 0.331(83)<-----%19   %7

printNotes: i= 120-<2733 2742  -9>,  	 A2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 121-<2547 2545   2>,  	 G2 --  1/16th.( 47) <      > 	V 40 - M 47	= -7  %-18  	q= -7  %-18  	 0.226(83)
printNotes: i= 122-<2721 2742 -21>,  	 A2 --  1/32nd.( 23) <      > 	V 22 - M 16	= +6  %+27  	q= -1  %-5  	 0.122(83)<-----%27   %5

printNotes: i= 123-<2551 2545   6>,  	 G2 --  1/16th.( 47) <      > 	V 49 - M 31	=+18  %+37  	q= +2  %+4  	 0.279(83)<-----%37   %4

printNotes: i= 124-<1641 2350 -709>,  	 F2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 125-<2190 2350 -160>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 126-<2508 2545 -37>,  	 G2 --  1/16th.( 47) <      > 	V 46 - M 47	= -1  %-2  	q= -1  %-2  	 0.261(83)
printNotes: i= 127-<2738 2742  -4>,  	 A2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 128-<2572 2545  27>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 47	=-14  %-42  	q= +2  %+6  	 0.186(83)<-----%42   %6

printNotes: i= 129-<2359 2350   9>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 130-<2556 2545  11>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 131-<2735 2742  -7>,  	 A2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 132-<2554 2545   9>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 133-<2723 2742 -19>,  	 A2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 134-<2891 2842  49>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 135-<2724 2742 -18>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i= 136-<2884 2842  42>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 16	= +8  %+33  	q= +1  %+4  	 0.134(83)<-----%33   %4

printNotes: i= 137-<2744 2742   2>,  	 A2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 138-<2540 2545  -5>,  	 G2 --  1/8th..(109) <      > 	V102 - M125	=-23  %-23  	q= -7  %-7  	 0.586(83)<-----%23   %7

printNotes: i= 139-<2275 2350 -75>,  	 F2 --   1/4th.(187) <      > 	V200 - M187	=+13  %+6  	q=+13  %+6  	 1.155(83)
printNotes: i= 140-<2204 2189  15>,  	Ek2 --    1/8th( 62) <      > 	V 66 - M 62	= +4  %+6  	q= +4  %+6  	 0.377(83)
