	voice Midi Diff								present		 Best		Sec

printNotes: i= 96-<2074 2070   4>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(82)<-----%138   %8 <<

printNotes: i= 97-<1548 2196 -648>,  	Ek2 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(82)<-----%30   %7

printNotes: i= 98-<2211 2355 -144>,  	 F2 --    1/4th(125) <1*sela> 	V144 - M125	=+19  %+13  	q=+19  %+13  	 0.830(82)
printNotes: i= 99-<2577 2558  19>,  	 G2 --    1/4th(125) <1*sela> 	V151 - M 31	=+120  %+79  	q=+26  %+17  	 0.871(82)<-----%79   %17



silence
printNotes: i= 100-< 383   40 343>,  	Slc --  1/8th..(110) <      > 	V116 - M 94	=+22  %+19  	q= +6  %+5  	 0.668(82)<-----%19   %5

printNotes: i= 101-<2401 2558 -157>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(82)<-----%33   %0

printNotes: i= 102-<2258 2355 -97>,  	 F2 --  1/16th.( 47) <      > 	V 40 - M 47	= -7  %-18  	q= -7  %-18  	 0.226(82)
printNotes: i= 103-<2576 2558  18>,  	 G2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(82)
printNotes: i= 104-<2364 2355   9>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 105-<2546 2558 -12>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(82)
printNotes: i= 106-<2343 2355 -12>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 107-<2511 2558 -47>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(82)<-----%78   %33 <<

printNotes: i= 108-<2371 2355  16>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(82)
printNotes: i= 109-<2530 2558 -28>,  	 G2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(82)<-----%167   %0 <<

printNotes: i= 110-<2371 2355  16>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(82)<-----%11   %4

