	voice Midi Diff								present		 Best		Sec

printNotes: i= 95-<2206 2177  29>,  	Ek2 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(93)
printNotes: i= 96-<2375 2335  40>,  	 F2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(93)
printNotes: i= 97-<2201 2177  24>,  	Ek2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(93)
printNotes: i= 98-<2043 2042   1>,  	 D2 --  1/64th.( 10) <      > 	V 11 - M 14	= -3  %-27  	q= +1  %+9  	 0.058(93)<-----%27   %9 <<

printNotes: i= 99-<2191 2177  14>,  	Ek2 --  1/64th.( 10) <      > 	V 11 - M 14	= -3  %-27  	q= +1  %+9  	 0.058(93)<-----%27   %9 <<

printNotes: i= 100-<2024 2042 -18>,  	 D2 --   1/16th( 28) <      > 	V 33 - M 56	=-23  %-70  	q= +5  %+15  	 0.186(93)<-----%70   %15

printNotes: i= 101-<2249 2335 -86>,  	 F2 --   1/64th(  7) <      > 	V  7 - M 14	= -7  %-100  	q=  +  %+0  	 0.035(93)<-----%100   %0 <<

printNotes: i= 102-<2192 2177  15>,  	Ek2 --   1/64th(  7) <      > 	V  7 - M 14	= -7  %-100  	q=  +  %+0  	 0.035(93)<-----%100   %0 <<

printNotes: i= 103-<1937 2042 -105>,  	 D2 --  1/4th..(195) <      > 	V197 - M223	=-26  %-13  	q= +2  %+1  	 1.138(93)<-----%13   %1



silence
printNotes: i= 104-<   0   40 -40>,  	Slc --    half.(334) <1*sela> 	V351 - M223	=+128  %+36  	q=+17  %+5  	 2.032(93)<-----%36   %5

printNotes: i= 105-<2272 2335 -63>,  	 F2 --    1/4th(111) <      > 	V109 - M111	= -2  %-2  	q= -2  %-2  	 0.627(93)
printNotes: i= 106-<2538 2533   5>,  	 G2 --   1/8th.( 84) <      > 	V 72 - M 84	=-12  %-17  	q=-12  %-17  	 0.412(93)
printNotes: i= 107-<2671 2692 -21>,  	Ak2 --  1/16th.( 42) <      > 	V 37 - M 28	= +9  %+24  	q= -5  %-14  	 0.209(93)<-----%24   %14

printNotes: i= 108-<2525 2533  -8>,  	 G2 --  1/4th..(195) <      > 	V189 - M167	=+22  %+12  	q= -6  %-3  	 1.091(93)<-----%12   %3

printNotes: i= 109-<2686 2692  -6>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 56	=-13  %-30  	q= +1  %+2  	 0.244(93)<-----%30   %2

printNotes: i= 110-<2519 2533 -14>,  	 G2 --    1/4th(111) <1*sela> 	V132 - M167	=-35  %-27  	q=+21  %+16  	 0.760(93)<-----%27   %16



silence
printNotes: i= 111-<   0   40 -40>,  	Slc --    1/4th(111) <      > 	V104 - M 56	=+48  %+46  	q= -7  %-7  	 0.598(93)<-----%46   %7

printNotes: i= 112-<2031 1833 198>,  	 C2 --   1/16th( 28) <      > 	V 28 - M 19	= +9  %+32  	q=  +  %+0  	 0.157(93)<-----%32   %0

printNotes: i= 113-<2542 2692 -150>,  	Ak2 --  1/16th.( 42) <      > 	V 38 - M 18	=+20  %+53  	q= -4  %-11  	 0.215(93)<-----%53   %11

printNotes: i= 114-<2519 2533 -14>,  	 G2 -- 1/16th..( 49) <      > 	V 51 - M 74	=-23  %-45  	q= +2  %+4  	 0.290(93)<-----%45   %4

printNotes: i= 115-<2666 2692 -26>,  	Ak2 --  1/16th.( 42) <      > 	V 38 - M 37	= +1  %+3  	q= -4  %-11  	 0.215(93)
printNotes: i= 116-<2800 2833 -33>,  	Bb2 --    1/8th( 56) <      > 	V 65 - M 74	= -9  %-14  	q= +9  %+14  	 0.372(93)
printNotes: i= 117-<2660 2692 -32>,  	Ak2 --  1/16th.( 42) <      > 	V 37 - M 26	=+11  %+30  	q= -5  %-14  	 0.209(93)<-----%30   %14

printNotes: i= 118-<2831 2783  48>,  	As2 -- 1/32nd..( 24) <      > 	V 24 - M 26	= -2  %-8  	q=  +  %+0  	 0.134(93)<-----%8   %0

printNotes: i= 119-<2701 2733 -32>,  	 A2 -- 1/64th..( 12) <      > 	V 12 - M 13	= -1  %-8  	q=  +  %+0  	 0.064(93)
printNotes: i= 120-<2842 2783  59>,  	As2 --  1/64th.( 10) <      > 	V  9 - M 13	= -4  %-44  	q= -1  %-11  	 0.046(93)<-----%44   %11 <<

printNotes: i= 121-<2666 2733 -67>,  	 A2 -- 1/32nd..( 24) <      > 	V 24 - M 26	= -2  %-8  	q=  +  %+0  	 0.134(93)<-----%8   %0

printNotes: i= 122-<2543 2483  60>,  	Gk2 --   1/32nd( 14) <      > 	V 16 - M 13	= +3  %+19  	q= +2  %+12  	 0.087(93)
printNotes: i= 123-<2659 2733 -74>,  	 A2 --  1/64th.( 10) <      > 	V  9 - M 13	= -4  %-44  	q= -1  %-11  	 0.046(93)<-----%44   %11 <<

printNotes: i= 124-<2538 2483  55>,  	Gk2 --    1/8th( 56) <      > 	V 58 - M 52	= +6  %+10  	q= +2  %+3  	 0.331(93)<-----%10   %3

printNotes: i= 125-<2560 2733 -173>,  	 A2 --  1/16th.( 42) <      > 	V 37 - M 26	=+11  %+30  	q= -5  %-14  	 0.209(93)<-----%30   %14



silence
printNotes: i= 126-<   0   40 -40>,  	Slc -- 1/64th..( 12) <      > 	V 12 - M 13	= -1  %-8  	q=  +  %+0  	 0.064(93)
printNotes: i= 127-<2313 2335 -22>,  	 F2 --    1/4th(111) <      > 	V121 - M111	=+10  %+8  	q=+10  %+8  	 0.697(93)
printNotes: i= 128-<2654 2692 -38>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 28	=+15  %+35  	q= +1  %+2  	 0.244(93)<-----%35   %2

printNotes: i= 129-<2275 2533 -258>,  	 G2 --   1/8th.( 84) <      > 	V 72 - M 84	=-12  %-17  	q=-12  %-17  	 0.412(93)
printNotes: i= 130-<2790 2833 -43>,  	Bb2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(93)<-----%22   %17

printNotes: i= 131-<2685 2692  -7>,  	Ak2 --   1/16th( 28) <      > 	V 26 - M 14	=+12  %+46  	q= -2  %-8  	 0.145(93)<-----%46   %8

printNotes: i= 132-<2520 2533 -13>,  	 G2 -- 1/32nd..( 24) <      > 	V 25 - M 28	= -3  %-12  	q= +1  %+4  	 0.139(93)<-----%12   %4

printNotes: i= 133-<2356 2335  21>,  	 F2 -- 1/32nd..( 24) <      > 	V 25 - M 28	= -3  %-12  	q= +1  %+4  	 0.139(93)<-----%12   %4

printNotes: i= 134-<2193 2235 -42>,  	 E2 --   1/32nd( 14) <      > 	V 17 - M 28	=-11  %-65  	q= +3  %+18  	 0.093(93)<-----%65   %18

printNotes: i= 135-<2380 2335  45>,  	 F2 --    1/4th(111) <1*sela> 	V127 - M111	=+16  %+13  	q=+16  %+13  	 0.731(93)


silence
printNotes: i= 136-<   0   40 -40>,  	Slc --     half(223) <2*sela> 	V251 - M223	=+28  %+11  	q=+28  %+11  	 1.451(93)
printNotes: i= 137-<1940 2335 -395>,  	 F2 --    1/4th(111) <      > 	V114 - M111	= +3  %+3  	q= +3  %+3  	 0.656(93)
printNotes: i= 138-<2346 2533 -187>,  	 G2 --   1/8th.( 84) <      > 	V 78 - M 56	=+22  %+28  	q= -6  %-8  	 0.447(93)<-----%28   %8

printNotes: i= 139-<2683 2692  -9>,  	Ak2 -- 1/16th..( 49) <      > 	V 47 - M 56	= -9  %-19  	q= -2  %-4  	 0.267(93)<-----%19   %4

printNotes: i= 140-<2535 2533   2>,  	 G2 --   1/4th.(167) <      > 	V164 - M167	= -3  %-2  	q= -3  %-2  	 0.946(93)
printNotes: i= 141-<2672 2692 -20>,  	Ak2 -- 1/16th..( 49) <      > 	V 46 - M 56	=-10  %-22  	q= -3  %-7  	 0.261(93)<-----%22   %7

printNotes: i= 142-<2184 2533 -349>,  	 G2 --     half(223) <2*sela> 	V251 - M223	=+28  %+11  	q=+28  %+11  	 1.451(93)
printNotes: i= 143-<2691 2692  -1>,  	Ak2 -- 1/32nd..( 24) <      > 	V 23 - M 37	=-14  %-61  	q= -1  %-4  	 0.128(93)<-----%61   %4

printNotes: i= 144-<2539 2533   6>,  	 G2 --    1/8th( 56) <      > 	V 58 - M 74	=-16  %-28  	q= +2  %+3  	 0.331(93)<-----%28   %3

printNotes: i= 145-<2659 2692 -33>,  	Ak2 --  1/16th.( 42) <      > 	V 42 - M 37	= +5  %+12  	q=  +  %+0  	 0.238(93)<-----%12   %0

printNotes: i= 146-<2645 2833 -188>,  	Bb2 --   1/8th.( 84) <-1*sela> 	V 70 - M 74	= -4  %-6  	q=-14  %-20  	 0.401(93)
printNotes: i= 147-<2236 2692 -456>,  	Ak2 --   1/16th( 28) <      > 	V 32 - M 28	= +4  %+12  	q= +4  %+12  	 0.180(93)
printNotes: i= 148-<2841 2833   8>,  	Bb2 --   1/32nd( 14) <      > 	V 17 - M 28	=-11  %-65  	q= +3  %+18  	 0.093(93)<-----%65   %18

printNotes: i= 149-<2390 2692 -302>,  	Ak2 -- 1/16th..( 49) <      > 	V 50 - M 42	= +8  %+16  	q= +1  %+2  	 0.284(93)<-----%16   %2

printNotes: i= 150-<2529 2533  -4>,  	 G2 --  1/16th.( 42) <      > 	V 45 - M  7	=+38  %+84  	q= +3  %+7  	 0.255(93)<-----%84   %7

printNotes: i= 151-<2527 2692 -165>,  	Ak2 --  1/32nd.( 21) <      > 	V 22 - M  7	=+15  %+68  	q= +1  %+5  	 0.122(93)<-----%68   %5

printNotes: i= 152-<2539 2533   6>,  	 G2 -- 1/32nd..( 24) <      > 	V 25 - M 56	=-31  %-124  	q= +1  %+4  	 0.139(93)<-----%124   %4



silence
printNotes: i= 153-<   0   40 -40>,  	Slc --    1/8th( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(93)
printNotes: i= 154-<2278 2335 -57>,  	 F2 --    1/4th(111) <1*sela> 	V129 - M111	=+18  %+14  	q=+18  %+14  	 0.743(93)
printNotes: i= 155-<2676 2692 -16>,  	Ak2 --  1/16th.( 42) <      > 	V 40 - M 28	=+12  %+30  	q= -2  %-5  	 0.226(93)<-----%30   %5

printNotes: i= 156-<2520 2533 -13>,  	 G2 --   1/8th.( 84) <      > 	V 77 - M 84	= -7  %-9  	q= -7  %-9  	 0.441(93)
printNotes: i= 157-<2831 2833  -2>,  	Bb2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 158-<2687 2692  -5>,  	Ak2 -- 1/32nd..( 24) <      > 	V 24 - M 14	=+10  %+42  	q=  +  %+0  	 0.134(93)<-----%42   %0

printNotes: i= 159-<2509 2533 -24>,  	 G2 -- 1/32nd..( 24) <      > 	V 25 - M 28	= -3  %-12  	q= +1  %+4  	 0.139(93)<-----%12   %4

printNotes: i= 160-<2348 2335  13>,  	 F2 -- 1/32nd..( 24) <      > 	V 25 - M 28	= -3  %-12  	q= +1  %+4  	 0.139(93)<-----%12   %4

printNotes: i= 161-<2179 2235 -56>,  	 E2 --  1/32nd.( 21) <      > 	V 18 - M 28	=-10  %-56  	q= -3  %-17  	 0.099(93)<-----%56   %17

printNotes: i= 162-<2383 2335  48>,  	 F2 --   1/4th.(167) <      > 	V154 - M111	=+43  %+28  	q=-13  %-8  	 0.888(93)<-----%28   %8



silence
printNotes: i= 163-<   0   40 -40>,  	Slc --  1/4th..(195) <      > 	V193 - M223	=-30  %-16  	q= -2  %-1  	 1.115(93)<-----%16   %1

printNotes: i= 164-<2189 2335 -146>,  	 F2 --    1/4th(111) <1*sela> 	V137 - M111	=+26  %+19  	q=+26  %+19  	 0.789(93)
