	voice Midi Diff								present		 Best		Sec

printNotes: i= 82-<2200 2168  32>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 83-<2016 2031 -15>,  	 D2 -- 1/16th..( 51) <      > 	V 48 - M 44	= +4  %+8  	q= -3  %-6  	 0.273(88)
printNotes: i= 84-<2165 2168  -3>,  	Ek2 --   1/8th.( 88) <      > 	V 86 - M 59	=+27  %+31  	q= -2  %-2  	 0.493(88)<-----%31   %2

printNotes: i= 85-<2036 2031   5>,  	 D2 --   1/8th.( 88) <      > 	V 89 - M 88	= +1  %+1  	q= +1  %+1  	 0.511(88)
printNotes: i= 86-<1832 1818  14>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 87-<2074 2031  43>,  	 D2 --  1/4th..(205) <      > 	V219 - M235	=-16  %-7  	q=+14  %+6  	 1.265(88)


silence
printNotes: i= 88-<   0   40 -40>,  	Slc --   1/8th.( 88) <      > 	V 75 - M117	=-42  %-56  	q=-13  %-17  	 0.430(88)<-----%56   %17

printNotes: i= 89-<1238 1316 -78>,  	 G1 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 90-<1776 1818 -42>,  	 C2 --    1/8th( 59) <      > 	V 67 - M 29	=+38  %+57  	q= +8  %+12  	 0.383(88)<-----%57   %12

printNotes: i= 91-<1669 1654  15>,  	Bk1 --   1/16th( 29) <      > 	V 29 - M 44	=-15  %-52  	q=  +  %+0  	 0.163(88)<-----%52   %0

printNotes: i= 92-<1682 1818 -136>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 93-<1640 1654 -14>,  	Bk1 --   1/4th.(176) <-1*sela> 	V157 - M117	=+40  %+25  	q=-19  %-12  	 0.906(88)<-----%25   %12

printNotes: i= 94-<1561 1534  27>,  	 A1 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 95-<1809 1818  -9>,  	 C2 --  1/4th..(205) <      > 	V191 - M147	=+44  %+23  	q=-14  %-7  	 1.103(88)<-----%23   %7

printNotes: i= 96-<2126 2168 -42>,  	Ek2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 97-<2010 2031 -21>,  	 D2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i= 98-<2169 2168   1>,  	Ek2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 99-<2026 2031  -5>,  	 D2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 100-<1845 1818  27>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 101-<2034 2031   3>,  	 D2 --    half.(352) <      > 	V342 - M352	=-10  %-3  	q=-10  %-3  	 1.980(88)


silence
printNotes: i= 102-<   0   40 -40>,  	Slc --    half.(352) <1*sela> 	V367 - M1057	=-690  %-188  	q=+15  %+4  	 2.125(88)<-----%188   %4

printNotes: i= 103-<2102 2314 -212>,  	 F2 -- 1/32nd..( 26) <      > 	V 24 - M 44	=-20  %-83  	q= -2  %-8  	 0.134(88)<-----%83   %8

printNotes: i= 104-<2226 2168  58>,  	Ek2 --    128th(  4) <      > 	V  4 - M 29	=-25  %-625  	q=  +  %+0  	 0.017(88)<-----%625   %0 <<

printNotes: i= 105-<2315 2314   1>,  	 F2 --   1/4th.(176) <-1*sela> 	V157 - M205	=-48  %-31  	q=-19  %-12  	 0.906(88)<-----%31   %12

printNotes: i= 106-<2179 2168  11>,  	Ek2 --   1/8th.( 88) <      > 	V 92 - M 59	=+33  %+36  	q= +4  %+4  	 0.528(88)<-----%36   %4

printNotes: i= 107-<1552 2031 -479>,  	 D2 --    1/4th(117) <      > 	V114 - M 88	=+26  %+23  	q= -3  %-3  	 0.656(88)<-----%23   %3

printNotes: i= 108-<1035 2314 -1279>,  	 F2 --    1/8th( 59) <      > 	V 62 - M 29	=+33  %+53  	q= +3  %+5  	 0.354(88)<-----%53   %5

printNotes: i= 109-<2284 2314 -30>,  	 F2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 110-<2303 2314 -11>,  	 F2 --    1/4th(117) <      > 	V117 - M117	=  +  %+0  	q=  +  %+0  	 0.673(88)<-- same note


silence
printNotes: i= 111-<   0   40 -40>,  	Slc --   1/4th.(176) <      > 	V169 - M117	=+52  %+31  	q= -7  %-4  	 0.975(88)<-----%31   %4

printNotes: i= 112-<1674 1818 -144>,  	 C2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(88)
printNotes: i= 113-<2306 2314  -8>,  	 F2 --    1/4th(117) <1*sela> 	V141 - M117	=+24  %+17  	q=+24  %+17  	 0.813(88)
printNotes: i= 114-<2178 2168  10>,  	Ek2 --  1/16th.( 44) <      > 	V 39 - M 29	=+10  %+26  	q= -5  %-13  	 0.221(88)<-----%26   %13

printNotes: i= 115-<2316 2314   2>,  	 F2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 116-<2177 2168   9>,  	Ek2 --    1/8th( 59) <      > 	V 73 - M 59	=+14  %+19  	q=+14  %+19  	 0.418(88)
printNotes: i= 117-<1851 2031 -180>,  	 D2 --  1/8th..(103) <      > 	V101 - M 88	=+13  %+13  	q= -2  %-2  	 0.580(88)<-----%13   %2

printNotes: i= 118-<2291 2314 -23>,  	 F2 --   1/16th( 29) <      > 	V 29 - M 59	=-30  %-103  	q=  +  %+0  	 0.163(88)<-----%103   %0

printNotes: i= 119-<2168 2168    >,  	Ek2 --   1/16th( 29) <      > 	V 35 - M 59	=-24  %-69  	q= +6  %+17  	 0.197(88)<-----%69   %17

printNotes: i= 120-<2309 2314  -5>,  	 F2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 121-<2472 2514 -42>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(88)<-----%190   %10 <<

printNotes: i= 122-<2318 2314   4>,  	 F2 -- 1/16th..( 51) <      > 	V 49 - M 59	=-10  %-20  	q= -2  %-4  	 0.279(88)<-----%20   %4

printNotes: i= 123-<2495 2514 -19>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 29	= -9  %-45  	q= -2  %-10  	 0.110(88)<-----%45   %10

printNotes: i= 124-<2328 2314  14>,  	 F2 --   1/16th( 29) <      > 	V 31 - M 15	=+16  %+52  	q= +2  %+6  	 0.174(88)<-----%52   %6

printNotes: i= 125-<2163 2168  -5>,  	Ek2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 126-<2366 2314  52>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 44	=-32  %-267  	q= +1  %+8  	 0.064(88)<-----%267   %8 <<



silence
printNotes: i= 127-<  76   40  36>,  	Slc --   1/16th( 29) <      > 	V 31 - M 15	=+16  %+52  	q= +2  %+6  	 0.174(88)<-----%52   %6

printNotes: i= 128-<2097 2168 -71>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 15	=+17  %+53  	q= +3  %+9  	 0.180(88)<-----%53   %9

printNotes: i= 129-<2046 2031  15>,  	 D2 --  1/16th.( 44) <      > 	V 43 - M 29	=+14  %+33  	q= -1  %-2  	 0.244(88)<-----%33   %2

printNotes: i= 130-<2180 2168  12>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 131-<2038 2031   7>,  	 D2 --    1/8th( 59) <      > 	V 58 - M 44	=+14  %+24  	q= -1  %-2  	 0.331(88)<-----%24   %2

printNotes: i= 132-<2194 2314 -120>,  	 F2 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(88)<-----%190   %10 <<

printNotes: i= 133-<2173 2168   5>,  	Ek2 --  1/8th..(103) <      > 	V103 - M 88	=+15  %+15  	q=  +  %+0  	 0.592(88)<-----%15   %0

printNotes: i= 134-<2115 2031  84>,  	 D2 --    1/8th( 59) <      > 	V 67 - M 44	=+23  %+34  	q= +8  %+12  	 0.383(88)<-----%34   %12



silence
printNotes: i= 135-<   0   40 -40>,  	Slc --    whole(470) <3*sela> 	V522 - M411	=+111  %+21  	q=+52  %+10  	 3.024(88)<-----%21   %10

printNotes: i= 136-<1138 2031 -893>,  	 D2 --  1/8th..(103) <      > 	V 96 - M 59	=+37  %+39  	q= -7  %-7  	 0.551(88)<-----%39   %7

printNotes: i= 137-<2505 2714 -209>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 138-<2499 2514 -15>,  	 G2 --   1/16th( 29) <      > 	V 30 - M 59	=-29  %-97  	q= +1  %+3  	 0.168(88)<-----%97   %3

printNotes: i= 139-<2312 2314  -2>,  	 F2 --   1/4th.(176) <      > 	V176 - M235	=-59  %-34  	q=  +  %+0  	 1.016(88)<-----%34   %0

printNotes: i= 140-<2508 2514  -6>,  	 G2 --    1/8th( 59) <      > 	V 73 - M 88	=-15  %-21  	q=+14  %+19  	 0.418(88)
printNotes: i= 141-<2327 2314  13>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 142-<2412 2514 -102>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

printNotes: i= 143-<2175 2168   7>,  	Ek2 --    1/8th( 59) <      > 	V 71 - M117	=-46  %-65  	q=+12  %+17  	 0.406(88)<-----%65   %17

printNotes: i= 144-<1604 2031 -427>,  	 D2 --  1/4th..(205) <      > 	V210 - M147	=+63  %+30  	q= +5  %+2  	 1.213(88)<-----%30   %2

printNotes: i= 145-<   0 2168 -2168>,  	Ek2 --  1/64th.( 11) <      > 	V  8 - M 44	=-36  %-450  	q= -3  %-38  	 0.041(88)<-----%450   %38 <<

printNotes: i= 146-<2049 2314 -265>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 147-<2126 2168 -42>,  	Ek2 --    1/8th( 59) <      > 	V 68 - M 59	= +9  %+13  	q= +9  %+13  	 0.389(88)
printNotes: i= 148-<2310 2314  -4>,  	 F2 --    1/4th(117) <      > 	V131 - M 88	=+43  %+33  	q=+14  %+11  	 0.755(88)<-----%33   %11



silence
printNotes: i= 149-<   0   40 -40>,  	Slc --   1/4th.(176) <      > 	V182 - M117	=+65  %+36  	q= +6  %+3  	 1.051(88)<-----%36   %3

printNotes: i= 150-<1375 2314 -939>,  	 F2 --  1/16th.( 44) <      > 	V 47 - M 44	= +3  %+6  	q= +3  %+6  	 0.267(88)
printNotes: i= 151-<1445 2168 -723>,  	Ek2 -- 1/16th..( 51) <      > 	V 54 - M 29	=+25  %+46  	q= +3  %+6  	 0.308(88)<-----%46   %6

printNotes: i= 152-<2313 2314  -1>,  	 F2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 153-<2158 2168 -10>,  	Ek2 --    1/8th( 59) <      > 	V 67 - M 88	=-21  %-31  	q= +8  %+12  	 0.383(88)<-----%31   %12

printNotes: i= 154-<1444 2031 -587>,  	 D2 --  1/8th..(103) <      > 	V102 - M 59	=+43  %+42  	q= -1  %-1  	 0.586(88)<-----%42   %1

printNotes: i= 155-<2298 2314 -16>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 59	=-32  %-119  	q= +1  %+4  	 0.151(88)<-----%119   %4

