	voice Midi Diff								present		 Best		Sec

printNotes: i= 92-<   0   40 -40>,  	Slc --    1/4th(139) <1*sela> 	V156 - M208	=-52  %-33  	q=+17  %+11  	 0.900(74)<-----%33   %11

printNotes: i= 93-<1756 1814 -58>,  	 C2 --  1/16th.( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(74)
printNotes: i= 94-<2303 2317 -14>,  	 F2 --   1/16th( 35) <      > 	V 33 - M 52	=-19  %-58  	q= -2  %-6  	 0.186(74)<-----%58   %6

printNotes: i= 95-<2157 2158  -1>,  	Ek2 -- 1/16th..( 61) <      > 	V 63 - M 69	= -6  %-10  	q= +2  %+3  	 0.360(74)<-----%10   %3

printNotes: i= 96-<2352 2317  35>,  	 F2 --  1/16th.( 52) <      > 	V 45 - M 35	=+10  %+22  	q= -7  %-16  	 0.255(74)<-----%22   %16

printNotes: i= 97-<2164 2158   6>,  	Ek2 --   1/32nd( 17) <      > 	V 18 - M 35	=-17  %-94  	q= +1  %+6  	 0.099(74)<-----%94   %6

printNotes: i= 98-<2253 2317 -64>,  	 F2 --   1/16th( 35) <      > 	V 33 - M 23	=+10  %+30  	q= -2  %-6  	 0.186(74)<-----%30   %6

printNotes: i= 99-<2180 2158  22>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M 23	= -7  %-44  	q= +1  %+6  	 0.087(74)<-----%44   %6 <<

printNotes: i= 100-<2376 2317  59>,  	 F2 --   1/16th( 35) <      > 	V 38 - M 23	=+15  %+39  	q= +3  %+8  	 0.215(74)<-----%39   %8

printNotes: i= 101-<2226 2158  68>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(74)
printNotes: i= 102-<2373 2317  56>,  	 F2 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(74)<-----%42   %8 <<

