	voice Midi Diff								present		 Best		Sec

printNotes: i= 116-<2823 2823    >,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(87)<-----%76   %12

printNotes: i= 117-<3020 3017   3>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 15	=+20  %+57  	q= +5  %+14  	 0.197(87)<-----%57   %14

printNotes: i= 118-<3239 3203  36>,  	 D3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 119-<3021 3017   4>,  	 C3 --   1/4th.(178) <-1*sela> 	V158 - M119	=+39  %+25  	q=-20  %-13  	 0.911(87)<-----%25   %13

printNotes: i= 120-<2801 2823 -22>,  	Bb2 --   1/8th.( 89) <      > 	V 87 - M 30	=+57  %+66  	q= -2  %-2  	 0.499(87)<-----%66   %2

printNotes: i= 121-<2983 3017 -34>,  	 C3 --    128th(  4) <      > 	V  4 - M 30	=-26  %-650  	q=  +  %+0  	 0.017(87)<-----%650   %0 <<

printNotes: i= 122-<2801 2823 -22>,  	Bb2 --    128th(  4) <      > 	V  4 - M 30	=-26  %-650  	q=  +  %+0  	 0.017(87)<-----%650   %0 <<

printNotes: i= 123-<2679 2660  19>,  	Ak2 --  1/32nd.( 22) <      > 	V 21 - M 15	= +6  %+29  	q= -1  %-5  	 0.116(87)<-----%29   %5

printNotes: i= 124-<2734 2823 -89>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(87)<-----%275   %0 <<

printNotes: i= 125-<2663 2660   3>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 126-<2516 2531 -15>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(87)<-----%21   %16

printNotes: i= 127-<2603 2660 -57>,  	Ak2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(87)<-----%400   %33 <<

printNotes: i= 128-<2526 2531  -5>,  	 G2 --  1/32nd.( 22) <      > 	V 22 - M 30	= -8  %-36  	q=  +  %+0  	 0.122(87)<-----%36   %0

printNotes: i= 129-<2648 2660 -12>,  	Ak2 --   1/16th( 30) <      > 	V 28 - M 15	=+13  %+46  	q= -2  %-7  	 0.157(87)<-----%46   %7

printNotes: i= 130-<2781 2823 -42>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(87)<-----%275   %0 <<

printNotes: i= 131-<2656 2660  -4>,  	Ak2 --  1/32nd.( 22) <      > 	V 22 - M 30	= -8  %-36  	q=  +  %+0  	 0.122(87)<-----%36   %0

printNotes: i= 132-<2810 2823 -13>,  	Bb2 --   1/16th( 30) <      > 	V 31 - M 15	=+16  %+52  	q= +1  %+3  	 0.174(87)<-----%52   %3

printNotes: i= 133-<2947 3017 -70>,  	 C3 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(87)<-----%275   %0 <<

printNotes: i= 134-<2824 2823   1>,  	Bb2 -- 1/16th..( 52) <      > 	V 53 - M 59	= -6  %-11  	q= +1  %+2  	 0.302(87)<-----%11   %2

printNotes: i= 135-<3012 3017  -5>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 15	=+20  %+57  	q= +5  %+14  	 0.197(87)<-----%57   %14

printNotes: i= 136-<3244 3203  41>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(87)<-----%15   %0 <<

printNotes: i= 137-<2723 3017 -294>,  	 C3 --   1/8th.( 89) <      > 	V 94 - M 59	=+35  %+37  	q= +5  %+5  	 0.540(87)<-----%37   %5



silence
printNotes: i= 138-<   0   40 -40>,  	Slc --     half(238) <1*sela> 	V255 - M238	=+17  %+7  	q=+17  %+7  	 1.474(87)
printNotes: i= 139-<2270 2331 -61>,  	 F2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 140-<3202 3203  -1>,  	 D3 --    1/4th(119) <      > 	V130 - M119	=+11  %+8  	q=+11  %+8  	 0.749(87)
printNotes: i= 141-<3006 3017 -11>,  	 C3 -- 1/16th..( 52) <      > 	V 50 - M 30	=+20  %+40  	q= -2  %-4  	 0.284(87)<-----%40   %4

printNotes: i= 142-<3236 3203  33>,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(87)<-----%76   %12

printNotes: i= 143-<3021 3017   4>,  	 C3 --  1/16th.( 45) <      > 	V 46 - M 30	=+16  %+35  	q= +1  %+2  	 0.261(87)<-----%35   %2

printNotes: i= 144-<2951 3203 -252>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(87)<-----%114   %7 <<

printNotes: i= 145-<2744 2823 -79>,  	Bb2 -- 1/16th..( 52) <      > 	V 50 - M 30	=+20  %+40  	q= -2  %-4  	 0.284(87)<-----%40   %4

printNotes: i= 146-<2777 3017 -240>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(87)<-----%173   %0 <<

printNotes: i= 147-<2817 2823  -6>,  	Bb2 --   1/8th.( 89) <      > 	V 82 - M 89	= -7  %-9  	q= -7  %-9  	 0.470(87)
printNotes: i= 148-<3012 3017  -5>,  	 C3 --   1/16th( 30) <      > 	V 28 - M 15	=+13  %+46  	q= -2  %-7  	 0.157(87)<-----%46   %7

printNotes: i= 149-<3285 3203  82>,  	 D3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 150-<3018 3017   1>,  	 C3 --   1/8th.( 89) <      > 	V 90 - M 59	=+31  %+34  	q= +1  %+1  	 0.517(87)<-----%34   %1

printNotes: i= 151-<2783 2823 -40>,  	Bb2 --   1/8th.( 89) <      > 	V 76 - M 30	=+46  %+61  	q=-13  %-17  	 0.435(87)<-----%61   %17

printNotes: i= 152-<3026 3017   9>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 30	=-18  %-150  	q= +1  %+8  	 0.064(87)<-----%150   %8 <<

printNotes: i= 153-<2822 2823  -1>,  	Bb2 --    1/8th( 59) <      > 	V 57 - M 30	=+27  %+47  	q= -2  %-4  	 0.325(87)<-----%47   %4

printNotes: i= 154-<2950 3017 -67>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(87)<-----%173   %0 <<

printNotes: i= 155-<2674 2660  14>,  	Ak2 --   1/16th( 30) <      > 	V 37 - M 15	=+22  %+59  	q= +7  %+19  	 0.209(87)<-----%59   %19

printNotes: i= 156-<2690 2823 -133>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 157-<2678 2660  18>,  	Ak2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(87)
printNotes: i= 158-<2720 2823 -103>,  	Bb2 --   1/16th( 30) <      > 	V 31 - M 15	=+16  %+52  	q= +1  %+3  	 0.174(87)<-----%52   %3

printNotes: i= 159-<3038 3017  21>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(87)<-----%25   %8 <<

printNotes: i= 160-<2830 2823   7>,  	Bb2 --    1/4th(119) <      > 	V132 - M119	=+13  %+10  	q=+13  %+10  	 0.760(87)
printNotes: i= 161-<2871 2823  48>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)<-- same note
printNotes: i= 162-<2672 2660  12>,  	Ak2 --  1/16th.( 45) <      > 	V 41 - M 30	=+11  %+27  	q= -4  %-10  	 0.232(87)<-----%27   %10

