	voice Midi Diff								present		 Best		Sec

printNotes: i= 110-<2310 2325 -15>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 111-<2517 2537 -20>,  	 G2 --    1/4th(125) <      > 	V134 - M187	=-53  %-40  	q= +9  %+7  	 0.772(83)<-----%40   %7

printNotes: i= 112-<2772 2725  47>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 113-<2391 2537 -146>,  	 G2 --   1/16th( 31) <      > 	V 30 - M 16	=+14  %+47  	q= -1  %-3  	 0.168(83)<-----%47   %3

printNotes: i= 114-<2347 2325  22>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 115-<2512 2537 -25>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 116-<2294 2325 -31>,  	 F2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 117-<2168 2173  -5>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 118-<2265 2325 -60>,  	 F2 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(83)<-----%220   %20 <<

printNotes: i= 119-<2171 2173  -2>,  	Ek2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 120-<2010 2040 -30>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 121-<2164 2173  -9>,  	Ek2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 122-<2019 2040 -21>,  	 D2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 123-<2168 2173  -5>,  	Ek2 --  1/8th..(109) <      > 	V104 - M125	=-21  %-20  	q= -5  %-5  	 0.598(83)<-----%20   %5

printNotes: i= 124-<2138 2040  98>,  	 D2 --    1/8th( 62) <      > 	V 63 - M 62	= +1  %+2  	q= +1  %+2  	 0.360(83)


silence
printNotes: i= 125-<   0   40 -40>,  	Slc --     half(249) <2*sela> 	V287 - M249	=+38  %+13  	q=+38  %+13  	 1.660(83)
printNotes: i= 126-<1678 2325 -647>,  	 F2 --    1/8th( 62) <      > 	V 62 - M 47	=+15  %+24  	q=  +  %+0  	 0.354(83)<-----%24   %0

printNotes: i= 127-< 985 2325 -1340>,  	 F2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)<-- same note
printNotes: i= 128-<2517 2537 -20>,  	 G2 --    1/4th(125) <      > 	V137 - M166	=-29  %-21  	q=+12  %+9  	 0.789(83)<-----%21   %9

printNotes: i= 129-<1928 2325 -397>,  	 F2 --  1/16th.( 47) <      > 	V 45 - M 42	= +3  %+7  	q= -2  %-4  	 0.255(83)
printNotes: i= 130-<2506 2537 -31>,  	 G2 --   1/16th( 31) <      > 	V 30 - M 42	=-12  %-40  	q= -1  %-3  	 0.168(83)<-----%40   %3

printNotes: i= 131-<2316 2325  -9>,  	 F2 --    1/4th(125) <      > 	V117 - M125	= -8  %-7  	q= -8  %-7  	 0.673(83)
printNotes: i= 132-<2062 2173 -111>,  	Ek2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)
printNotes: i= 133-<2162 2173 -11>,  	Ek2 -- 1/16th..( 55) <      > 	V 55 - M 62	= -7  %-13  	q=  +  %+0  	 0.313(83)<-- same note<-----%13   %0

printNotes: i= 134-<2036 2040  -4>,  	 D2 --    1/4th(125) <      > 	V120 - M125	= -5  %-4  	q= -5  %-4  	 0.691(83)
printNotes: i= 135-<2520 2537 -17>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 136-<2323 2325  -2>,  	 F2 --  1/16th.( 47) <      > 	V 43 - M 47	= -4  %-9  	q= -4  %-9  	 0.244(83)
printNotes: i= 137-<2492 2537 -45>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 47	=-11  %-31  	q= +5  %+14  	 0.203(83)<-----%31   %14

printNotes: i= 138-<2319 2325  -6>,  	 F2 --    1/4th(125) <1*sela> 	V145 - M187	=-42  %-29  	q=+20  %+14  	 0.836(83)<-----%29   %14

printNotes: i= 139-<2167 2173  -6>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4



silence
