	voice Midi Diff								present		 Best		Sec

printNotes: i= 78-<2146 2154  -8>,  	 D3 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(76)
printNotes: i= 79-<2458 2452   6>,  	 F3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(76)
printNotes: i= 80-<2276 2252  24>,  	Eb3 -- 1/32nd..( 30) <      > 	V 28 - M 17	=+11  %+39  	q= -2  %-7  	 0.157(76)<-----%39   %7

printNotes: i= 81-<2171 2154  17>,  	 D3 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(76)<-----%31   %0

printNotes: i= 82-<1972 1962  10>,  	 C3 --  1/32nd.( 26) <      > 	V 25 - M 34	= -9  %-36  	q= -1  %-4  	 0.139(76)<-----%36   %4

printNotes: i= 83-<1770 1743  27>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 84-<1930 1962 -32>,  	 C3 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)
printNotes: i= 85-<1729 1962 -233>,  	 C3 --     half(273) <      > 	V272 - M273	= -1  %-0  	q= -1  %-0  	 1.573(76)<-- same note


silence
printNotes: i= 86-<   0   40 -40>,  	Slc --   1/4th.(205) <-1*sela> 	V188 - M205	=-17  %-9  	q=-17  %-9  	 1.086(76)
printNotes: i= 87-<1286 1743 -457>,  	Bb2 -- 1/16th..( 60) <      > 	V 61 - M 68	= -7  %-11  	q= +1  %+2  	 0.348(76)<-----%11   %2

printNotes: i= 88-<1621 1608  13>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 89-<1046 1743 -697>,  	Bb2 -- 1/16th..( 60) <      > 	V 58 - M 34	=+24  %+41  	q= -2  %-3  	 0.331(76)<-----%41   %3

printNotes: i= 90-<1597 1608 -11>,  	Ak2 --  1/16th.( 51) <      > 	V 48 - M 68	=-20  %-42  	q= -3  %-6  	 0.273(76)<-----%42   %6

printNotes: i= 91-<1548 1608 -60>,  	Ak2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)<-- same note
printNotes: i= 92-<1628 1608  20>,  	Ak2 --    1/8th( 68) <      > 	V 68 - M 68	=  +  %+0  	q=  +  %+0  	 0.389(76)<-- same note
printNotes: i= 93-<1511 1481  30>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 34	=-22  %-183  	q= -1  %-8  	 0.064(76)<-----%183   %8 <<

printNotes: i= 94-<1629 1608  21>,  	Ak2 --   1/16th( 34) <      > 	V 32 - M 17	=+15  %+47  	q= -2  %-6  	 0.180(76)<-----%47   %6

printNotes: i= 95-<1699 1743 -44>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(76)
printNotes: i= 96-<1606 1608  -2>,  	Ak2 -- 1/32nd..( 30) <      > 	V 28 - M 34	= -6  %-21  	q= -2  %-7  	 0.157(76)<-----%21   %7

printNotes: i= 97-<1504 1481  23>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 98-<1603 1608  -5>,  	Ak2 -- 1/32nd..( 30) <      > 	V 28 - M 17	=+11  %+39  	q= -2  %-7  	 0.157(76)<-----%39   %7

printNotes: i= 99-<1715 1743 -28>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(76)<-----%42   %8 <<

printNotes: i= 100-<1610 1608   2>,  	Ak2 -- 1/32nd..( 30) <      > 	V 29 - M 34	= -5  %-17  	q= -1  %-3  	 0.163(76)<-----%17   %3

printNotes: i= 101-<1512 1481  31>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 102-<1600 1608  -8>,  	Ak2 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(76)<-----%31   %0

printNotes: i= 103-<1748 1743   5>,  	Bb2 --    1/4th(136) <      > 	V135 - M136	= -1  %-1  	q= -1  %-1  	 0.778(76)
printNotes: i= 104-<1248 1608 -360>,  	Ak2 --    1/8th( 68) <      > 	V 64 - M 34	=+30  %+47  	q= -4  %-6  	 0.366(76)<-----%47   %6

printNotes: i= 105-<1322 1481 -159>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 34	=-19  %-127  	q=  +  %+0  	 0.081(76)<-----%127   %0 <<

printNotes: i= 106-< 963 1608 -645>,  	Ak2 --  1/64th.( 13) <      > 	V 10 - M 34	=-24  %-240  	q= -3  %-30  	 0.052(76)<-----%240   %30 <<

printNotes: i= 107-<1213 1282 -69>,  	 F2 --  1/8th..(119) <      > 	V124 - M 68	=+56  %+45  	q= +5  %+4  	 0.714(76)<-----%45   %4



silence
printNotes: i= 108-<   0   40 -40>,  	Slc --   whole.(818) <-5*sela> 	V729 - M886	=-157  %-22  	q=-89  %-12  	 4.226(76)<-----%22   %12

printNotes: i= 109-<1732 2252 -520>,  	Eb3 --  1/16th.( 51) <      > 	V 52 - M 68	=-16  %-31  	q= +1  %+2  	 0.296(76)<-----%31   %2

printNotes: i= 110-<2120 2154 -34>,  	 D3 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 111-<2258 2252   6>,  	Eb3 --  1/64th.( 13) <      > 	V 10 - M 34	=-24  %-240  	q= -3  %-30  	 0.052(76)<-----%240   %30 <<

printNotes: i= 112-<2106 2154 -48>,  	 D3 -- 1/16th..( 60) <      > 	V 58 - M 68	=-10  %-17  	q= -2  %-3  	 0.331(76)<-----%17   %3

printNotes: i= 113-<1911 1962 -51>,  	 C3 --    1/8th( 68) <      > 	V 64 - M 51	=+13  %+20  	q= -4  %-6  	 0.366(76)<-----%20   %6

printNotes: i= 114-<1268 1743 -475>,  	Bb2 --   1/32nd( 17) <      > 	V 20 - M 34	=-14  %-70  	q= +3  %+15  	 0.110(76)<-----%70   %15

printNotes: i= 115-<1979 1962  17>,  	 C3 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)
printNotes: i= 116-<2155 2154   1>,  	 D3 --   1/16th( 34) <      > 	V 38 - M 68	=-30  %-79  	q= +4  %+11  	 0.215(76)<-----%79   %11

printNotes: i= 117-<2252 2252    >,  	Eb3 --   1/16th( 34) <      > 	V 32 - M 17	=+15  %+47  	q= -2  %-6  	 0.180(76)<-----%47   %6

printNotes: i= 118-<2164 2154  10>,  	 D3 --   1/16th( 34) <      > 	V 34 - M 17	=+17  %+50  	q=  +  %+0  	 0.192(76)<-----%50   %0

printNotes: i= 119-<2241 2252 -11>,  	Eb3 --  1/32nd.( 26) <      > 	V 22 - M 17	= +5  %+23  	q= -4  %-18  	 0.122(76)<-----%23   %18

printNotes: i= 120-<1501 2154 -653>,  	 D3 --    1/8th( 68) <      > 	V 69 - M 17	=+52  %+75  	q= +1  %+1  	 0.395(76)<-----%75   %1

printNotes: i= 121-<2472 2452  20>,  	 F3 --   1/64th(  9) <      > 	V 11 - M 17	= -6  %-55  	q= +2  %+18  	 0.058(76)<-----%55   %18 <<

printNotes: i= 122-<2254 2252   2>,  	Eb3 --  1/32nd.( 26) <      > 	V 27 - M 17	=+10  %+37  	q= +1  %+4  	 0.151(76)<-----%37   %4

printNotes: i= 123-<2150 2154  -4>,  	 D3 --  1/32nd.( 26) <      > 	V 26 - M 34	= -8  %-31  	q=  +  %+0  	 0.145(76)<-----%31   %0

printNotes: i= 124-<1949 1962 -13>,  	 C3 --  1/32nd.( 26) <      > 	V 25 - M 34	= -9  %-36  	q= -1  %-4  	 0.139(76)<-----%36   %4

printNotes: i= 125-<1774 1743  31>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 34	=-18  %-112  	q= +1  %+6  	 0.087(76)<-----%112   %6 <<

