	voice Midi Diff								present		 Best		Sec

printNotes: i= 126-<1006 1743 -737>,  	Bb2 --    1/8th( 69) <      > 	V 69 - M 34	=+35  %+51  	q=  +  %+0  	 0.395(75)<-----%51   %0

printNotes: i= 127-<1465 1472  -7>,  	 G2 --  1/32nd.( 26) <      > 	V 27 - M 34	= -7  %-26  	q= +1  %+4  	 0.151(75)<-----%26   %4

printNotes: i= 128-<1580 1604 -24>,  	Ak2 --  1/32nd.( 26) <      > 	V 22 - M 34	=-12  %-55  	q= -4  %-18  	 0.122(75)<-----%55   %18

printNotes: i= 129-<1466 1472  -6>,  	 G2 --   1/8th.(103) <      > 	V111 - M 69	=+42  %+38  	q= +8  %+7  	 0.639(75)<-----%38   %7

printNotes: i= 130-<1586 1604 -18>,  	Ak2 --  1/32nd.( 26) <      > 	V 25 - M 17	= +8  %+32  	q= -1  %-4  	 0.139(75)<-----%32   %4

printNotes: i= 131-<1712 1743 -31>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(75)<-----%42   %8 <<

printNotes: i= 132-<1472 1472    >,  	 G2 --  1/16th.( 51) <      > 	V 47 - M 51	= -4  %-9  	q= -4  %-9  	 0.267(75)
printNotes: i= 133-<1611 1604   7>,  	Ak2 -- 1/32nd..( 30) <      > 	V 29 - M 17	=+12  %+41  	q= -1  %-3  	 0.163(75)<-----%41   %3

printNotes: i= 134-<1685 1743 -58>,  	Bb2 --  128th..(  7) <      > 	V  8 - M 17	= -9  %-112  	q= +1  %+12  	 0.041(75)<-----%112   %12 <<

printNotes: i= 135-<1518 1472  46>,  	 G2 --    1/8th( 69) <      > 	V 77 - M 51	=+26  %+34  	q= +8  %+10  	 0.441(75)<-----%34   %10



silence
printNotes: i= 136-<   0   40 -40>,  	Slc -- 1/16th..( 60) <      > 	V 62 - M 69	= -7  %-11  	q= +2  %+3  	 0.354(75)<-----%11   %3

printNotes: i= 137-<1459 1472 -13>,  	 G2 --  1/16th.( 51) <      > 	V 52 - M 69	=-17  %-33  	q= +1  %+2  	 0.296(75)<-----%33   %2

