	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<1918 2462 -544>,  	 F3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 89-<1795 2462 -667>,  	 F3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 90-<2455 2462  -7>,  	 F3 --  1/32nd.( 24) <      > 	V 25 - M 64	=-39  %-156  	q= +1  %+4  	 0.139(81)<-- same note<-----%156   %4

printNotes: i= 91-<2358 2355   3>,  	 E3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 92-<2371 2462 -91>,  	 F3 --     half(256) <1*sela> 	V272 - M256	=+16  %+6  	q=+16  %+6  	 1.573(81)


silence
printNotes: i= 93-<   0   40 -40>,  	Slc --   128th.(  6) <      > 	V  6 - M  8	= -2  %-33  	q=  +  %+0  	 0.029(81)<-----%33   %0 <<

printNotes: i= 94-< 752 1972 -1220>,  	 C3 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

printNotes: i= 95-<2433 2462 -29>,  	 F3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 96-<2452 2462 -10>,  	 F3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 97-<2468 2462   6>,  	 F3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 98-<2353 2355  -2>,  	 E3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 99-<2455 2462  -7>,  	 F3 --   1/8th.( 96) <      > 	V 95 - M 32	=+63  %+66  	q= -1  %-1  	 0.546(81)<-----%66   %1



silence
printNotes: i= 100-<   0   40 -40>,  	Slc --  1/4th..(224) <      > 	V230 - M224	= +6  %+3  	q= +6  %+3  	 1.329(81)
printNotes: i= 101-<2396 2462 -66>,  	 F3 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 102-<2465 2462   3>,  	 F3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 103-<2755 2781 -26>,  	Ab3 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(81)<-----%100   %0 <<

printNotes: i= 104-<2678 2681  -3>,  	 G3 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
printNotes: i= 105-<2501 2462  39>,  	 F3 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 106-<2608 2681 -73>,  	 G3 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 107-<2515 2462  53>,  	 F3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 108-<2632 2681 -49>,  	 G3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 109-<2453 2462  -9>,  	 F3 --    1/4th(128) <1*sela> 	V153 - M 64	=+89  %+58  	q=+25  %+16  	 0.882(81)<-----%58   %16

printNotes: i= 110-<2460 2462  -2>,  	 F3 --     half(256) <      > 	V256 - M256	=  +  %+0  	q=  +  %+0  	 1.480(81)<-- same note
printNotes: i= 111-<2306 2355 -49>,  	 E3 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 112-<2232 2462 -230>,  	 F3 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 113-<2315 2355 -40>,  	 E3 --    128th(  4) <      > 	V  3 - M 32	=-29  %-967  	q= -1  %-33  	 0.012(81)<-----%967   %33 <<

printNotes: i= 114-<2222 2185  37>,  	 D3 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(81)<-----%22   %17

