	voice Midi Diff								present		 Best		Sec

printNotes: i= 69-<2180 2179   1>,  	 D3 --  1/16th.( 49) <      > 	V 49 - M 33	=+16  %+33  	q=  +  %+0  	 0.279(79)<-----%33   %0

printNotes: i= 70-<1965 1958   7>,  	 C3 --   1/16th( 33) <      > 	V 33 - M 16	=+17  %+52  	q=  +  %+0  	 0.186(79)<-----%52   %0

printNotes: i= 71-<2184 2179   5>,  	 D3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
printNotes: i= 72-<1970 1958  12>,  	 C3 --   1/8th.( 98) <      > 	V105 - M 65	=+40  %+38  	q= +7  %+7  	 0.604(79)<-----%38   %7

printNotes: i= 73-<2193 2179  14>,  	 D3 --     half(261) <      > 	V247 - M196	=+51  %+21  	q=-14  %-6  	 1.428(79)<-----%21   %6



silence
printNotes: i= 74-<   0   40 -40>,  	Slc --   1/8th.( 98) <      > 	V103 - M131	=-28  %-27  	q= +5  %+5  	 0.592(79)<-----%27   %5

printNotes: i= 75-<1668 1743 -75>,  	Bb2 --  1/16th.( 49) <      > 	V 51 - M 33	=+18  %+35  	q= +2  %+4  	 0.290(79)<-----%35   %4

printNotes: i= 76-<1953 1958  -5>,  	 C3 -- 1/16th..( 57) <      > 	V 60 - M 33	=+27  %+45  	q= +3  %+5  	 0.342(79)<-----%45   %5

printNotes: i= 77-<2126 2179 -53>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(79)<-----%136   %0 <<

printNotes: i= 78-<1982 1958  24>,  	 C3 --   1/32nd( 16) <      > 	V 20 - M 16	= +4  %+20  	q= +4  %+20  	 0.110(79)
printNotes: i= 79-<2060 2179 -119>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 80-<2005 1958  47>,  	 C3 --  1/32nd.( 25) <      > 	V 22 - M 33	=-11  %-50  	q= -3  %-14  	 0.122(79)<-----%50   %14

printNotes: i= 81-<1772 1743  29>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 33	=-20  %-154  	q= +1  %+8  	 0.070(79)<-----%154   %8 <<

printNotes: i= 82-<1958 1958    >,  	 C3 --  1/16th.( 49) <      > 	V 50 - M 98	=-48  %-96  	q= +1  %+2  	 0.284(79)<-----%96   %2

