	voice Midi Diff								present		 Best		Sec

printNotes: i= 69-<1448 1611 -163>,  	Ak2 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(72)
printNotes: i= 70-<1627 1611  16>,  	Ak2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
printNotes: i= 71-<1773 1741  32>,  	Bb2 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(72)
printNotes: i= 72-<1599 1611 -12>,  	Ak2 --   1/64th(  9) <      > 	V 11 - M 18	= -7  %-64  	q= +2  %+18  	 0.058(72)<-----%64   %18 <<

printNotes: i= 73-<1754 1741  13>,  	Bb2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(72)
printNotes: i= 74-<1628 1611  17>,  	Ak2 --   1/32nd( 18) <      > 	V 21 - M 36	=-15  %-71  	q= +3  %+14  	 0.116(72)<-----%71   %14

printNotes: i= 75-<1463 1477 -14>,  	 G2 -- 1/64th..( 16) <      > 	V 15 - M 18	= -3  %-20  	q= -1  %-7  	 0.081(72)<-----%20   %7 <<

printNotes: i= 76-<1613 1611   2>,  	Ak2 -- 1/64th..( 16) <      > 	V 15 - M 18	= -3  %-20  	q= -1  %-7  	 0.081(72)<-----%20   %7 <<

printNotes: i= 77-<1479 1477   2>,  	 G2 --  1/32nd.( 27) <      > 	V 24 - M 72	=-48  %-200  	q= -3  %-12  	 0.134(72)<-----%200   %12



silence
printNotes: i= 78-<   0   40 -40>,  	Slc --   1/16th( 36) <      > 	V 36 - M  9	=+27  %+75  	q=  +  %+0  	 0.203(72)<-----%75   %0

printNotes: i= 79-<1489 1477  12>,  	 G2 --    1/4th(144) <      > 	V139 - M 72	=+67  %+48  	q= -5  %-4  	 0.801(72)<-----%48   %4

printNotes: i= 80-<1593 1611 -18>,  	Ak2 --   1/32nd( 18) <      > 	V 19 - M 36	=-17  %-89  	q= +1  %+5  	 0.104(72)<-----%89   %5

printNotes: i= 81-<1497 1477  20>,  	 G2 -- 1/32nd..( 31) <      > 	V 29 - M 36	= -7  %-24  	q= -2  %-7  	 0.163(72)<-----%24   %7

printNotes: i= 82-<1589 1611 -22>,  	Ak2 --   128th.(  7) <      > 	V  6 - M 36	=-30  %-500  	q= -1  %-17  	 0.029(72)<-----%500   %17 <<



silence
printNotes: i= 83-< 584   40 544>,  	Slc --   128th.(  7) <      > 	V  5 - M  9	= -4  %-80  	q= -2  %-40  	 0.023(72)<-----%80   %40 <<

printNotes: i= 84-<1271 1268   3>,  	 F2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)
printNotes: i= 85-<1297 1268  29>,  	 F2 --   128th.(  7) <      > 	V  6 - M 36	=-30  %-500  	q= -1  %-17  	 0.029(72)<-- same note<-----%500   %17 <<

printNotes: i= 86-<1439 1477 -38>,  	 G2 --     half(287) <      > 	V277 - M287	=-10  %-4  	q=-10  %-4  	 1.602(72)


silence
printNotes: i= 87-<   0   40 -40>,  	Slc --   half..(503) <      > 	V514 - M431	=+83  %+16  	q=+11  %+2  	 2.978(72)<-----%16   %2

printNotes: i= 88-<1673 1964 -291>,  	 C3 --    1/8th( 72) <      > 	V 79 - M 72	= +7  %+9  	q= +7  %+9  	 0.453(72)
printNotes: i= 89-<2451 2472 -21>,  	 F3 -- 1/64th..( 16) <      > 	V 14 - M 36	=-22  %-157  	q= -2  %-14  	 0.075(72)<-----%157   %14 <<

printNotes: i= 90-<2219 2255 -36>,  	Eb3 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(72)
printNotes: i= 91-<2183 2181   2>,  	 D3 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(72)
printNotes: i= 92-<2203 2255 -52>,  	Eb3 --  1/64th.( 13) <      > 	V 10 - M 18	= -8  %-80  	q= -3  %-30  	 0.052(72)<-----%80   %30 <<

printNotes: i= 93-<1993 1964  29>,  	 C3 --  1/32nd.( 27) <      > 	V 28 - M 54	=-26  %-93  	q= +1  %+4  	 0.157(72)<-----%93   %4



silence
printNotes: i= 94-<   0   40 -40>,  	Slc --   1/16th( 36) <      > 	V 38 - M  9	=+29  %+76  	q= +2  %+5  	 0.215(72)<-----%76   %5

printNotes: i= 95-<1828 1964 -136>,  	 C3 --     half(287) <      > 	V273 - M144	=+129  %+47  	q=-14  %-5  	 1.579(72)<-----%47   %5

printNotes: i= 96-<1943 1964 -21>,  	 C3 --    1/8th( 72) <      > 	V 72 - M 72	=  +  %+0  	q=  +  %+0  	 0.412(72)<-- same note
printNotes: i= 97-<2431 2472 -41>,  	 F3 -- 1/64th..( 16) <      > 	V 16 - M 36	=-20  %-125  	q=  +  %+0  	 0.087(72)<-----%125   %0 <<

printNotes: i= 98-<2269 2255  14>,  	Eb3 --    128th(  4) <      > 	V  3 - M 36	=-33  %-1100  	q= -1  %-33  	 0.012(72)<-----%1100   %33 <<

printNotes: i= 99-<2179 2181  -2>,  	 D3 --   1/16th( 36) <      > 	V 44 - M 18	=+26  %+59  	q= +8  %+18  	 0.250(72)<-----%59   %18

printNotes: i= 100-<2202 2255 -53>,  	Eb3 --  1/64th.( 13) <      > 	V 13 - M 18	= -5  %-38  	q=  +  %+0  	 0.070(72)<-----%38   %0 <<

printNotes: i= 101-<1695 1964 -269>,  	 C3 --    1/4th(144) <      > 	V139 - M 72	=+67  %+48  	q= -5  %-4  	 0.801(72)<-----%48   %4



silence
printNotes: i= 102-<   0   40 -40>,  	Slc --    1/8th( 72) <      > 	V 82 - M144	=-62  %-76  	q=+10  %+12  	 0.470(72)<-----%76   %12

printNotes: i= 103-<1648 1964 -316>,  	 C3 --  1/8th..(126) <      > 	V127 - M 72	=+55  %+43  	q= +1  %+1  	 0.731(72)<-----%43   %1

printNotes: i= 104-<1994 1964  30>,  	 C3 --    1/8th( 72) <      > 	V 72 - M 72	=  +  %+0  	q=  +  %+0  	 0.412(72)<-- same note
printNotes: i= 105-<2147 2181 -34>,  	 D3 --   1/16th( 36) <      > 	V 44 - M 36	= +8  %+18  	q= +8  %+18  	 0.250(72)
printNotes: i= 106-<2243 2255 -12>,  	Eb3 -- 1/16th..( 63) <      > 	V 64 - M 72	= -8  %-12  	q= +1  %+2  	 0.366(72)<-----%12   %2

printNotes: i= 107-<2185 2181   4>,  	 D3 --   1/16th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(72)
printNotes: i= 108-<2312 2472 -160>,  	 F3 --   1/8th.(108) <      > 	V113 - M108	= +5  %+4  	q= +5  %+4  	 0.650(72)
printNotes: i= 109-<2448 2679 -231>,  	 G3 --  1/64th.( 13) <      > 	V 13 - M 36	=-23  %-177  	q=  +  %+0  	 0.070(72)<-----%177   %0 <<

printNotes: i= 110-<2464 2472  -8>,  	 F3 --  1/32nd.( 27) <      > 	V 28 - M 36	= -8  %-29  	q= +1  %+4  	 0.157(72)<-----%29   %4

printNotes: i= 111-<2259 2255   4>,  	Eb3 -- 1/64th..( 16) <      > 	V 15 - M 18	= -3  %-20  	q= -1  %-7  	 0.081(72)<-----%20   %7 <<

printNotes: i= 112-<2397 2472 -75>,  	 F3 --   128th.(  7) <      > 	V  7 - M 18	=-11  %-157  	q=  +  %+0  	 0.035(72)<-----%157   %0 <<

printNotes: i= 113-<2274 2255  19>,  	Eb3 --  1/32nd.( 27) <      > 	V 25 - M 36	=-11  %-44  	q= -2  %-8  	 0.139(72)<-----%44   %8

printNotes: i= 114-<2169 2181 -12>,  	 D3 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(72)
printNotes: i= 115-<2253 2255  -2>,  	Eb3 --  128th..(  8) <      > 	V  8 - M 18	=-10  %-125  	q=  +  %+0  	 0.041(72)<-----%125   %0 <<

printNotes: i= 116-<2166 2181 -15>,  	 D3 --  1/32nd.( 27) <      > 	V 27 - M 36	= -9  %-33  	q=  +  %+0  	 0.151(72)<-----%33   %0

printNotes: i= 117-<2018 1964  54>,  	 C3 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(72)
