	voice Midi Diff								present		 Best		Sec

printNotes: i= 76-<2692 2887 -195>,  	 C3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 77-<2617 2653 -36>,  	Bb2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(77)<-----%10   %3

printNotes: i= 78-<1865 2587 -722>,  	 A2 --  1/16th.( 50) <      > 	V 43 - M 33	=+10  %+23  	q= -7  %-16  	 0.244(77)<-----%23   %16

printNotes: i= 79-<1228 2653 -1425>,  	Bb2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(77)
printNotes: i= 80-<2591 2587   4>,  	 A2 --    1/8th( 67) <      > 	V 77 - M134	=-57  %-74  	q=+10  %+13  	 0.441(77)<-----%74   %13

printNotes: i= 81-<2642 2653 -11>,  	Bb2 --   1/8th.(100) <      > 	V101 - M100	= +1  %+1  	q= +1  %+1  	 0.580(77)
printNotes: i= 82-<2572 2587 -15>,  	 A2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 83-<2699 2653  46>,  	Bb2 --  1/16th.( 50) <      > 	V 47 - M 17	=+30  %+64  	q= -3  %-6  	 0.267(77)<-----%64   %6

printNotes: i= 84-<2587 2587    >,  	 A2 --  1/32nd.( 25) <      > 	V 22 - M 17	= +5  %+23  	q= -3  %-14  	 0.122(77)<-----%23   %14

printNotes: i= 85-<2746 2653  93>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 86-<2563 2587 -24>,  	 A2 --   1/16th( 33) <      > 	V 31 - M 17	=+14  %+45  	q= -2  %-6  	 0.174(77)<-----%45   %6

printNotes: i= 87-<2661 2653   8>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 88-<2411 2392  19>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 17	=+16  %+48  	q=  +  %+0  	 0.186(77)<-----%48   %0

printNotes: i= 89-<2643 2587  56>,  	 A2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 90-<2399 2392   7>,  	 G2 --   1/16th( 33) <      > 	V 34 - M 17	=+17  %+50  	q= +1  %+3  	 0.192(77)<-----%50   %3

printNotes: i= 91-<2550 2587 -37>,  	 A2 --  1/64th.( 13) <      > 	V 11 - M 17	= -6  %-55  	q= -2  %-18  	 0.058(77)<-----%55   %18 <<

printNotes: i= 92-<2209 2182  27>,  	 F2 --  1/16th.( 50) <      > 	V 43 - M 17	=+26  %+60  	q= -7  %-16  	 0.244(77)<-----%60   %16

printNotes: i= 93-<2391 2392  -1>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(77)<-----%21   %7 <<

printNotes: i= 94-<2207 2182  25>,  	 F2 --    1/8th( 67) <      > 	V 72 - M 33	=+39  %+54  	q= +5  %+7  	 0.412(77)<-----%54   %7

printNotes: i= 95-<2402 2392  10>,  	 G2 --  1/16th.( 50) <      > 	V 50 - M 45	= +5  %+10  	q=  +  %+0  	 0.284(77)<-----%10   %0

printNotes: i= 96-<2547 2587 -40>,  	 A2 -- 1/32nd..( 29) <      > 	V 30 - M 45	=-15  %-50  	q= +1  %+3  	 0.168(77)<-----%50   %3

printNotes: i= 97-<2400 2392   8>,  	 G2 --  1/16th.( 50) <      > 	V 46 - M 45	= +1  %+2  	q= -4  %-9  	 0.261(77)
printNotes: i= 98-<2607 2653 -46>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M 33	=-25  %-312  	q=  +  %+0  	 0.041(77)<-----%312   %0 <<

printNotes: i= 99-<2555 2587 -32>,  	 A2 --    1/8th( 67) <      > 	V 80 - M 33	=+47  %+59  	q=+13  %+16  	 0.459(77)<-----%59   %16

printNotes: i= 100-<2387 2392  -5>,  	 G2 --    1/8th( 67) <      > 	V 74 - M 67	= +7  %+9  	q= +7  %+9  	 0.424(77)
printNotes: i= 101-<1991 2182 -191>,  	 F2 --  1/16th.( 50) <      > 	V 48 - M 33	=+15  %+31  	q= -2  %-4  	 0.273(77)<-----%31   %4



silence
printNotes: i= 102-<   0   40 -40>,  	Slc --    whole(535) <1*sela> 	V563 - M502	=+61  %+11  	q=+28  %+5  	 3.262(77)<-----%11   %5

printNotes: i= 103-<1140 2587 -1447>,  	 A2 --  1/16th.( 50) <      > 	V 51 - M 50	= +1  %+2  	q= +1  %+2  	 0.290(77)
printNotes: i= 104-<2651 2653  -2>,  	Bb2 --  1/64th.( 13) <      > 	V  9 - M 33	=-24  %-267  	q= -4  %-44  	 0.046(77)<-----%267   %44 <<

printNotes: i= 105-<1512 2587 -1075>,  	 A2 --    1/8th( 67) <      > 	V 81 - M 50	=+31  %+38  	q=+14  %+17  	 0.464(77)<-----%38   %17

printNotes: i= 106-<2654 2653   1>,  	Bb2 --   1/16th( 33) <      > 	V 36 - M 50	=-14  %-39  	q= +3  %+8  	 0.203(77)<-----%39   %8

printNotes: i= 107-<2593 2587   6>,  	 A2 --   1/16th( 33) <      > 	V 41 - M 50	= -9  %-22  	q= +8  %+20  	 0.232(77)
printNotes: i= 108-<2657 2653   4>,  	Bb2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i= 109-<1754 2587 -833>,  	 A2 -- 1/32nd..( 29) <      > 	V 28 - M 33	= -5  %-18  	q= -1  %-4  	 0.157(77)<-----%18   %4

printNotes: i= 110-< 906 2653 -1747>,  	Bb2 --   1/16th( 33) <      > 	V 41 - M 33	= +8  %+20  	q= +8  %+20  	 0.232(77)
printNotes: i= 111-<1616 2587 -971>,  	 A2 --  1/16th.( 50) <      > 	V 52 - M 50	= +2  %+4  	q= +2  %+4  	 0.296(77)
printNotes: i= 112-<2650 2653  -3>,  	Bb2 --   1/32nd( 17) <      > 	V 17 - M 33	=-16  %-94  	q=  +  %+0  	 0.093(77)<-----%94   %0

printNotes: i= 113-<2577 2587 -10>,  	 A2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(77)
