	voice Midi Diff								present		 Best		Sec

i= 83--<1763 1627 136>,   	Bb1 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 84--<2211 2318 -107>,   	 F2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(94)
i= 85--<2255 2218  37>,   	 E2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(94)
i= 86--<2595 2653 -58>,   	Ak2 --  1/32nd.( 20) <      > 	V 19 - M 21	= -2  %-11  	q= -1  %-5  	 0.104(94)
i= 87--<2187 2519 -332>,   	 G2 --     half(220) <      > 	V220 - M193	=+27  %+12  	q=  +  %+0  	 1.271(94)<-----%12   %0

i= 88--<2679 2653  26>,   	Ak2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 89--<1793 2519 -726>,   	 G2 --  1/32nd.( 20) <      > 	V 21 - M 21	=  +  %+0  	q= +1  %+5  	 0.116(94)
i= 90--<1614 2318 -704>,   	 F2 --  1/8th..( 96) <      > 	V 98 - M 97	= +1  %+1  	q= +2  %+2  	 0.563(94)
i= 91--<2621 2653 -32>,   	Ak2 --   1/16th( 27) <      > 	V 28 - M 25	= +3  %+11  	q= +1  %+4  	 0.157(94)<-----%11   %4

i= 92--<2522 2519   3>,   	 G2 -- 1/16th..( 48) <      > 	V 49 - M 49	=  +  %+0  	q= +1  %+2  	 0.279(94)
i= 93--<2663 2653  10>,   	Ak2 --    1/8th( 55) <      > 	V 67 - M 56	=+11  %+16  	q=+12  %+18  	 0.383(94)
i= 94--<2347 2519 -172>,   	 G2 --  1/8th..( 96) <      > 	V102 - M 97	= +5  %+5  	q= +6  %+6  	 0.586(94)


silence
i= 95--<   0   40 -40>,   	Slc --     half(220) <      > 	V221 - M199	=+22  %+10  	q= +1  %+0  	 1.277(94)<-----%10   %0

i= 96--<1940 1827 113>,   	 C2 --   128th.(  5) <      > 	V  5 - M  6	= -1  %-20  	q=  +  %+0  	 0.023(94)
i= 97--<2302 2318 -16>,   	 F2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 98--<2486 2519 -33>,   	 G2 --  1/32nd.( 20) <      > 	V 18 - M 14	= +4  %+22  	q= -2  %-11  	 0.099(94)<-----%22   %11

i= 99--<1820 2318 -498>,   	 F2 --   1/4th.(165) <      > 	V162 - M166	= -4  %-2  	q= -3  %-2  	 0.935(94)
i= 100--<1505 2152 -647>,   	Ek2 --    1/8th( 55) <      > 	V 54 - M 49	= +5  %+9  	q= -1  %-2  	 0.308(94)<-----%9   %2

i= 101--<2036 2027   9>,   	 D2 --  1/16th.( 41) <      > 	V 42 - M 42	=  +  %+0  	q= +1  %+2  	 0.238(94)
i= 102--<2282 2318 -36>,   	 F2 -- 1/32nd..( 24) <      > 	V 22 - M 21	= +1  %+5  	q= -2  %-9  	 0.122(94)
i= 103--<2144 2152  -8>,   	Ek2 --   1/16th( 27) <      > 	V 32 - M 28	= +4  %+12  	q= +5  %+16  	 0.180(94)
i= 104--<2037 2027  10>,   	 D2 --    1/4th(110) <1*sela> 	V129 - M111	=+18  %+14  	q=+19  %+15  	 0.743(94)
i= 105--<2299 2318 -19>,   	 F2 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 106--<2167 2152  15>,   	Ek2 --  1/8th..( 96) <      > 	V 89 - M 83	= +6  %+7  	q= -7  %-8  	 0.511(94)
i= 107--<2423 2519 -96>,   	 G2 --   1/64th(  6) <      > 	V  8 - M 11	= -3  %-38  	q= +2  %+25  	 0.041(94)<-----%38   %25 <<

i= 108--<2308 2318 -10>,   	 F2 --    1/4th(110) <      > 	V103 - M 97	= +6  %+6  	q= -7  %-7  	 0.592(94)
i= 109--<2368 2653 -285>,   	Ak2 --  1/64th.( 10) <      > 	V  9 - M  7	= +2  %+22  	q= -1  %-11  	 0.046(94)<-----%22   %11 <<

i= 110--<2534 2519  15>,   	 G2 --  1/16th.( 41) <      > 	V 44 - M 42	= +2  %+5  	q= +3  %+7  	 0.250(94)
i= 111--<2681 2653  28>,   	Ak2 --  1/16th.( 41) <      > 	V 40 - M 42	= -2  %-5  	q= -1  %-2  	 0.226(94)
