	voice Midi Diff								present		 Best		Sec

printNotes: i= 65-<1568 2159 -591>,  	 F2 --    128th(  4) <      > 	V  4 - M 32	=-28  %-700  	q=  +  %+0  	 0.017(81)<-----%700   %0 <<

printNotes: i= 66-<2018 2008  10>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 67-<2107 2159 -52>,  	 F2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(81)<-----%167   %0 <<

printNotes: i= 68-<2010 2008   2>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 69-<2251 2159  92>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 70-<1969 2008 -39>,  	Ek2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(81)
printNotes: i= 71-<1757 1867 -110>,  	 D2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 72-<2030 2008  22>,  	Ek2 --     half(254) <      > 	V240 - M254	=-14  %-6  	q=-14  %-6  	 1.387(81)


silence
printNotes: i= 73-<   0   40 -40>,  	Slc --    half.(381) <      > 	V396 - M381	=+15  %+4  	q=+15  %+4  	 2.293(81)
printNotes: i= 74-<1626 1659 -33>,  	 C2 --    1/4th(127) <1*sela> 	V150 - M190	=-40  %-27  	q=+23  %+15  	 0.865(81)<-----%27   %15

printNotes: i= 75-<2134 2159 -25>,  	 F2 --   1/4th.(190) <-1*sela> 	V160 - M190	=-30  %-19  	q=-30  %-19  	 0.923(81)
printNotes: i= 76-<2003 2008  -5>,  	Ek2 --   1/4th.(190) <      > 	V190 - M190	=  +  %+0  	q=  +  %+0  	 1.097(81)
