	voice Midi Diff								present		 Best		Sec

printNotes: i= 111-<2001 1992   9>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(84)<-----%48   %10

printNotes: i= 112-<2176 2152  24>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 15	=+12  %+44  	q=  +  %+0  	 0.151(84)<-----%44   %0

printNotes: i= 113-<2318 2362 -44>,  	 G2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(84)<-----%150   %0 <<

printNotes: i= 114-<2168 2152  16>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

printNotes: i= 115-<2388 2362  26>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 15	=+19  %+56  	q= +3  %+9  	 0.192(84)<-----%56   %9

printNotes: i= 116-<2526 2556 -30>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 117-<2176 2152  24>,  	 F2 --  1/32nd.( 23) <      > 	V 19 - M 31	=-12  %-63  	q= -4  %-21  	 0.104(84)<-----%63   %21

printNotes: i= 118-<2348 2362 -14>,  	 G2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(84)
printNotes: i= 119-<2162 2152  10>,  	 F2 --     half(246) <      > 	V232 - M246	=-14  %-6  	q=-14  %-6  	 1.341(84)
printNotes: i= 120-<2458 2362  96>,  	 G2 --   1/8th.( 92) <      > 	V 88 - M 61	=+27  %+31  	q= -4  %-5  	 0.505(84)<-----%31   %5



silence
printNotes: i= 121-<   0   40 -40>,  	Slc --   half..(430) <1*sela> 	V451 - M430	=+21  %+5  	q=+21  %+5  	 2.612(84)
printNotes: i= 122-<1872 2152 -280>,  	 F2 --   1/16th( 31) <      > 	V 30 - M 15	=+15  %+50  	q= -1  %-3  	 0.168(84)<-----%50   %3

printNotes: i= 123-<2357 2362  -5>,  	 G2 --   1/4th.(184) <      > 	V172 - M184	=-12  %-7  	q=-12  %-7  	 0.993(84)
printNotes: i= 124-<1141 2152 -1011>,  	 F2 --   1/8th.( 92) <      > 	V 83 - M 61	=+22  %+27  	q= -9  %-11  	 0.476(84)<-----%27   %11

printNotes: i= 125-<2342 2362 -20>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 61	=-30  %-97  	q=  +  %+0  	 0.174(84)<-----%97   %0

printNotes: i= 126-<2155 2152   3>,  	 F2 --  1/16th.( 46) <      > 	V 44 - M 61	=-17  %-39  	q= -2  %-5  	 0.250(84)<-----%39   %5

printNotes: i= 127-<2344 2362 -18>,  	 G2 --  1/16th.( 46) <      > 	V 39 - M 61	=-22  %-56  	q= -7  %-18  	 0.221(84)<-----%56   %18

