	voice Midi Diff								present		 Best		Sec

printNotes: i= 131-<3584 3029 555>,  	 G3 -- 1/64th..( 13) <      > 	V 14 - M 31	=-17  %-121  	q= +1  %+7  	 0.075(84)<-----%121   %7 <<

printNotes: i= 132-<4016 2813 1203>,  	 F3 --   1/8th.( 92) <      > 	V 92 - M 61	=+31  %+34  	q=  +  %+0  	 0.528(84)<-----%34   %0

printNotes: i= 133-<4214 3029 1185>,  	 G3 -- 1/64th..( 13) <      > 	V 13 - M 31	=-18  %-138  	q=  +  %+0  	 0.070(84)<-----%138   %0 <<

printNotes: i= 134-<4022 2813 1209>,  	 F3 -- 1/16th..( 54) <      > 	V 51 - M 31	=+20  %+39  	q= -3  %-6  	 0.290(84)<-----%39   %6

printNotes: i= 135-<4241 3029 1212>,  	 G3 --   1/32nd( 15) <      > 	V 15 - M 31	=-16  %-107  	q=  +  %+0  	 0.081(84)<-----%107   %0 <<

printNotes: i= 136-<4032 2813 1219>,  	 F3 --  1/16th.( 46) <      > 	V 46 - M 31	=+15  %+33  	q=  +  %+0  	 0.261(84)<-----%33   %0

printNotes: i= 137-< 193 2700 -2507>,  	 E3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 138-<4120 3029 1091>,  	 G3 --    1/4th(123) <1*sela> 	V148 - M123	=+25  %+17  	q=+25  %+17  	 0.853(84)
printNotes: i= 139-<4069 2813 1256>,  	 F3 --   1/16th( 31) <      > 	V 30 - M 61	=-31  %-103  	q= -1  %-3  	 0.168(84)<-----%103   %3

printNotes: i= 140-<4205 3029 1176>,  	 G3 --  1/64th.( 12) <      > 	V  9 - M 31	=-22  %-244  	q= -3  %-33  	 0.046(84)<-----%244   %33 <<

printNotes: i= 141-<4040 2813 1227>,  	 F3 --  1/16th.( 46) <      > 	V 45 - M 15	=+30  %+67  	q= -1  %-2  	 0.255(84)<-----%67   %2

printNotes: i= 142-<4097 3029 1068>,  	 G3 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(84)<-----%275   %0 <<

printNotes: i= 143-<4023 2813 1210>,  	 F3 --    128th(  4) <      > 	V  3 - M 31	=-28  %-933  	q= -1  %-33  	 0.012(84)<-----%933   %33 <<

printNotes: i= 144-<3917 2700 1217>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(84)<-----%182   %9 <<

printNotes: i= 145-<3974 2813 1161>,  	 F3 --  1/16th.( 46) <      > 	V 43 - M 31	=+12  %+28  	q= -3  %-7  	 0.244(84)<-----%28   %7

printNotes: i= 146-<3919 2700 1219>,  	 E3 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 147-<4104 2813 1291>,  	 F3 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(84)<-----%55   %15

printNotes: i= 148-<3903 2700 1203>,  	 E3 -- 1/32nd..( 27) <      > 	V 28 - M 61	=-33  %-118  	q= +1  %+4  	 0.157(84)<-----%118   %4

printNotes: i= 149-< 633 2534 -1901>,  	 D3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
