	voice Midi Diff								present		 Best		Sec

printNotes: i= 111-<1213 2101 -888>,  	Bb2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(85)
printNotes: i= 112-<2099 2322 -223>,  	 C3 --  1/16th.( 46) <      > 	V 40 - M 30	=+10  %+25  	q= -6  %-15  	 0.226(85)<-----%25   %15

printNotes: i= 113-<2515 2510   5>,  	 D3 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(85)<-----%25   %4

printNotes: i= 114-<2582 2585  -3>,  	Eb3 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(85)
printNotes: i= 115-<2456 2510 -54>,  	 D3 --   1/16th( 30) <      > 	V 35 - M 15	=+20  %+57  	q= +5  %+14  	 0.197(85)<-----%57   %14



silence
printNotes: i= 116-<   0   40 -40>,  	Slc --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(85)<-----%50   %10 <<

printNotes: i= 117-<2366 2822 -456>,  	 F3 -- 1/32nd..( 27) <      > 	V 27 - M 15	=+12  %+44  	q=  +  %+0  	 0.151(85)<-----%44   %0

printNotes: i= 118-<2482 2585 -103>,  	Eb3 -- 1/32nd..( 27) <      > 	V 27 - M 15	=+12  %+44  	q=  +  %+0  	 0.151(85)<-----%44   %0

printNotes: i= 119-<2515 2510   5>,  	 D3 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 120-<1093 2322 -1229>,  	 C3 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(85)<-----%30   %0

printNotes: i= 121-<2139 2101  38>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(85)<-----%114   %7 <<

printNotes: i= 122-<2162 2322 -160>,  	 C3 --  1/8th..(107) <      > 	V111 - M 61	=+50  %+45  	q= +4  %+4  	 0.639(85)<-----%45   %4

printNotes: i= 123-<2159 2322 -163>,  	 C3 --   1/4th.(183) <      > 	V183 - M183	=  +  %+0  	q=  +  %+0  	 1.057(85)<-- same note


silence
printNotes: i= 124-< 337   40 297>,  	Slc --    1/4th(122) <      > 	V118 - M 91	=+27  %+23  	q= -4  %-3  	 0.679(85)<-----%23   %3

printNotes: i= 125-<2094 2101  -7>,  	Bb2 -- 1/32nd..( 27) <      > 	V 25 - M 46	=-21  %-84  	q= -2  %-8  	 0.139(85)<-----%84   %8

printNotes: i= 126-<2093 2101  -8>,  	Bb2 --    128th(  4) <      > 	V  3 - M 30	=-27  %-900  	q= -1  %-33  	 0.012(85)<-- same note<-----%900   %33 <<

printNotes: i= 127-< 798 1947 -1149>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 46	=-28  %-156  	q= +3  %+17  	 0.099(85)<-----%156   %17

printNotes: i= 128-<   0 1947 -1947>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)<-- same note
printNotes: i= 129-<2105 2101   4>,  	Bb2 --   1/16th( 30) <      > 	V 35 - M 15	=+20  %+57  	q= +5  %+14  	 0.197(85)<-----%57   %14

printNotes: i= 130-<1665 1947 -282>,  	Ak2 --    1/4th(122) <1*sela> 	V137 - M 30	=+107  %+78  	q=+15  %+11  	 0.789(85)<-----%78   %11

printNotes: i= 131-<1811 1810   1>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(85)<-----%100   %0 <<

printNotes: i= 132-<1942 1947  -5>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(85)<-----%48   %3

printNotes: i= 133-<2087 2101 -14>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(85)
