	voice Midi Diff								present		 Best		Sec

printNotes: i= 67-<2830 2808  22>,  	 F3 -- 1/16th..( 52) <      > 	V 55 - M 59	= -4  %-7  	q= +3  %+5  	 0.313(88)


silence
printNotes: i= 68-< 127   40  87>,  	Slc --  1/4th..(207) <      > 	V202 - M177	=+25  %+12  	q= -5  %-2  	 1.167(88)<-----%12   %2

printNotes: i= 69-<2384 2808 -424>,  	 F3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(88)
printNotes: i= 70-<2781 2808 -27>,  	 F3 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(88)<-- same note
printNotes: i= 71-<2772 2706  66>,  	 E3 --   1/64th(  7) <      > 	V  7 - M 30	=-23  %-329  	q=  +  %+0  	 0.035(88)<-----%329   %0 <<

printNotes: i= 72-<2809 2808   1>,  	 F3 --   1/8th.( 89) <      > 	V 84 - M 59	=+25  %+30  	q= -5  %-6  	 0.482(88)<-----%30   %6

printNotes: i= 73-<2838 3026 -188>,  	 G3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(88)
printNotes: i= 74-<2831 2808  23>,  	 F3 -- 1/16th..( 52) <      > 	V 49 - M 59	=-10  %-20  	q= -3  %-6  	 0.279(88)<-----%20   %6

printNotes: i= 75-<2735 2706  29>,  	 E3 --  1/16th.( 44) <      > 	V 37 - M 59	=-22  %-59  	q= -7  %-19  	 0.209(88)<-----%59   %19

printNotes: i= 76-< 750 2440 -1690>,  	Dk3 --    1/8th( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(88)
printNotes: i= 77-<2344 2324  20>,  	 C3 --  1/64th.( 11) <      > 	V  8 - M 59	=-51  %-638  	q= -3  %-38  	 0.041(88)<-----%638   %38 <<

printNotes: i= 78-<2440 2440    >,  	Dk3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(88)
printNotes: i= 79-<2786 2808 -22>,  	 F3 --  1/16th.( 44) <      > 	V 39 - M 59	=-20  %-51  	q= -5  %-13  	 0.221(88)<-----%51   %13

printNotes: i= 80-<2684 2706 -22>,  	 E3 --  1/16th.( 44) <      > 	V 45 - M 39	= +6  %+13  	q= +1  %+2  	 0.255(88)<-----%13   %2

printNotes: i= 81-<2792 2808 -16>,  	 F3 --   1/16th( 30) <      > 	V 36 - M 39	= -3  %-8  	q= +6  %+17  	 0.203(88)
printNotes: i= 82-<2719 2706  13>,  	 E3 --   1/4th.(177) <      > 	V184 - M157	=+27  %+15  	q= +7  %+4  	 1.062(88)<-----%15   %4



silence
printNotes: i= 83-<   0   40 -40>,  	Slc --    1/4th(118) <      > 	V118 - M177	=-59  %-50  	q=  +  %+0  	 0.679(88)<-----%50   %0

printNotes: i= 84-<1806 2096 -290>,  	Bb2 --  1/16th.( 44) <      > 	V 45 - M 59	=-14  %-31  	q= +1  %+2  	 0.255(88)<-----%31   %2

printNotes: i= 85-<2313 2324 -11>,  	 C3 --   1/4th.(177) <-1*sela> 	V149 - M118	=+31  %+21  	q=-28  %-19  	 0.859(88)
printNotes: i= 86-<2589 2706 -117>,  	 E3 --   1/64th(  7) <      > 	V  9 - M 30	=-21  %-233  	q= +2  %+22  	 0.046(88)<-----%233   %22 <<

printNotes: i= 87-<2418 2440 -22>,  	Dk3 --  1/8th..(103) <      > 	V 97 - M 59	=+38  %+39  	q= -6  %-6  	 0.557(88)<-----%39   %6

printNotes: i= 88-<2232 2324 -92>,  	 C3 -- 1/32nd..( 26) <      > 	V 24 - M 30	= -6  %-25  	q= -2  %-8  	 0.134(88)<-----%25   %8

printNotes: i= 89-<2623 2706 -83>,  	 E3 --    1/4th(118) <      > 	V132 - M118	=+14  %+11  	q=+14  %+11  	 0.760(88)
printNotes: i= 90-<2812 2808   4>,  	 F3 --    1/8th( 59) <      > 	V 58 - M 89	=-31  %-53  	q= -1  %-2  	 0.331(88)<-----%53   %2

printNotes: i= 91-<3040 3026  14>,  	 G3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 92-<2809 2808   1>,  	 F3 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(88)<-----%20   %4

printNotes: i= 93-<2205 2706 -501>,  	 E3 --  1/16th.( 44) <      > 	V 40 - M 15	=+25  %+62  	q= -4  %-10  	 0.226(88)<-----%62   %10

printNotes: i= 94-<2720 2808 -88>,  	 F3 --    128th(  4) <      > 	V  2 - M 15	=-13  %-650  	q= -2  %-100  	 0.006(88)<-----%650   %100 <<

printNotes: i= 95-<2654 2706 -52>,  	 E3 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(88)<-----%131   %0 <<

printNotes: i= 96-<2466 2440  26>,  	Dk3 --  1/32nd.( 22) <      > 	V 19 - M 30	=-11  %-58  	q= -3  %-16  	 0.104(88)<-----%58   %16

printNotes: i= 97-<2686 2706 -20>,  	 E3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 98-<2451 2440  11>,  	Dk3 --   1/16th( 30) <      > 	V 32 - M 44	=-12  %-38  	q= +2  %+6  	 0.180(88)<-----%38   %6

printNotes: i= 99-<1816 2324 -508>,  	 C3 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(88)<-----%11   %4

printNotes: i= 100-<2610 2808 -198>,  	 F3 --   1/8th.( 89) <      > 	V 77 - M 59	=+18  %+23  	q=-12  %-16  	 0.441(88)<-----%23   %16

printNotes: i= 101-<2692 2706 -14>,  	 E3 --   1/16th( 30) <      > 	V 33 - M 39	= -6  %-18  	q= +3  %+9  	 0.186(88)<-----%18   %9

printNotes: i= 102-<2811 2808   3>,  	 F3 --   1/16th( 30) <      > 	V 34 - M 39	= -5  %-15  	q= +4  %+12  	 0.192(88)
printNotes: i= 103-<2702 2706  -4>,  	 E3 --   1/4th.(177) <      > 	V189 - M217	=-28  %-15  	q=+12  %+6  	 1.091(88)<-----%15   %6

printNotes: i= 104-< 525 2440 -1915>,  	Dk3 --  1/16th.( 44) <      > 	V 38 - M 30	= +8  %+21  	q= -6  %-16  	 0.215(88)<-----%21   %16

printNotes: i= 105-<2650 2706 -56>,  	 E3 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(88)<-----%200   %10 <<

printNotes: i= 106-<2243 2324 -81>,  	 C3 --  1/4th..(207) <      > 	V212 - M236	=-24  %-11  	q= +5  %+2  	 1.225(88)<-----%11   %2



silence
printNotes: i= 107-<   0   40 -40>,  	Slc --   whole.(709) <-5*sela> 	V634 - M502	=+132  %+21  	q=-75  %-12  	 3.675(88)<-----%21   %12

printNotes: i= 108-< 883 1597 -714>,  	 F2 --    1/8th( 59) <      > 	V 57 - M 30	=+27  %+47  	q= -2  %-4  	 0.325(88)<-----%47   %4

printNotes: i= 109-<1596 1597  -1>,  	 F2 --    1/4th(118) <      > 	V118 - M118	=  +  %+0  	q=  +  %+0  	 0.679(88)<-- same note
