	voice Midi Diff								present		 Best		Sec

printNotes: i= 149-<2127 2095  32>,  	Bb2 --   1/16th( 34) <      > 	V 41 - M 17	=+24  %+59  	q= +7  %+17  	 0.232(76)<-----%59   %17

printNotes: i= 150-<2290 2315 -25>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 17	= -5  %-42  	q= -1  %-8  	 0.064(76)<-----%42   %8 <<

printNotes: i= 151-<2025 2011  14>,  	 A2 --  1/16th.( 51) <      > 	V 48 - M 34	=+14  %+29  	q= -3  %-6  	 0.273(76)<-----%29   %6

printNotes: i= 152-<2118 2095  23>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 153-<1842 1821  21>,  	 G2 --    1/8th( 68) <      > 	V 74 - M 68	= +6  %+8  	q= +6  %+8  	 0.424(76)
printNotes: i= 154-<2003 2011  -8>,  	 A2 --    128th(  4) <      > 	V  3 - M 34	=-31  %-1033  	q= -1  %-33  	 0.012(76)<-----%1033   %33 <<

printNotes: i= 155-<2111 2095  16>,  	Bb2 --    128th(  4) <      > 	V  4 - M 34	=-30  %-750  	q=  +  %+0  	 0.017(76)<-----%750   %0 <<

printNotes: i= 156-<2008 2011  -3>,  	 A2 -- 1/32nd..( 30) <      > 	V 30 - M 34	= -4  %-13  	q=  +  %+0  	 0.168(76)<-----%13   %0

printNotes: i= 157-<2080 2095 -15>,  	Bb2 --  1/32nd.( 25) <      > 	V 22 - M 34	=-12  %-55  	q= -3  %-14  	 0.122(76)<-----%55   %14

printNotes: i= 158-<2018 2011   7>,  	 A2 --    1/4th(135) <1*sela> 	V161 - M 34	=+127  %+79  	q=+26  %+16  	 0.929(76)<-----%79   %16



silence
printNotes: i= 159-<   0   40 -40>,  	Slc --  1/16th.( 51) <      > 	V 49 - M135	=-86  %-176  	q= -2  %-4  	 0.279(76)<-----%176   %4

printNotes: i= 160-<1490 1609 -119>,  	 F2 --  1/32nd.( 25) <      > 	V 27 - M 27	=  +  %+0  	q= +2  %+7  	 0.151(76)
printNotes: i= 161-<1449 1495 -46>,  	 E2 --  1/32nd.( 25) <      > 	V 24 - M 27	= -3  %-12  	q= -1  %-4  	 0.134(76)<-----%12   %4

printNotes: i= 162-<1609 1609    >,  	 F2 --  1/32nd.( 25) <      > 	V 22 - M 27	= -5  %-23  	q= -3  %-14  	 0.122(76)<-----%23   %14

