	voice Midi Diff								present		 Best		Sec

printNotes: i= 85-<2475 2462  13>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(84)<-----%138   %8 <<

printNotes: i= 86-<2617 2586  31>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(84)<-----%19   %4

printNotes: i= 87-<2791 2799  -8>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 15	=+10  %+40  	q= -2  %-8  	 0.139(84)<-----%40   %8

printNotes: i= 88-<2872 2860  12>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 15	= -6  %-67  	q= -3  %-33  	 0.046(84)<-----%67   %33 <<

printNotes: i= 89-<2711 2799 -88>,  	 A2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(84)<-----%29   %4

printNotes: i= 90-<2587 2586   1>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8

printNotes: i= 91-<2798 2799  -1>,  	 A2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 92-<2898 2860  38>,  	Bb2 --    1/8th( 62) <      > 	V 66 - M 15	=+51  %+77  	q= +4  %+6  	 0.377(84)<-----%77   %6

printNotes: i= 93-<3130 3055  75>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 15	= -3  %-25  	q=  +  %+0  	 0.064(84)<-----%25   %0 <<

printNotes: i= 94-<2859 2860  -1>,  	Bb2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 95-<2823 2799  24>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 62	=-51  %-464  	q= -1  %-9  	 0.058(84)<-----%464   %9 <<

printNotes: i= 96-<2884 2860  24>,  	Bb2 --   1/16th( 31) <      > 	V 37 - M 93	=-56  %-151  	q= +6  %+16  	 0.209(84)<-----%151   %16

printNotes: i= 97-<3047 3055  -8>,  	 C3 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 98-<3263 3255   8>,  	 D3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 99-<3088 3055  33>,  	 C3 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 100-<2885 2860  25>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(84)<-----%19   %4

printNotes: i= 101-<2778 2799 -21>,  	 A2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(84)<-----%35   %0

printNotes: i= 102-<2601 2586  15>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(84)<-----%138   %8 <<

printNotes: i= 103-<2810 2799  11>,  	 A2 --    1/8th( 62) <      > 	V 76 - M 62	=+14  %+18  	q=+14  %+18  	 0.435(84)
printNotes: i= 104-<2869 2860   9>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(84)<-----%29   %4

printNotes: i= 105-<2506 2586 -80>,  	 G2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(84)<-----%35   %0

printNotes: i= 106-<2643 2799 -156>,  	 A2 --   1/4th.(186) <      > 	V187 - M248	=-61  %-33  	q= +1  %+1  	 1.080(84)<-----%33   %1



silence
printNotes: i= 107-<  61   40  21>,  	Slc --    whole(495) <7*sela> 	V612 - M495	=+117  %+19  	q=+117  %+19  	 3.547(84)
printNotes: i= 108-<2033 2860 -827>,  	Bb2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 109-<2147 2799 -652>,  	 A2 --    1/4th(124) <1*sela> 	V143 - M 93	=+50  %+35  	q=+19  %+13  	 0.824(84)<-----%35   %13

printNotes: i= 110-<2868 2860   8>,  	Bb2 --    1/8th( 62) <      > 	V 63 - M 62	= +1  %+2  	q= +1  %+2  	 0.360(84)
printNotes: i= 111-<2700 2799 -99>,  	 A2 --    1/8th( 62) <      > 	V 58 - M 31	=+27  %+47  	q= -4  %-7  	 0.331(84)<-----%47   %7

printNotes: i= 112-<1277 2799 -1522>,  	 A2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
