	voice Midi Diff								present		 Best		Sec

printNotes: i= 97-<2580 2583  -3>,  	 G2 --    1/4th(129) <1*sela> 	V155 - M 65	=+90  %+58  	q=+26  %+17  	 0.894(80)<-----%58   %17

printNotes: i= 98-<2582 2583  -1>,  	 G2 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 99-<2619 2797 -178>,  	 A2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 100-<2581 2583  -2>,  	 G2 --    1/4th(129) <      > 	V122 - M 65	=+57  %+47  	q= -7  %-6  	 0.702(80)<-----%47   %6

printNotes: i= 101-<2797 2797    >,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i= 102-<2582 2583  -1>,  	 G2 --    1/8th( 65) <      > 	V 75 - M 32	=+43  %+57  	q=+10  %+13  	 0.430(80)<-----%57   %13

printNotes: i= 103-<2820 2797  23>,  	 A2 --   1/16th( 32) <      > 	V 34 - M 48	=-14  %-41  	q= +2  %+6  	 0.192(80)<-----%41   %6

printNotes: i= 104-<2583 2583    >,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 105-<2418 2458 -40>,  	F#2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 106-<2095 2219 -124>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 107-<   0 2458 -2458>,  	F#2 --    128th(  4) <      > 	V  2 - M 16	=-14  %-700  	q= -2  %-100  	 0.006(80)<-----%700   %100 <<

printNotes: i= 108-<2521 2583 -62>,  	 G2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 109-<2451 2458  -7>,  	F#2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 110-<2572 2583 -11>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(80)<-----%47   %7

printNotes: i= 111-<2813 2797  16>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 112-<2362 2458 -96>,  	F#2 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(80)<-----%27   %9

printNotes: i= 113-<2329 2583 -254>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(80)<-----%78   %33 <<

printNotes: i= 114-<2452 2458  -6>,  	F#2 --  1/16th.( 48) <      > 	V 50 - M 65	=-15  %-30  	q= +2  %+4  	 0.284(80)<-----%30   %4

printNotes: i= 115-<2582 2583  -1>,  	 G2 --  1/16th.( 48) <      > 	V 52 - M 65	=-13  %-25  	q= +4  %+8  	 0.296(80)<-----%25   %8

printNotes: i= 116-<2462 2458   4>,  	F#2 --    1/8th( 65) <      > 	V 75 - M 65	=+10  %+13  	q=+10  %+13  	 0.430(80)
printNotes: i= 117-<2560 2583 -23>,  	 G2 --   1/16th( 32) <      > 	V 36 - M 65	=-29  %-81  	q= +4  %+11  	 0.203(80)<-----%81   %11

printNotes: i= 118-<2464 2458   6>,  	F#2 --    1/8th( 65) <      > 	V 73 - M 65	= +8  %+11  	q= +8  %+11  	 0.418(80)
printNotes: i= 119-<2570 2583 -13>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(80)
printNotes: i= 120-<2458 2458    >,  	F#2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(80)<-----%23   %8

printNotes: i= 121-<2219 2219    >,  	Ek2 --    1/4th(129) <      > 	V143 - M162	=-19  %-13  	q=+14  %+10  	 0.824(80)<-----%13   %10

printNotes: i= 122-<1683 2083 -400>,  	 D2 -- 1/16th..( 57) <      > 	V 56 - M 32	=+24  %+43  	q= -1  %-2  	 0.319(80)<-----%43   %2



silence
printNotes: i= 123-<   0   40 -40>,  	Slc --   half..(452) <1*sela> 	V479 - M323	=+156  %+33  	q=+27  %+6  	 2.775(80)<-----%33   %6

printNotes: i= 124-<2095 2083  12>,  	 D2 --    1/8th( 65) <      > 	V 74 - M 32	=+42  %+57  	q= +9  %+12  	 0.424(80)<-----%57   %12

printNotes: i= 125-<1394 2083 -689>,  	 D2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i= 126-<2561 2583 -22>,  	 G2 --   1/4th.(194) <      > 	V197 - M129	=+68  %+35  	q= +3  %+2  	 1.138(80)<-----%35   %2

printNotes: i= 127-<1529 2583 -1054>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 128-<1045 2583 -1538>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 129-<2579 2583  -4>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 130-<2435 2458 -23>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 131-<2322 2583 -261>,  	 G2 --    1/4th(129) <1*sela> 	V160 - M 65	=+95  %+59  	q=+31  %+19  	 0.923(80)<-----%59   %19

printNotes: i= 132-<2608 2583  25>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 133-<2298 2583 -285>,  	 G2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i= 134-<1170 2458 -1288>,  	F#2 --  1/16th.( 48) <      > 	V 44 - M 32	=+12  %+27  	q= -4  %-9  	 0.250(80)<-----%27   %9

printNotes: i= 135-<2443 2583 -140>,  	 G2 --   1/8th.( 97) <      > 	V 94 - M129	=-35  %-37  	q= -3  %-3  	 0.540(80)<-----%37   %3

printNotes: i= 136-<2450 2458  -8>,  	F#2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 137-<2073 2458 -385>,  	F#2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 138-<2756 2797 -41>,  	 A2 --  1/16th.( 48) <      > 	V 45 - M 48	= -3  %-7  	q= -3  %-7  	 0.255(80)
printNotes: i= 139-<2214 2583 -369>,  	 G2 --   1/4th.(194) <-1*sela> 	V176 - M129	=+47  %+27  	q=-18  %-10  	 1.016(80)<-----%27   %10

printNotes: i= 140-<2454 2458  -4>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 141-<2495 2583 -88>,  	 G2 --    1/4th(129) <1*sela> 	V156 - M 32	=+124  %+79  	q=+27  %+17  	 0.900(80)<-----%79   %17



silence
printNotes: i= 142-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 68 - M129	=-61  %-90  	q= +3  %+4  	 0.389(80)<-----%90   %4

printNotes: i= 143-<1952 2083 -131>,  	 D2 --   1/16th( 32) <      > 	V 35 - M 16	=+19  %+54  	q= +3  %+9  	 0.197(80)<-----%54   %9

printNotes: i= 144-<2772 2849 -77>,  	Bb2 --   1/16th( 32) <      > 	V 38 - M 16	=+22  %+58  	q= +6  %+16  	 0.215(80)<-----%58   %16

printNotes: i= 145-<2783 2797 -14>,  	 A2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 146-<2849 2849    >,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 147-<2784 2797 -13>,  	 A2 --  1/32nd.( 24) <      > 	V 22 - M 16	= +6  %+27  	q= -2  %-9  	 0.122(80)<-----%27   %9

printNotes: i= 148-<2813 2849 -36>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(80)<-----%60   %20 <<

printNotes: i= 149-<2568 2583 -15>,  	 G2 --  1/4th..(226) <      > 	V213 - M194	=+19  %+9  	q=-13  %-6  	 1.231(80)
printNotes: i= 150-<2779 2797 -18>,  	 A2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(80)
printNotes: i= 151-<2842 2849  -7>,  	Bb2 --  1/32nd.( 24) <      > 	V 23 - M 16	= +7  %+30  	q= -1  %-4  	 0.128(80)<-----%30   %4

printNotes: i= 152-<2980 3049 -69>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 153-<2818 2797  21>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 154-<2578 2583  -5>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(80)<-----%45   %9

printNotes: i= 155-<2443 2458 -15>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 156-<2539 2583 -44>,  	 G2 -- 1/16th..( 57) <      > 	V 59 - M 65	= -6  %-10  	q= +2  %+3  	 0.337(80)<-----%10   %3

printNotes: i= 157-<2863 2797  66>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(80)
printNotes: i= 158-<2596 2583  13>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(80)<-----%45   %9

printNotes: i= 159-<2428 2458 -30>,  	F#2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 160-<2211 2219  -8>,  	Ek2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(80)<-----%52   %14

printNotes: i= 161-<2331 2458 -127>,  	F#2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(80)<-----%36   %4

printNotes: i= 162-<2567 2583 -16>,  	 G2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 163-<2420 2458 -38>,  	F#2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

