	voice Midi Diff								present		 Best		Sec

printNotes: i= 68-<2109 2100   9>,  	 D2 --   1/4th.(194) <      > 	V208 - M258	=-50  %-24  	q=+14  %+7  	 1.202(80)<-----%24   %7

printNotes: i= 69-<2278 2225  53>,  	Ek2 --    1/8th( 65) <      > 	V 71 - M 32	=+39  %+55  	q= +6  %+8  	 0.406(80)<-----%55   %8



silence
printNotes: i= 70-<   0   40 -40>,  	Slc --    whole(517) <      > 	V528 - M614	=-86  %-16  	q=+11  %+2  	 3.059(80)<-----%16   %2

printNotes: i= 71-<2032 2100 -68>,  	 D2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 72-<1573 2586 -1013>,  	 G2 --    1/8th( 65) <      > 	V 77 - M 48	=+29  %+38  	q=+12  %+16  	 0.441(80)<-----%38   %16

printNotes: i= 73-< 863 2586 -1723>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 74-<2579 2586  -7>,  	 G2 --    1/4th(129) <      > 	V129 - M129	=  +  %+0  	q=  +  %+0  	 0.743(80)<-- same note
printNotes: i= 75-<2529 2475  54>,  	F#2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0



silence
printNotes: i= 76-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 41 - M 16	=+25  %+61  	q= -7  %-17  	 0.232(80)<-----%61   %17

printNotes: i= 77-<2375 2586 -211>,  	 G2 --  1/4th..(226) <      > 	V212 - M 97	=+115  %+54  	q=-14  %-7  	 1.225(80)<-----%54   %7

printNotes: i= 78-<2580 2586  -6>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 79-<1915 2475 -560>,  	F#2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 80-<1773 2795 -1022>,  	 A2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 81-<2538 2586 -48>,  	 G2 --   1/4th.(194) <      > 	V191 - M 65	=+126  %+66  	q= -3  %-2  	 1.103(80)<-----%66   %2



silence
printNotes: i= 82-<   0   40 -40>,  	Slc --    1/4th(129) <1*sela> 	V146 - M323	=-177  %-121  	q=+17  %+12  	 0.842(80)<-----%121   %12

printNotes: i= 83-<1972 2100 -128>,  	 D2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 84-<1987 2586 -599>,  	 G2 --  1/8th..(113) <      > 	V112 - M 65	=+47  %+42  	q= -1  %-1  	 0.644(80)<-----%42   %1

printNotes: i= 85-<2587 2586   1>,  	 G2 --   1/8th.( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(80)<-- same note
printNotes: i= 86-<2479 2475   4>,  	F#2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4



silence
printNotes: i= 87-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 38 - M 16	=+22  %+58  	q= +6  %+16  	 0.215(80)<-----%58   %16

printNotes: i= 88-<1895 2795 -900>,  	 A2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 89-<2406 2586 -180>,  	 G2 --    1/4th(129) <      > 	V121 - M 97	=+24  %+20  	q= -8  %-7  	 0.697(80)<-----%20   %7

printNotes: i= 90-<2336 2475 -139>,  	F#2 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(80)<-----%32   %2

printNotes: i= 91-<2579 2586  -7>,  	 G2 --   1/8th.( 97) <      > 	V 88 - M 97	= -9  %-10  	q= -9  %-10  	 0.505(80)


silence
printNotes: i= 92-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 40 - M 16	=+24  %+60  	q= -8  %-20  	 0.226(80)<-----%60   %20

printNotes: i= 93-<2574 2586 -12>,  	 G2 --   1/8th.( 97) <      > 	V 92 - M 97	= -5  %-5  	q= -5  %-5  	 0.528(80)
printNotes: i= 94-<2253 2475 -222>,  	F#2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 95-<1984 2795 -811>,  	 A2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 96-<2601 2586  15>,  	 G2 --  1/16th.( 48) <      > 	V 52 - M 32	=+20  %+38  	q= +4  %+8  	 0.296(80)<-----%38   %8



silence
printNotes: i= 97-<   0   40 -40>,  	Slc --    1/4th(129) <      > 	V121 - M129	= -8  %-7  	q= -8  %-7  	 0.697(80)
printNotes: i= 98-<2418 2586 -168>,  	 G2 --  1/16th.( 48) <      > 	V 49 - M 32	=+17  %+35  	q= +1  %+2  	 0.279(80)<-----%35   %2

printNotes: i= 99-<2460 2475 -15>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 100-<2591 2586   5>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(80)<-----%23   %8

printNotes: i= 101-<2773 2795 -22>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 102-<2757 2855 -98>,  	Bb2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 103-<2432 2586 -154>,  	 G2 --    1/4th(129) <      > 	V127 - M129	= -2  %-2  	q= -2  %-2  	 0.731(80)
printNotes: i= 104-<2509 2475  34>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

