	voice Midi Diff								present		 Best		Sec

printNotes: i= 134-<2778 2789 -11>,  	 A2 --   1/8th.( 91) <      > 	V 89 - M 61	=+28  %+31  	q= -2  %-2  	 0.511(85)<-----%31   %2

printNotes: i= 135-<2901 3053 -152>,  	 C3 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(85)<-----%43   %10

printNotes: i= 136-<2892 2860  32>,  	Bb2 -- 1/16th..( 53) <      > 	V 50 - M 61	=-11  %-22  	q= -3  %-6  	 0.284(85)<-----%22   %6

printNotes: i= 137-<3051 3053  -2>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 138-<2792 2789   3>,  	 A2 --  1/16th.( 46) <      > 	V 41 - M 61	=-20  %-49  	q= -5  %-12  	 0.232(85)<-----%49   %12

printNotes: i= 139-<2870 2860  10>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(85)<-----%25   %4

printNotes: i= 140-<2199 2582 -383>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
printNotes: i= 141-<2594 2789 -195>,  	 A2 --  1/4th..(213) <      > 	V216 - M 61	=+155  %+72  	q= +3  %+1  	 1.248(85)<-----%72   %1

printNotes: i= 142-<2595 2789 -194>,  	 A2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(85)<-- same note


silence
printNotes: i= 143-<   0   40 -40>,  	Slc --    1/4th(121) <      > 	V120 - M486	=-366  %-305  	q= -1  %-1  	 0.691(85)<-----%305   %1

printNotes: i= 144-<2541 2860 -319>,  	Bb2 --    1/8th( 61) <      > 	V 68 - M 30	=+38  %+56  	q= +7  %+10  	 0.389(85)<-----%56   %10

printNotes: i= 145-<2773 2789 -16>,  	 A2 --    1/8th( 61) <      > 	V 72 - M 46	=+26  %+36  	q=+11  %+15  	 0.412(85)<-----%36   %15

printNotes: i= 146-<1640 2789 -1149>,  	 A2 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(85)<-- same note
printNotes: i= 147-<2858 2860  -2>,  	Bb2 --    1/8th( 61) <      > 	V 59 - M 30	=+29  %+49  	q= -2  %-3  	 0.337(85)<-----%49   %3

printNotes: i= 148-<2783 2789  -6>,  	 A2 --   1/8th.( 91) <      > 	V 91 - M 30	=+61  %+67  	q=  +  %+0  	 0.522(85)<-----%67   %0

printNotes: i= 149-<2935 2860  75>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 61	=-37  %-154  	q= +1  %+4  	 0.134(85)<-----%154   %4

printNotes: i= 150-<2653 2789 -136>,  	 A2 --  1/8th..(106) <      > 	V106 - M 30	=+76  %+72  	q=  +  %+0  	 0.610(85)<-----%72   %0



silence
