	voice Midi Diff								present		 Best		Sec

printNotes: i= 92-<2208 2213  -5>,  	 G2 -- 1/16th..( 53) <      > 	V 52 - M 46	= +6  %+12  	q= -1  %-2  	 0.296(85)<-----%12   %2

printNotes: i= 93-<2339 2353 -14>,  	Ak2 -- 1/32nd..( 27) <      > 	V 25 - M 30	= -5  %-20  	q= -2  %-8  	 0.139(85)<-----%20   %8

printNotes: i= 94-<2229 2213  16>,  	 G2 --  1/16th.( 46) <      > 	V 40 - M 30	=+10  %+25  	q= -6  %-15  	 0.226(85)<-----%25   %15

printNotes: i= 95-<2371 2353  18>,  	Ak2 --   1/8th.( 91) <      > 	V 87 - M 61	=+26  %+30  	q= -4  %-5  	 0.499(85)<-----%30   %5

printNotes: i= 96-<2201 2213 -12>,  	 G2 --    1/4th(121) <      > 	V119 - M121	= -2  %-2  	q= -2  %-2  	 0.685(85)
printNotes: i= 97-<2016 2010   6>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(85)<-----%76   %12

printNotes: i= 98-<2212 2213  -1>,  	 G2 --  1/8th..(106) <      > 	V108 - M 91	=+17  %+16  	q= +2  %+2  	 0.621(85)<-----%16   %2

printNotes: i= 99-<2023 2010  13>,  	 F2 --   1/8th.( 91) <      > 	V 91 - M 61	=+30  %+33  	q=  +  %+0  	 0.522(85)<-----%33   %0



silence
printNotes: i= 100-<   0   40 -40>,  	Slc --    half.(364) <-3*sela> 	V315 - M547	=-232  %-74  	q=-49  %-16  	 1.823(85)<-----%74   %16

printNotes: i= 101-<1302 2213 -911>,  	 G2 --   1/8th.( 91) <      > 	V 81 - M 61	=+20  %+25  	q=-10  %-12  	 0.464(85)<-----%25   %12

printNotes: i= 102-<2377 2393 -16>,  	 A2 --     half(243) <      > 	V255 - M213	=+42  %+16  	q=+12  %+5  	 1.474(85)<-----%16   %5

printNotes: i= 103-<2387 2393  -6>,  	 A2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)<-- same note
printNotes: i= 104-<2394 2393   1>,  	 A2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(85)<-- same note
printNotes: i= 105-<2364 2393 -29>,  	 A2 --  1/32nd.( 23) <      > 	V 20 - M 20	=  +  %+0  	q= -3  %-15  	 0.110(85)<-- same note
printNotes: i= 106-<2383 2393 -10>,  	 A2 --  1/32nd.( 23) <      > 	V 20 - M 20	=  +  %+0  	q= -3  %-15  	 0.110(85)<-- same note
printNotes: i= 107-<2450 2499 -49>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 20	= -2  %-11  	q= +3  %+17  	 0.099(85)
printNotes: i= 108-<2180 2393 -213>,  	 A2 --   1/4th.(182) <      > 	V173 - M152	=+21  %+12  	q= -9  %-5  	 0.998(85)<-----%12   %5

printNotes: i= 109-<2229 2213  16>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 110-<2374 2393 -19>,  	 A2 --   1/4th.(182) <-1*sela> 	V167 - M 61	=+106  %+63  	q=-15  %-9  	 0.964(85)<-----%63   %9



silence
printNotes: i= 111-<   0   40 -40>,  	Slc --  1/8th..(106) <      > 	V112 - M182	=-70  %-62  	q= +6  %+5  	 0.644(85)<-----%62   %5

printNotes: i= 112-<1266 2213 -947>,  	 G2 --    1/8th( 61) <      > 	V 75 - M 46	=+29  %+39  	q=+14  %+19  	 0.430(85)<-----%39   %19

printNotes: i= 113-<2374 2393 -19>,  	 A2 --  1/16th.( 46) <      > 	V 41 - M 30	=+11  %+27  	q= -5  %-12  	 0.232(85)<-----%27   %12

printNotes: i= 114-<2379 2393 -14>,  	 A2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)<-- same note
printNotes: i= 115-<2364 2393 -29>,  	 A2 --    1/8th( 61) <      > 	V 61 - M 61	=  +  %+0  	q=  +  %+0  	 0.348(85)<-- same note
printNotes: i= 116-<2210 2213  -3>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(85)<-----%25   %8 <<

printNotes: i= 117-<2386 2393  -7>,  	 A2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(85)
printNotes: i= 118-<2625 2499 126>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(85)<-----%114   %7 <<

