	voice Midi Diff								present		 Best		Sec

printNotes: i= 118-<2454 2400  54>,  	 A2 --    1/4th(118) <      > 	V119 - M 59	=+60  %+50  	q= +1  %+1  	 0.685(87)<-----%50   %1



silence
printNotes: i= 119-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 36 - M 59	=-23  %-64  	q= +6  %+17  	 0.203(87)<-----%64   %17

printNotes: i= 120-<1945 2400 -455>,  	 A2 --   1/8th.( 89) <      > 	V 96 - M 30	=+66  %+69  	q= +7  %+7  	 0.551(87)<-----%69   %7

printNotes: i= 121-<2475 2476  -1>,  	Bb2 --    1/8th( 59) <      > 	V 65 - M 89	=-24  %-37  	q= +6  %+9  	 0.372(87)<-----%37   %9

printNotes: i= 122-<2413 2400  13>,  	 A2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(87)<-----%67   %22 <<

printNotes: i= 123-< 656 2476 -1820>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 124-<2157 2400 -243>,  	 A2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(87)
printNotes: i= 125-<2190 2203 -13>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 126-<2346 2400 -54>,  	 A2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(87)<-----%275   %0 <<

printNotes: i= 127-<2192 2203 -11>,  	 G2 -- 1/32nd..( 26) <      > 	V 24 - M 30	= -6  %-25  	q= -2  %-8  	 0.134(87)<-----%25   %8

printNotes: i= 128-<1981 1985  -4>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(87)<-----%76   %12

printNotes: i= 129-<2202 2203  -1>,  	 G2 --   1/8th.( 89) <      > 	V 95 - M118	=-23  %-24  	q= +6  %+6  	 0.546(87)<-----%24   %6

printNotes: i= 130-<2378 2400 -22>,  	 A2 -- 1/16th..( 52) <      > 	V 48 - M 59	=-11  %-23  	q= -4  %-8  	 0.273(87)<-----%23   %8

printNotes: i= 131-<2239 2203  36>,  	 G2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(87)<-----%67   %22 <<

printNotes: i= 132-<2378 2400 -22>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 133-<2224 2203  21>,  	 G2 --  1/32nd.( 22) <      > 	V 23 - M 30	= -7  %-30  	q= +1  %+4  	 0.128(87)<-----%30   %4

