	voice Midi Diff								present		 Best		Sec

printNotes: i= 79-< 672 2480 -1808>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(81)<-----%45   %9 <<

printNotes: i= 80-<2426 2402  24>,  	 A2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 81-<2211 2217  -6>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 82-<2415 2402  13>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 83-<2090 2217 -127>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 48	= -9  %-23  	q= +7  %+18  	 0.221(81)<-----%23   %18

printNotes: i= 84-<2266 2402 -136>,  	 A2 --   1/8th.( 96) <      > 	V 84 - M 64	=+20  %+24  	q=-12  %-14  	 0.482(81)<-----%24   %14

printNotes: i= 85-<2169 2217 -48>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 86-<2227 2402 -175>,  	 A2 --    1/4th(128) <1*sela> 	V146 - M192	=-46  %-32  	q=+18  %+12  	 0.842(81)<-----%32   %12



silence
printNotes: i= 87-<   0   40 -40>,  	Slc --    1/4th(128) <      > 	V135 - M128	= +7  %+5  	q= +7  %+5  	 0.778(81)
printNotes: i= 88-<2243 2402 -159>,  	 A2 -- 1/16th..( 56) <      > 	V 59 - M 64	= -5  %-8  	q= +3  %+5  	 0.337(81)<-----%8   %5

printNotes: i= 89-<2505 2480  25>,  	Bb2 --   1/16th( 32) <      > 	V 36 - M 64	=-28  %-78  	q= +4  %+11  	 0.203(81)<-----%78   %11

printNotes: i= 90-<2724 2680  44>,  	 C3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

