	voice Midi Diff								present		 Best		Sec

printNotes: i= 101-<2383 2381   2>,  	Ak2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)<-- same note
printNotes: i= 102-<1770 2237 -467>,  	 G2 --   1/8th.(101) <      > 	V103 - M101	= +2  %+2  	q= +2  %+2  	 0.592(77)
printNotes: i= 103-<2227 2237 -10>,  	 G2 --  1/8th..(117) <      > 	V117 - M117	=  +  %+0  	q=  +  %+0  	 0.673(77)<-- same note
printNotes: i= 104-<1278 2381 -1103>,  	Ak2 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(77)
printNotes: i= 105-<1640 2237 -597>,  	 G2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 106-<2084 2018  66>,  	 F2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 107-<2249 2237  12>,  	 G2 --   1/8th.(101) <      > 	V 92 - M101	= -9  %-10  	q= -9  %-10  	 0.528(77)
printNotes: i= 108-<2223 2237 -14>,  	 G2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)<-- same note
printNotes: i= 109-<2382 2381   1>,  	Ak2 --    1/4th(134) <      > 	V127 - M134	= -7  %-6  	q= -7  %-6  	 0.731(77)
printNotes: i= 110-<2221 2237 -16>,  	 G2 --   1/4th.(201) <      > 	V189 - M201	=-12  %-6  	q=-12  %-6  	 1.091(77)
printNotes: i= 111-<2247 2237  10>,  	 G2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)<-- same note


silence
printNotes: i= 112-<   0   40 -40>,  	Slc --  1/4th..(235) <      > 	V221 - M375	=-154  %-70  	q=-14  %-6  	 1.277(77)<-----%70   %6

printNotes: i= 113-<1957 1917  40>,  	 E2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 114-<2326 2381 -55>,  	Ak2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 115-<2093 2018  75>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 116-<2245 2237   8>,  	 G2 --    1/8th( 67) <      > 	V 73 - M 67	= +6  %+8  	q= +6  %+8  	 0.418(77)
printNotes: i= 117-<2217 2237 -20>,  	 G2 --    1/4th(134) <      > 	V134 - M134	=  +  %+0  	q=  +  %+0  	 0.772(77)<-- same note
printNotes: i= 118-<1898 2381 -483>,  	Ak2 --    1/8th( 67) <      > 	V 83 - M 67	=+16  %+19  	q=+16  %+19  	 0.476(77)
printNotes: i= 119-<2222 2237 -15>,  	 G2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(77)
printNotes: i= 120-<2373 2381  -8>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 121-<2241 2237   4>,  	 G2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)
printNotes: i= 122-<2368 2381 -13>,  	Ak2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 123-<2221 2237 -16>,  	 G2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(77)
printNotes: i= 124-<2032 2018  14>,  	 F2 --    1/8th( 67) <      > 	V 69 - M 67	= +2  %+3  	q= +2  %+3  	 0.395(77)
printNotes: i= 125-<1925 1917   8>,  	 E2 --   1/8th.(101) <      > 	V 99 - M101	= -2  %-2  	q= -2  %-2  	 0.569(77)
printNotes: i= 126-<2001 2018 -17>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 127-<1882 1917 -35>,  	 E2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 128-<2043 2018  25>,  	 F2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 129-<2198 2237 -39>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 130-<1983 2018 -35>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 131-<2084 2381 -297>,  	Ak2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 132-<2250 2237  13>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 133-<2362 2381 -19>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 134-<2247 2237  10>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 135-<2391 2381  10>,  	Ak2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
printNotes: i= 136-<2552 2626 -74>,  	 B2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 137-<2248 2237  11>,  	 G2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(77)
printNotes: i= 138-<2463 2526 -63>,  	Bb2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 139-<2228 2237  -9>,  	 G2 -- 1/16th..( 59) <      > 	V 61 - M 59	= +2  %+3  	q= +2  %+3  	 0.348(77)
printNotes: i= 140-<2437 2526 -89>,  	Bb2 --  1/64th.( 13) <      > 	V  9 - M 13	= -4  %-44  	q= -4  %-44  	 0.046(77)
printNotes: i= 141-<2376 2381  -5>,  	Ak2 --    1/4th(134) <      > 	V143 - M134	= +9  %+6  	q= +9  %+6  	 0.824(77)
printNotes: i= 142-<2258 2237  21>,  	 G2 --  1/16th.( 50) <      > 	V 47 - M 50	= -3  %-6  	q= -3  %-6  	 0.267(77)
printNotes: i= 143-<2518 2626 -108>,  	 B2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 144-<2266 2237  29>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)


silence
printNotes: i= 145-<   0   40 -40>,  	Slc --    whole(536) <-1*sela> 	V517 - M503	=+14  %+3  	q=-19  %-4  	 2.995(77)
printNotes: i= 146-<1703 1536 167>,  	 C2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 147-<2279 2381 -102>,  	Ak2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 148-<2225 2237 -12>,  	 G2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 149-<2351 2381 -30>,  	Ak2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 150-<2027 2237 -210>,  	 G2 --   1/4th.(201) <      > 	V204 - M201	= +3  %+1  	q= +3  %+1  	 1.178(77)
printNotes: i= 151-<2219 2237 -18>,  	 G2 --    1/8th( 67) <      > 	V 67 - M 67	=  +  %+0  	q=  +  %+0  	 0.383(77)<-- same note
printNotes: i= 152-<1562 2237 -675>,  	 G2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)<-- same note
printNotes: i= 153-<1259 2381 -1122>,  	Ak2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i= 154-<1675 2237 -562>,  	 G2 --    1/8th( 67) <      > 	V 63 - M 67	= -4  %-6  	q= -4  %-6  	 0.360(77)
printNotes: i= 155-<2664 2716 -52>,  	 C3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(77)


silence
printNotes: i= 156-<   0   40 -40>,  	Slc --   1/4th.(201) <-1*sela> 	V178 - M134	=+44  %+25  	q=-23  %-13  	 1.027(77)<-----%25   %13

printNotes: i= 157-<1719 1536 183>,  	 C2 --  1/64th.( 13) <      > 	V  9 - M  8	= +1  %+11  	q= -4  %-44  	 0.046(77)
printNotes: i= 158-<1266 2381 -1115>,  	Ak2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
printNotes: i= 159-<1484 1733 -249>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(77)
printNotes: i= 160-<2060 2237 -177>,  	 G2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 161-<2691 2716 -25>,  	 C3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 162-<2519 2526  -7>,  	Bb2 --    1/4th(134) <1*sela> 	V164 - M134	=+30  %+18  	q=+30  %+18  	 0.946(77)
printNotes: i= 163-<2428 2431  -3>,  	 A2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 164-<1433 2526 -1093>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 165-<   0 2431 -2431>,  	 A2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)


silence
printNotes: i= 166-<   0   40 -40>,  	Slc --  1/64th.( 13) <      > 	V 11 - M  8	= +3  %+27  	q= -2  %-18  	 0.058(77)
printNotes: i= 167-<2318 2381 -63>,  	Ak2 --    1/8th( 67) <      > 	V 67 - M 67	=  +  %+0  	q=  +  %+0  	 0.383(77)
printNotes: i= 168-<2239 2237   2>,  	 G2 --  1/16th.( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(77)
printNotes: i= 169-<2362 2381 -19>,  	Ak2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(77)
printNotes: i= 170-<1635 2237 -602>,  	 G2 -- 1/16th..( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(77)
printNotes: i= 171-<2363 2381 -18>,  	Ak2 --    1/8th( 67) <      > 	V 66 - M 67	= -1  %-2  	q= -1  %-2  	 0.377(77)
printNotes: i= 172-<1494 2237 -743>,  	 G2 --  1/8th..(117) <      > 	V112 - M117	= -5  %-4  	q= -5  %-4  	 0.644(77)


silence
printNotes: i= 173-<   0   40 -40>,  	Slc --   1/8th.(101) <      > 	V 87 - M141	=-54  %-62  	q=-14  %-16  	 0.499(77)<-----%62   %16

printNotes: i= 174-<1483 1236 247>,  	 A1 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 175-<2478 2526 -48>,  	Bb2 --   1/4th.(201) <      > 	V217 - M201	=+16  %+7  	q=+16  %+7  	 1.254(77)
