	voice Midi Diff								present		 Best		Sec

printNotes: i= 144-<1252 2016 -764>,  	 F2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 145-<2017 2016   1>,  	 F2 --    1/4th(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(81)<-- same note
printNotes: i= 146-< 779 2016 -1237>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)<-- same note
printNotes: i= 147-<1941 2016 -75>,  	 F2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)<-- same note
printNotes: i= 148-<1917 1918  -1>,  	 E2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 149-<1679 2016 -337>,  	 F2 --    1/8th( 63) <      > 	V 73 - M 63	=+10  %+14  	q=+10  %+14  	 0.418(81)


silence
printNotes: i= 150-<   0   40 -40>,  	Slc --   1/8th.( 95) <      > 	V 96 - M 95	= +1  %+1  	q= +1  %+1  	 0.551(81)
printNotes: i= 151-<1323 1416 -93>,  	 B1 --  1/32nd.( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(81)
printNotes: i= 152-<1093 1918 -825>,  	 E2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(81)
printNotes: i= 153-<1977 2016 -39>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 154-<1259 1918 -659>,  	 E2 --    1/8th( 63) <      > 	V 69 - M 63	= +6  %+9  	q= +6  %+9  	 0.395(81)
printNotes: i= 155-<2012 2016  -4>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 156-< 721 1918 -1197>,  	 E2 -- 1/16th..( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(81)
printNotes: i= 157-<2232 2233  -1>,  	 G2 --   1/8th.( 95) <-1*sela> 	V 79 - M 63	=+16  %+20  	q=-16  %-20  	 0.453(81)
printNotes: i= 158-<1995 2016 -21>,  	 F2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 159-<1116 2233 -1117>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
