	voice Midi Diff								present		 Best		Sec

printNotes: i= 113-<2008 2242 -234>,  	 G2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(82)<-- same note


silence
printNotes: i= 114-<   0   40 -40>,  	Slc --    1/4th(126) <      > 	V137 - M126	=+11  %+8  	q=+11  %+8  	 0.789(82)
printNotes: i= 115-<2039 2032   7>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 27	= -2  %-8  	q= +1  %+4  	 0.139(82)
printNotes: i= 116-<1290 1933 -643>,  	 E2 --    1/8th( 63) <      > 	V 76 - M 63	=+13  %+17  	q=+13  %+17  	 0.435(82)
printNotes: i= 117-<2223 2242 -19>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(82)
printNotes: i= 118-<2241 2242  -1>,  	 G2 --   1/8th.( 94) <      > 	V 94 - M 94	=  +  %+0  	q=  +  %+0  	 0.540(82)<-- same note
printNotes: i= 119-<2246 2242   4>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)<-- same note
printNotes: i= 120-<2235 2242  -7>,  	 G2 --  1/4th..(220) <      > 	V220 - M220	=  +  %+0  	q=  +  %+0  	 1.271(82)<-- same note
printNotes: i= 121-<2604 2642 -38>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(82)
printNotes: i= 122-<2410 2442 -32>,  	 A2 --   1/16th( 31) <      > 	V 29 - M 27	= +2  %+7  	q= -2  %-7  	 0.163(82)
printNotes: i= 123-<2242 2242    >,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(82)
printNotes: i= 124-<2054 2032  22>,  	 F2 --   1/16th( 31) <      > 	V 29 - M 27	= +2  %+7  	q= -2  %-7  	 0.163(82)
printNotes: i= 125-<1918 1933 -15>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(82)
printNotes: i= 126-<2064 2032  32>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(82)
