	voice Midi Diff								present		 Best		Sec

printNotes: i= 103-<1276 1191  85>,  	 A1 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(66)
printNotes: i= 104-<1328 1491 -163>,  	 C2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 105-<1650 1700 -50>,  	 D2 -- 1/32nd..( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(66)
printNotes: i= 106-<1845 1888 -43>,  	 E2 --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)
printNotes: i= 107-<1953 1975 -22>,  	 F2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 108-<1882 1888  -6>,  	 E2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(66)
printNotes: i= 109-<1957 1975 -18>,  	 F2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 110-<2188 2186   2>,  	 G2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 111-<1971 1975  -4>,  	 F2 --   1/8th.(117) <      > 	V109 - M117	= -8  %-7  	q= -8  %-7  	 0.627(66)
printNotes: i= 112-<2201 2186  15>,  	 G2 --  1/32nd.( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(66)
printNotes: i= 113-<2243 2286 -43>,  	Ab2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)


silence
printNotes: i= 114-<   0   40 -40>,  	Slc --   1/8th.(117) <      > 	V102 - M117	=-15  %-15  	q=-15  %-15  	 0.586(66)
printNotes: i= 115-<1999 1975  24>,  	 F2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)
printNotes: i= 116-<1900 1888  12>,  	 E2 --    1/8th( 78) <      > 	V 74 - M 78	= -4  %-5  	q= -4  %-5  	 0.424(66)
