	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<1465 1434  31>,  	 B1 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(78)
printNotes: i= 89-<1518 1529 -11>,  	 C2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 90-<1450 1434  16>,  	 B1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 91-<1505 1529 -24>,  	 C2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)


silence
printNotes: i= 92-<1437   40 1397>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 93-<1445 1434  11>,  	 B1 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 94-<1219 1234 -15>,  	 A1 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(78)
printNotes: i= 95-<1405 1434 -29>,  	 B1 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 96-<1131 1234 -103>,  	 A1 --   1/4th.(199) <      > 	V202 - M199	= +3  %+1  	q= +3  %+1  	 1.167(78)
printNotes: i= 97-<1417 1434 -17>,  	 B1 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 98-<1420 1434 -14>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)<-- same note
printNotes: i= 99-<1710 1732 -22>,  	 D2 --   1/8th.( 99) <      > 	V101 - M 99	= +2  %+2  	q= +2  %+2  	 0.580(78)
printNotes: i= 100-<1557 1529  28>,  	 C2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 101-<1706 1732 -26>,  	 D2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 102-<1549 1529  20>,  	 C2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 103-<1600 1629 -29>,  	Db2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 104-<1519 1529 -10>,  	 C2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(78)
printNotes: i= 105-<1397 1434 -37>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 106-<1529 1529    >,  	 C2 --    half.(398) <-3*sela> 	V340 - M398	=-58  %-17  	q=-58  %-17  	 1.968(78)


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --    half.(398) <1*sela> 	V424 - M530	=-106  %-25  	q=+26  %+6  	 2.456(78)<-----%25   %6

printNotes: i= 108-<1414 1434 -20>,  	 B1 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 109-<1892 1914 -22>,  	 E2 --    1/8th( 66) <      > 	V 72 - M 66	= +6  %+8  	q= +6  %+8  	 0.412(78)
printNotes: i= 110-<1915 1914   1>,  	 E2 --   1/4th.(199) <      > 	V199 - M199	=  +  %+0  	q=  +  %+0  	 1.149(78)<-- same note
printNotes: i= 111-<1748 1732  16>,  	 D2 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)
printNotes: i= 112-<1973 2029 -56>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 113-<1766 1732  34>,  	 D2 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 114-<1842 1914 -72>,  	 E2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(78)
printNotes: i= 115-<1724 1732  -8>,  	 D2 --  1/4th..(232) <      > 	V241 - M232	= +9  %+4  	q= +9  %+4  	 1.393(78)
printNotes: i= 116-<1559 1529  30>,  	 C2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 117-<1722 1732 -10>,  	 D2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(78)
printNotes: i= 118-<1548 1529  19>,  	 C2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)


silence
printNotes: i= 119-<   0   40 -40>,  	Slc --   1/8th.( 99) <      > 	V100 - M 99	= +1  %+1  	q= +1  %+1  	 0.575(78)
printNotes: i= 120-<1489 1529 -40>,  	 C2 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 121-<1393 1434 -41>,  	 B1 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 122-<1529 1529    >,  	 C2 --   1/8th.( 99) <      > 	V 86 - M 99	=-13  %-15  	q=-13  %-15  	 0.493(78)
printNotes: i= 123-<1000 1434 -434>,  	 B1 --    1/8th( 66) <      > 	V 75 - M 66	= +9  %+12  	q= +9  %+12  	 0.430(78)
printNotes: i= 124-<1052 1529 -477>,  	 C2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 125-< 816 1434 -618>,  	 B1 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)
printNotes: i= 126-<1479 1529 -50>,  	 C2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)


silence
printNotes: i= 127-<  48   40   8>,  	Slc -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 128-<1417 1529 -112>,  	 C2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 129-<1425 1434  -9>,  	 B1 --     half(265) <      > 	V253 - M265	=-12  %-5  	q=-12  %-5  	 1.463(78)


silence
printNotes: i= 130-<   0   40 -40>,  	Slc --   1/16th( 33) <      > 	V 37 - M 39	= -2  %-5  	q= +4  %+11  	 0.209(78)
printNotes: i= 131-<1351 1434 -83>,  	 B1 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 132-<1118 1234 -116>,  	 A1 --  1/4th..(232) <      > 	V220 - M232	=-12  %-5  	q=-12  %-5  	 1.271(78)
printNotes: i= 133-<1193 1434 -241>,  	 B1 --  1/16th.( 50) <      > 	V 44 - M 50	= -6  %-14  	q= -6  %-14  	 0.250(78)
printNotes: i= 134-<1709 1732 -23>,  	 D2 --    1/8th( 66) <      > 	V 77 - M 66	=+11  %+14  	q=+11  %+14  	 0.441(78)
printNotes: i= 135-<1539 1529  10>,  	 C2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(78)
printNotes: i= 136-<1712 1732 -20>,  	 D2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 137-<1568 1529  39>,  	 C2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 138-<1612 1629 -17>,  	Db2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 139-<1519 1529 -10>,  	 C2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 140-<1417 1434 -17>,  	 B1 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 141-<1516 1529 -13>,  	 C2 --    half.(398) <-2*sela> 	V362 - M398	=-36  %-10  	q=-36  %-10  	 2.096(78)


silence
printNotes: i= 142-<   0   40 -40>,  	Slc --   1/4th.(199) <      > 	V185 - M265	=-80  %-43  	q=-14  %-8  	 1.068(78)<-----%43   %8

printNotes: i= 143-<1041 1029  12>,  	 G1 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 144-<1456 1529 -73>,  	 C2 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)
printNotes: i= 145-<1433 1434  -1>,  	 B1 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 146-<1556 1529  27>,  	 C2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(78)
printNotes: i= 147-<1744 1732  12>,  	 D2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(78)
printNotes: i= 148-<1918 1914   4>,  	 E2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 149-<1726 1732  -6>,  	 D2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 150-<1773 1832 -59>,  	Eb2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(78)
printNotes: i= 151-<1549 1529  20>,  	 C2 --  1/16th.( 50) <      > 	V 46 - M 50	= -4  %-9  	q= -4  %-9  	 0.261(78)
printNotes: i= 152-<1684 1732 -48>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 153-<1426 1434  -8>,  	 B1 --    half.(398) <-3*sela> 	V337 - M398	=-61  %-18  	q=-61  %-18  	 1.950(78)
printNotes: i= 154-<1220 1234 -14>,  	 A1 --  1/16th.( 50) <      > 	V 42 - M 50	= -8  %-19  	q= -8  %-19  	 0.238(78)
printNotes: i= 155-<1422 1434 -12>,  	 B1 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 156-<1514 1529 -15>,  	 C2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(78)
printNotes: i= 157-<1658 1732 -74>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 158-<1539 1529  10>,  	 C2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(78)
printNotes: i= 159-<1582 1629 -47>,  	Db2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(78)
printNotes: i= 160-<1405 1434 -29>,  	 B1 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i= 161-<1497 1529 -32>,  	 C2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 162-<1227 1234  -7>,  	 A1 --  1/4th..(232) <      > 	V225 - M232	= -7  %-3  	q= -7  %-3  	 1.300(78)
printNotes: i= 163-<1021 1029  -8>,  	 G1 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)
printNotes: i= 164-<1236 1234   2>,  	 A1 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 165-<1474 1529 -55>,  	 C2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 166-<1414 1434 -20>,  	 B1 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(78)
printNotes: i= 167-<1498 1529 -31>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 168-<1398 1434 -36>,  	 B1 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 169-<1450 1529 -79>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 170-<1219 1234 -15>,  	 A1 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 171-<1340 1434 -94>,  	 B1 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 172-<1058 1029  29>,  	 G1 --  1/16th.( 50) <      > 	V 42 - M 33	= +9  %+21  	q= -8  %-19  	 0.238(78)


silence
printNotes: i= 173-<   0   40 -40>,  	Slc --   1/4th.(199) <      > 	V191 - M206	=-15  %-8  	q= -8  %-4  	 1.103(78)
printNotes: i= 174-< 864  829  35>,  	 F1 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(78)
printNotes: i= 175-<1004 1029 -25>,  	 G1 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(78)
printNotes: i= 176-< 828  829  -1>,  	 F1 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
