	voice Midi Diff								present		 Best		Sec

printNotes: i= 77-<2019 1997  22>,  	 F2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(91)
printNotes: i= 78-<1890 1847  43>,  	Ek2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(91)
printNotes: i= 79-<2144 2216 -72>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(91)
printNotes: i= 80-<1999 1997   2>,  	 F2 --     half(228) <      > 	V237 - M228	= +9  %+4  	q= +9  %+4  	 1.370(91)
printNotes: i= 81-<2128 2216 -88>,  	 G2 -- 1/16th..( 50) <      > 	V 50 - M 50	=  +  %+0  	q=  +  %+0  	 0.284(91)
printNotes: i= 82-<2406 2413  -7>,  	 A2 --    1/4th(114) <1*sela> 	V134 - M114	=+20  %+15  	q=+20  %+15  	 0.772(91)
printNotes: i= 83-<2237 2216  21>,  	 G2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(91)
printNotes: i= 84-<2420 2413   7>,  	 A2 --   half..(398) <1*sela> 	V415 - M398	=+17  %+4  	q=+17  %+4  	 2.403(91)
printNotes: i= 85-<2743 2904 -161>,  	 D3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(91)
printNotes: i= 86-<2433 2413  20>,  	 A2 --   1/8th.( 85) <      > 	V 72 - M 57	=+15  %+21  	q=-13  %-18  	 0.412(91)


silence
printNotes: i= 87-<   0   40 -40>,  	Slc --   whole.(683) <-5*sela> 	V603 - M523	=+80  %+13  	q=-80  %-13  	 3.495(91)
printNotes: i= 88-<2074 1997  77>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 12	= -1  %-9  	q=  +  %+0  	 0.058(91)
printNotes: i= 89-<2493 2586 -93>,  	 B2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(91)
printNotes: i= 90-<1856 2216 -360>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(91)
printNotes: i= 91-<2698 2691   7>,  	 C3 --  1/4th..(199) <      > 	V211 - M199	=+12  %+6  	q=+12  %+6  	 1.219(91)
printNotes: i= 92-<2596 2586  10>,  	 B2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(91)
printNotes: i= 93-<2691 2691    >,  	 C3 --    1/4th(114) <      > 	V125 - M114	=+11  %+9  	q=+11  %+9  	 0.720(91)
printNotes: i= 94-<2590 2586   4>,  	 B2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(91)
printNotes: i= 95-<2693 2691   2>,  	 C3 --   1/8th.( 85) <      > 	V 79 - M 85	= -6  %-8  	q= -6  %-8  	 0.453(91)
printNotes: i= 96-<2612 2586  26>,  	 B2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(91)
printNotes: i= 97-<2920 2904  16>,  	 D3 --  1/16th.( 43) <      > 	V 43 - M 43	=  +  %+0  	q=  +  %+0  	 0.244(91)
printNotes: i= 98-<2937 2904  33>,  	 D3 --  1/16th.( 43) <      > 	V 38 - M 43	= -5  %-13  	q= -5  %-13  	 0.215(91)<-- same note
printNotes: i= 99-<2683 2691  -8>,  	 C3 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(91)
printNotes: i= 100-<2867 2904 -37>,  	 D3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(91)
printNotes: i= 101-<2734 2691  43>,  	 C3 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(91)
printNotes: i= 102-<2579 2586  -7>,  	 B2 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(91)
printNotes: i= 103-<2679 2691 -12>,  	 C3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(91)
printNotes: i= 104-<2776 2791 -15>,  	Db3 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(91)
printNotes: i= 105-<2722 2691  31>,  	 C3 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(91)
printNotes: i= 106-<2892 2904 -12>,  	 D3 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(91)
printNotes: i= 107-<3041 3004  37>,  	Eb3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(91)
printNotes: i= 108-<2696 2691   5>,  	 C3 --  1/4th..(199) <      > 	V187 - M199	=-12  %-6  	q=-12  %-6  	 1.080(91)
printNotes: i= 109-<2438 2413  25>,  	 A2 --   1/4th.(171) <-1*sela> 	V146 - M171	=-25  %-17  	q=-25  %-17  	 0.842(91)
printNotes: i= 110-<2652 2691 -39>,  	 C3 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(91)
printNotes: i= 111-<2522 2496  26>,  	Bb2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(91)
printNotes: i= 112-<2691 2691    >,  	 C3 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(91)
printNotes: i= 113-<2515 2496  19>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(91)
printNotes: i= 114-<2673 2691 -18>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(91)
printNotes: i= 115-<2536 2496  40>,  	Bb2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(91)
printNotes: i= 116-<2625 2691 -66>,  	 C3 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(91)
printNotes: i= 117-<2537 2496  41>,  	Bb2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(91)
printNotes: i= 118-<2055 2691 -636>,  	 C3 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(91)
printNotes: i= 119-<2262 2413 -151>,  	 A2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(91)
printNotes: i= 120-<2515 2496  19>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(91)
printNotes: i= 121-<2107 2413 -306>,  	 A2 -- 1/16th..( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(91)
printNotes: i= 122-<1979 2496 -517>,  	Bb2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(91)
printNotes: i= 123-<2287 2216  71>,  	 G2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(91)
printNotes: i= 124-<2531 2586 -55>,  	 B2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(91)
printNotes: i= 125-<2424 2413  11>,  	 A2 --  1/4th..(199) <      > 	V208 - M199	= +9  %+4  	q= +9  %+4  	 1.202(91)
printNotes: i= 126-<2641 2691 -50>,  	 C3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(91)
printNotes: i= 127-<2435 2413  22>,  	 A2 --  1/16th.( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(91)


silence
printNotes: i= 128-<   0   40 -40>,  	Slc --  1/8th..(100) <      > 	V102 - M125	=-23  %-23  	q= +2  %+2  	 0.586(91)<-----%23   %2

printNotes: i= 129-<2216 2216    >,  	 G2 --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(91)
printNotes: i= 130-<2407 2413  -6>,  	 A2 --     half(228) <      > 	V228 - M228	=  +  %+0  	q=  +  %+0  	 1.318(91)
printNotes: i= 131-<2215 2216  -1>,  	 G2 --    1/8th( 57) <      > 	V 62 - M 57	= +5  %+8  	q= +5  %+8  	 0.354(91)
printNotes: i= 132-<2367 2413 -46>,  	 A2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(91)
printNotes: i= 133-<2237 2216  21>,  	 G2 --  1/16th.( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(91)
printNotes: i= 134-<2384 2413 -29>,  	 A2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(91)
printNotes: i= 135-<2243 2216  27>,  	 G2 --  1/16th.( 43) <      > 	V 38 - M 43	= -5  %-13  	q= -5  %-13  	 0.215(91)
printNotes: i= 136-<2377 2413 -36>,  	 A2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(91)
printNotes: i= 137-<1123 2216 -1093>,  	 G2 -- 1/16th..( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(91)
printNotes: i= 138-<2185 2216 -31>,  	 G2 --    1/8th( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(91)<-- same note
printNotes: i= 139-<2027 1997  30>,  	 F2 --    1/4th(114) <1*sela> 	V128 - M114	=+14  %+11  	q=+14  %+11  	 0.737(91)
printNotes: i= 140-<2226 2216  10>,  	 G2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(91)
printNotes: i= 141-<2467 2530 -63>,  	Bk2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(91)
printNotes: i= 142-<2405 2413  -8>,  	 A2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(91)
printNotes: i= 143-<2230 2216  14>,  	 G2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(91)
printNotes: i= 144-<2379 2413 -34>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(91)
printNotes: i= 145-<2219 2216   3>,  	 G2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(91)
printNotes: i= 146-<2039 1997  42>,  	 F2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(91)
printNotes: i= 147-<2256 2216  40>,  	 G2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(91)
printNotes: i= 148-<2479 2530 -51>,  	Bk2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(91)
printNotes: i= 149-<2416 2413   3>,  	 A2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(91)
printNotes: i= 150-<2235 2216  19>,  	 G2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(91)
printNotes: i= 151-<2354 2413 -59>,  	 A2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(91)
printNotes: i= 152-<2223 2216   7>,  	 G2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(91)
printNotes: i= 153-<2052 1997  55>,  	 F2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(91)
printNotes: i= 154-<2292 2313 -21>,  	Ab2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(91)
printNotes: i= 155-<2253 2216  37>,  	 G2 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(91)
printNotes: i= 156-<2462 2496 -34>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(91)
printNotes: i= 157-<2113 2216 -103>,  	 G2 --    half.(341) <      > 	V334 - M341	= -7  %-2  	q= -7  %-2  	 1.933(91)


silence
printNotes: i= 158-<   0   40 -40>,  	Slc --   whole.(683) <-4*sela> 	V624 - M540	=+84  %+13  	q=-59  %-9  	 3.617(91)<-----%13   %9

printNotes: i= 159-<1802 1711  91>,  	 D2 --  1/16th.( 43) <      > 	V 38 - M 43	= -5  %-13  	q= -5  %-13  	 0.215(91)
printNotes: i= 160-<1926 2691 -765>,  	 C3 --  1/16th.( 43) <      > 	V 46 - M 43	= +3  %+7  	q= +3  %+7  	 0.261(91)
printNotes: i= 161-<2602 2691 -89>,  	 C3 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(91)<-- same note
printNotes: i= 162-<1238 2413 -1175>,  	 A2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(91)
printNotes: i= 163-<2686 2691  -5>,  	 C3 -- 1/16th..( 50) <      > 	V 52 - M 50	= +2  %+4  	q= +2  %+4  	 0.296(91)
printNotes: i= 164-<2599 2586  13>,  	 B2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(91)
printNotes: i= 165-<2678 2691 -13>,  	 C3 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(91)
printNotes: i= 166-<2584 2586  -2>,  	 B2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(91)
printNotes: i= 167-<1382 2413 -1031>,  	 A2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(91)
printNotes: i= 168-<2661 2904 -243>,  	 D3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(91)
printNotes: i= 169-<2628 2586  42>,  	 B2 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(91)
printNotes: i= 170-<2689 2691  -2>,  	 C3 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(91)
printNotes: i= 171-<2907 2904   3>,  	 D3 --    1/8th( 57) <      > 	V 67 - M 57	=+10  %+15  	q=+10  %+15  	 0.383(91)
printNotes: i= 172-<2693 2691   2>,  	 C3 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(91)
printNotes: i= 173-<2533 2904 -371>,  	 D3 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(91)
printNotes: i= 174-<2694 2691   3>,  	 C3 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(91)
printNotes: i= 175-<2867 2904 -37>,  	 D3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(91)
printNotes: i= 176-<2738 3004 -266>,  	Eb3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(91)
