	voice Midi Diff								present		 Best		Sec

printNotes: i= 142-<2945 3013 -68>,  	Eb3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 143-<2893 2886   7>,  	 D3 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
printNotes: i= 144-<3124 3213 -89>,  	 F3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 145-<2689 2673  16>,  	 C3 --   1/8th.( 92) <      > 	V 94 - M 92	= +2  %+2  	q= +2  %+2  	 0.540(84)
printNotes: i= 146-<2535 2536  -1>,  	Bk2 --  1/8th..(107) <      > 	V101 - M107	= -6  %-6  	q= -6  %-6  	 0.580(84)
printNotes: i= 147-<1961 2404 -443>,  	 A2 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(84)


silence
printNotes: i= 148-<   0   40 -40>,  	Slc --    half.(368) <1*sela> 	V385 - M129	=+256  %+66  	q=+17  %+4  	 2.229(84)<-----%66   %4

printNotes: i= 149-<1802 1496 306>,  	 C2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(84)
printNotes: i= 150-<2818 2886 -68>,  	 D3 --   1/4th.(184) <-1*sela> 	V164 - M184	=-20  %-12  	q=-20  %-12  	 0.946(84)
printNotes: i= 151-<2313 2673 -360>,  	 C3 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 152-<2260 2886 -626>,  	 D3 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 153-<2313 2673 -360>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i= 154-<2694 3013 -319>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(84)
printNotes: i= 155-<2899 2886  13>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i= 156-<3049 3013  36>,  	Eb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 157-<2886 2886    >,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i= 158-<2947 3013 -66>,  	Eb3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(84)
printNotes: i= 159-<2685 2673  12>,  	 C3 --   1/8th.( 92) <      > 	V 93 - M 92	= +1  %+1  	q= +1  %+1  	 0.534(84)
printNotes: i= 160-<2544 2536   8>,  	Bk2 --    1/8th( 61) <      > 	V 60 - M 61	= -1  %-2  	q= -1  %-2  	 0.342(84)
printNotes: i= 161-<1750 2404 -654>,  	 A2 --    1/8th( 61) <      > 	V 64 - M 61	= +3  %+5  	q= +3  %+5  	 0.366(84)
printNotes: i= 162-<3753 2536 1217>,  	Bk2 --   1/8th.( 92) <      > 	V 83 - M 92	= -9  %-11  	q= -9  %-11  	 0.476(84)


silence
