	voice Midi Diff								present		 Best		Sec

printNotes: i= 107-<1816 1892 -76>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 108-<2107 2099   8>,  	 G2 --    half.(350) <      > 	V356 - M350	= +6  %+2  	q= +6  %+2  	 2.061(88)


silence
printNotes: i= 109-<   0   40 -40>,  	Slc --    whole(467) <      > 	V458 - M701	=-243  %-53  	q= -9  %-2  	 2.653(88)<-----%53   %2

printNotes: i= 110-<1720 1892 -172>,  	 F2 --    1/8th( 58) <      > 	V 56 - M 29	=+27  %+48  	q= -2  %-4  	 0.319(88)<-----%48   %4

printNotes: i= 111-<2370 2385 -15>,  	Bb2 --  1/4th..(204) <      > 	V200 - M204	= -4  %-2  	q= -4  %-2  	 1.155(88)
printNotes: i= 112-<2219 2227  -8>,  	Ak2 --   1/4th.(175) <-1*sela> 	V152 - M117	=+35  %+23  	q=-23  %-15  	 0.877(88)<-----%23   %15

printNotes: i= 113-<2097 2099  -2>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(88)<-----%164   %0 <<

printNotes: i= 114-<2231 2227   4>,  	Ak2 --   half..(409) <      > 	V397 - M467	=-70  %-18  	q=-12  %-3  	 2.299(88)<-----%18   %3

printNotes: i= 115-<2111 2099  12>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i= 116-<2284 2227  57>,  	Ak2 -- 1/16th..( 51) <      > 	V 54 - M 29	=+25  %+46  	q= +3  %+6  	 0.308(88)<-----%46   %6

printNotes: i= 117-<2095 2099  -4>,  	 G2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(88)
printNotes: i= 118-<2179 2227 -48>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(88)<-----%164   %0 <<

printNotes: i= 119-<1852 1892 -40>,  	 F2 --    1/8th( 58) <      > 	V 60 - M 29	=+31  %+52  	q= +2  %+3  	 0.342(88)<-----%52   %3

printNotes: i= 120-<2132 2099  33>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 121-<1777 1742  35>,  	Ek2 -- 1/16th..( 51) <      > 	V 54 - M 58	= -4  %-7  	q= +3  %+6  	 0.308(88)
printNotes: i= 122-<1885 1892  -7>,  	 F2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(88)<-----%400   %33 <<

printNotes: i= 123-<1952 2099 -147>,  	 G2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 124-<1914 1892  22>,  	 F2 --  1/16th.( 44) <      > 	V 41 - M 29	=+12  %+29  	q= -3  %-7  	 0.232(88)<-----%29   %7

printNotes: i= 125-<2112 2099  13>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(88)<-----%42   %0

printNotes: i= 126-<2221 2227  -6>,  	Ak2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 127-<2117 2099  18>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 128-<2209 2227 -18>,  	Ak2 --    128th(  4) <      > 	V  2 - M 15	=-13  %-650  	q= -2  %-100  	 0.006(88)<-----%650   %100 <<

printNotes: i= 129-<2375 2385 -10>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(88)<-----%275   %0 <<

printNotes: i= 130-<2179 2227 -48>,  	Ak2 -- 1/16th..( 51) <      > 	V 49 - M 29	=+20  %+41  	q= -2  %-4  	 0.279(88)<-----%41   %4

printNotes: i= 131-<2436 2385  51>,  	Bb2 --  1/16th.( 44) <      > 	V 45 - M 29	=+16  %+36  	q= +1  %+2  	 0.255(88)<-----%36   %2

printNotes: i= 132-<2258 2227  31>,  	Ak2 -- 1/32nd..( 26) <      > 	V 24 - M 29	= -5  %-21  	q= -2  %-8  	 0.134(88)<-----%21   %8

printNotes: i= 133-<2203 2385 -182>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 134-<2044 2099 -55>,  	 G2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 135-<2355 2385 -30>,  	Bb2 --  1/4th..(204) <      > 	V196 - M175	=+21  %+11  	q= -8  %-4  	 1.132(88)<-----%11   %4

printNotes: i= 136-<2221 2227  -6>,  	Ak2 --   1/8th.( 88) <      > 	V 90 - M 88	= +2  %+2  	q= +2  %+2  	 0.517(88)
printNotes: i= 137-<2103 2099   4>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 138-<1993 2227 -234>,  	Ak2 --   1/8th.( 88) <      > 	V 91 - M 29	=+62  %+68  	q= +3  %+3  	 0.522(88)<-----%68   %3



silence
printNotes: i= 139-<   0   40 -40>,  	Slc --   1/4th.(175) <      > 	V182 - M204	=-22  %-12  	q= +7  %+4  	 1.051(88)<-----%12   %4

printNotes: i= 140-<1656 1892 -236>,  	 F2 -- 1/32nd..( 26) <      > 	V 24 - M 15	= +9  %+38  	q= -2  %-8  	 0.134(88)<-----%38   %8

