	voice Midi Diff								present		 Best		Sec

printNotes: i= 99-<2242 2241   1>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 100-<2120 2104  16>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 101-<2176 2241 -65>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(80)<-----%78   %33 <<

printNotes: i= 102-<1003 2104 -1101>,  	 G2 -- 1/16th..( 57) <      > 	V 54 - M 16	=+38  %+70  	q= -3  %-6  	 0.308(80)<-----%70   %6

printNotes: i= 103-<1892 1878  14>,  	 F2 --     half(259) <3*sela> 	V322 - M324	= -2  %-1  	q=+63  %+20  	 1.863(80)
printNotes: i= 104-<1754 1744  10>,  	Ek2 --  1/8th..(113) <      > 	V113 - M 65	=+48  %+42  	q=  +  %+0  	 0.650(80)<-----%42   %0

printNotes: i= 105-<1611 1610   1>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 106-<1690 1744 -54>,  	Ek2 --  1/8th..(113) <      > 	V105 - M 65	=+40  %+38  	q= -8  %-8  	 0.604(80)<-----%38   %8



silence
printNotes: i= 107-<   0   40 -40>,  	Slc --    whole(519) <1*sela> 	V538 - M583	=-45  %-8  	q=+19  %+4  	 3.117(80)<-----%8   %4

printNotes: i= 108-<2056 2241 -185>,  	Ak2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 109-<1653 2104 -451>,  	 G2 --   1/8th.( 97) <      > 	V 85 - M 97	=-12  %-14  	q=-12  %-14  	 0.488(80)
printNotes: i= 110-<2469 2391  78>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 111-<2186 2241 -55>,  	Ak2 --   1/16th( 32) <      > 	V 34 - M 16	=+18  %+53  	q= +2  %+6  	 0.192(80)<-----%53   %6

printNotes: i= 112-<2096 2104  -8>,  	 G2 --    1/4th(130) <      > 	V145 - M194	=-49  %-34  	q=+15  %+10  	 0.836(80)<-----%34   %10

printNotes: i= 113-<2221 2241 -20>,  	Ak2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 114-<2116 2104  12>,  	 G2 --   1/16th( 32) <      > 	V 40 - M 32	= +8  %+20  	q= +8  %+20  	 0.226(80)
printNotes: i= 115-<2219 2241 -22>,  	Ak2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 116-<2019 2104 -85>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 117-<1890 1878  12>,  	 F2 --   1/8th.( 97) <      > 	V 96 - M 97	= -1  %-1  	q= -1  %-1  	 0.551(80)
printNotes: i= 118-<1793 1744  49>,  	Ek2 --   1/8th.( 97) <      > 	V 93 - M 32	=+61  %+66  	q= -4  %-4  	 0.534(80)<-----%66   %4



silence
printNotes: i= 119-<   0   40 -40>,  	Slc --   1/4th.(194) <-1*sela> 	V164 - M 97	=+67  %+41  	q=-30  %-18  	 0.946(80)<-----%41   %18

printNotes: i= 120-<1859 2104 -245>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 121-<1871 1878  -7>,  	 F2 --    1/8th( 65) <      > 	V 62 - M 49	=+13  %+21  	q= -3  %-5  	 0.354(80)<-----%21   %5

printNotes: i= 122-<2098 2104  -6>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

