	voice Midi Diff								present		 Best		Sec

printNotes: i= 117-< 590 2398 -1808>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 118-<2129 2192 -63>,  	Ak2 --    1/8th( 59) <      > 	V 63 - M 30	=+33  %+52  	q= +4  %+6  	 0.360(87)<-----%52   %6

printNotes: i= 119-<2417 2398  19>,  	Bk2 --  1/32nd.( 22) <      > 	V 21 - M 30	= -9  %-43  	q= -1  %-5  	 0.116(87)<-----%43   %5

printNotes: i= 120-<2182 2192 -10>,  	Ak2 --   1/8th.( 89) <      > 	V 76 - M 59	=+17  %+22  	q=-13  %-17  	 0.435(87)<-----%22   %17

printNotes: i= 121-<2104 2078  26>,  	 G2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 122-<2391 2398  -7>,  	Bk2 --   1/4th.(178) <      > 	V190 - M237	=-47  %-25  	q=+12  %+6  	 1.097(87)<-----%25   %6

printNotes: i= 123-<2207 2192  15>,  	Ak2 -- 1/16th..( 52) <      > 	V 51 - M 30	=+21  %+41  	q= -1  %-2  	 0.290(87)<-----%41   %2

printNotes: i= 124-< 861 2398 -1537>,  	Bk2 --    1/8th( 59) <      > 	V 67 - M 59	= +8  %+12  	q= +8  %+12  	 0.383(87)
printNotes: i= 125-<2552 2560  -8>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 126-<2550 2560 -10>,  	 C3 --  1/4th..(208) <      > 	V203 - M277	=-74  %-36  	q= -5  %-2  	 1.173(87)<-- same note<-----%36   %2

printNotes: i= 127-<2189 2398 -209>,  	Bk2 -- 1/16th..( 52) <      > 	V 55 - M 40	=+15  %+27  	q= +3  %+5  	 0.313(87)<-----%27   %5

printNotes: i= 128-<2543 2560 -17>,  	 C3 --   1/16th( 30) <      > 	V 34 - M 40	= -6  %-18  	q= +4  %+12  	 0.192(87)<-----%18   %12

printNotes: i= 129-<2394 2398  -4>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 130-<2545 2560 -15>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(87)<-----%36   %0 <<

