	voice Midi Diff								present		 Best		Sec

printNotes: i= 116-<2786 2817 -31>,  	 D3 --  1/16th.( 45) <      > 	V 43 - M 60	=-17  %-40  	q= -2  %-5  	 0.244(86)<-----%40   %5

printNotes: i= 117-<2553 2582 -29>,  	 C3 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(86)
printNotes: i= 118-<2579 2582  -3>,  	 C3 --    1/4th(120) <      > 	V120 - M120	=  +  %+0  	q=  +  %+0  	 0.691(86)<-- same note
printNotes: i= 119-<2743 2817 -74>,  	 D3 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 120-<1826 2420 -594>,  	Bk2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 121-<1925 2582 -657>,  	 C3 --  1/8th..(105) <      > 	V111 - M 60	=+51  %+46  	q= +6  %+5  	 0.639(86)<-----%46   %5



silence
printNotes: i= 122-<   0   40 -40>,  	Slc -- 1/16th..( 53) <      > 	V 49 - M 60	=-11  %-22  	q= -4  %-8  	 0.279(86)<-----%22   %8

printNotes: i= 123-<1964 2099 -135>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 124-<2578 2582  -4>,  	 C3 --  1/16th.( 45) <      > 	V 41 - M 45	= -4  %-10  	q= -4  %-10  	 0.232(86)
printNotes: i= 125-<2385 2420 -35>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 126-<2581 2582  -1>,  	 C3 --  1/16th.( 45) <      > 	V 40 - M 45	= -5  %-12  	q= -5  %-12  	 0.226(86)
printNotes: i= 127-<2835 2817  18>,  	 D3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 128-<2576 2582  -6>,  	 C3 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(86)
printNotes: i= 129-<2674 2817 -143>,  	 D3 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(86)<-----%200   %20 <<

printNotes: i= 130-<2578 2582  -4>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 131-<2401 2420 -19>,  	Bk2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(86)<-----%42   %0

printNotes: i= 132-<2525 2582 -57>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 133-<2427 2420   7>,  	Bk2 --   1/16th( 30) <      > 	V 32 - M 15	=+17  %+53  	q= +2  %+6  	 0.180(86)<-----%53   %6

printNotes: i= 134-<2540 2582 -42>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 135-<2249 2227  22>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 15	=+18  %+55  	q= +3  %+9  	 0.186(86)<-----%55   %9

printNotes: i= 136-<1730 2420 -690>,  	Bk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 137-<2229 2227   2>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(86)<-----%48   %3

printNotes: i= 138-<2409 2420 -11>,  	Bk2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 139-<2117 2099  18>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 40	= -7  %-21  	q= +3  %+9  	 0.186(86)<-----%21   %9

printNotes: i= 140-<2222 2227  -5>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 40	=-10  %-33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 141-<2033 2099 -66>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 40	=-10  %-33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 142-<2390 2420 -30>,  	Bk2 --    1/8th( 60) <      > 	V 60 - M 40	=+20  %+33  	q=  +  %+0  	 0.342(86)<-----%33   %0

printNotes: i= 143-<2568 2582 -14>,  	 C3 --   1/16th( 30) <      > 	V 32 - M 40	= -8  %-25  	q= +2  %+6  	 0.180(86)<-----%25   %6

printNotes: i= 144-<2417 2420  -3>,  	Bk2 --  1/16th.( 45) <      > 	V 44 - M 40	= +4  %+9  	q= -1  %-2  	 0.250(86)<-----%9   %2

printNotes: i= 145-<2581 2582  -1>,  	 C3 --   1/8th.( 90) <      > 	V 76 - M 60	=+16  %+21  	q=-14  %-18  	 0.435(86)
printNotes: i= 146-<2352 2420 -68>,  	Bk2 --  1/4th..(211) <      > 	V210 - M241	=-31  %-15  	q= -1  %-0  	 1.213(86)<-----%15   %0

printNotes: i= 147-<2573 2582  -9>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 148-<2423 2420   3>,  	Bk2 -- 1/16th..( 53) <      > 	V 53 - M 45	= +8  %+15  	q=  +  %+0  	 0.302(86)<-----%15   %0

printNotes: i= 149-<2560 2582 -22>,  	 C3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
printNotes: i= 150-<2287 2420 -133>,  	Bk2 --  1/16th.( 45) <      > 	V 40 - M 30	=+10  %+25  	q= -5  %-12  	 0.226(86)<-----%25   %12

printNotes: i= 151-<2183 2227 -44>,  	Ak2 --  1/8th..(105) <      > 	V109 - M120	=-11  %-10  	q= +4  %+4  	 0.627(86)<-----%10   %4

printNotes: i= 152-<2002 2099 -97>,  	 G2 -- 1/16th..( 53) <      > 	V 52 - M 30	=+22  %+42  	q= -1  %-2  	 0.296(86)<-----%42   %2



silence
printNotes: i= 153-<   0   40 -40>,  	Slc --    whole(481) <5*sela> 	V565 - M571	= -6  %-1  	q=+84  %+15  	 3.274(86)
printNotes: i= 154-<1872 2099 -227>,  	 G2 --  1/16th.( 45) <      > 	V 44 - M 30	=+14  %+32  	q= -1  %-2  	 0.250(86)<-----%32   %2

printNotes: i= 155-<2573 2582  -9>,  	 C3 --   1/4th.(180) <      > 	V171 - M241	=-70  %-41  	q= -9  %-5  	 0.987(86)<-----%41   %5

printNotes: i= 156-<2450 2420  30>,  	Bk2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i= 157-<2576 2582  -6>,  	 C3 --    half.(361) <-2*sela> 	V328 - M361	=-33  %-10  	q=-33  %-10  	 1.898(86)
printNotes: i= 158-<2423 2420   3>,  	Bk2 --  1/8th..(105) <      > 	V 99 - M120	=-21  %-21  	q= -6  %-6  	 0.569(86)<-----%21   %6

printNotes: i= 159-<2576 2582  -6>,  	 C3 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 160-<2806 2817 -11>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(86)<-----%131   %0 <<

printNotes: i= 161-<2593 2582  11>,  	 C3 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(86)
printNotes: i= 162-<2798 2817 -19>,  	 D3 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 163-<2411 2420  -9>,  	Bk2 --  1/16th.( 45) <      > 	V 45 - M 30	=+15  %+33  	q=  +  %+0  	 0.255(86)<-----%33   %0

