	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<2425 2425    >,  	Bk2 --   1/4th.(192) <      > 	V187 - M160	=+27  %+14  	q= -5  %-3  	 1.080(81)<-----%14   %3

printNotes: i= 89-<2297 2315 -18>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 90-<2422 2425  -3>,  	Bk2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-----%28   %4

printNotes: i= 91-<2563 2571  -8>,  	 C3 --  1/32nd.( 24) <      > 	V 23 - M 16	= +7  %+30  	q= -1  %-4  	 0.128(81)<-----%30   %4

printNotes: i= 92-<1328 2771 -1443>,  	 D3 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(81)<-----%60   %20 <<

printNotes: i= 93-<2580 2571   9>,  	 C3 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 94-<2460 2425  35>,  	Bk2 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(81)<-----%24   %14

printNotes: i= 95-<2561 2571 -10>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 96-<2289 2232  57>,  	Ak2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 97-<2409 2425 -16>,  	Bk2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 98-<2153 2106  47>,  	 G2 --  1/16th.( 48) <      > 	V 43 - M 64	=-21  %-49  	q= -5  %-12  	 0.244(81)<-----%49   %12



silence
printNotes: i= 99-<   0   40 -40>,  	Slc --    1/4th(128) <1*sela> 	V156 - M128	=+28  %+18  	q=+28  %+18  	 0.900(81)
printNotes: i= 100-<1904 1877  27>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 101-<2085 2106 -21>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 102-<2251 2315 -64>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i= 103-<2408 2425 -17>,  	Bk2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i= 104-<2595 2571  24>,  	 C3 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

printNotes: i= 105-<2409 2425 -16>,  	Bk2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 106-<2538 2571 -33>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 107-<2325 2315  10>,  	 A2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 108-<2446 2425  21>,  	Bk2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 109-<2108 2106   2>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 64	=-37  %-137  	q= -1  %-4  	 0.151(81)<-----%137   %4



silence
printNotes: i= 110-<  91   40  51>,  	Slc --  1/32nd.( 24) <      > 	V 23 - M  8	=+15  %+65  	q= -1  %-4  	 0.128(81)<-----%65   %4

printNotes: i= 111-<2012 2106 -94>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 112-<2564 2571  -7>,  	 C3 --    1/8th( 64) <      > 	V 74 - M 64	=+10  %+14  	q=+10  %+14  	 0.424(81)
printNotes: i= 113-<2425 2425    >,  	Bk2 --    1/4th(128) <1*sela> 	V146 - M128	=+18  %+12  	q=+18  %+12  	 0.842(81)
printNotes: i= 114-<2323 2315   8>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 115-<2406 2425 -19>,  	Bk2 --    1/4th(128) <      > 	V127 - M 64	=+63  %+50  	q= -1  %-1  	 0.731(81)<-----%50   %1



silence
printNotes: i= 116-<   0   40 -40>,  	Slc --    whole(512) <-1*sela> 	V485 - M448	=+37  %+8  	q=-27  %-6  	 2.810(81)
printNotes: i= 117-<2066 2106 -40>,  	 G2 -- 1/16th..( 56) <      > 	V 56 - M 64	= -8  %-14  	q=  +  %+0  	 0.319(81)<-----%14   %0

printNotes: i= 118-<2563 2571  -8>,  	 C3 --   1/8th.( 96) <      > 	V 85 - M128	=-43  %-51  	q=-11  %-13  	 0.488(81)<-----%51   %13

printNotes: i= 119-< 579 2425 -1846>,  	Bk2 --   1/16th( 32) <      > 	V 38 - M 48	=-10  %-26  	q= +6  %+16  	 0.215(81)<-----%26   %16

printNotes: i= 120-<2424 2425  -1>,  	Bk2 --    128th(  4) <      > 	V  1 - M 32	=-31  %-3100  	q= -3  %-300  	 0.000(81)<-- same note<-----%3100   %300 <<

printNotes: i= 121-<2412 2425 -13>,  	Bk2 --  1/64th.( 12) <      > 	V 12 - M 48	=-36  %-300  	q=  +  %+0  	 0.064(81)<-- same note<-----%300   %0 <<

printNotes: i= 122-< 711 2315 -1604>,  	 A2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

