	voice Midi Diff								present		 Best		Sec

printNotes: i= 104-<2171   40 2131>,  	Slc --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(98)
printNotes: i= 105-<2181 2264 -83>,  	 E2 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(98)
printNotes: i= 106-<2096 2081  15>,  	 D2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(98)
printNotes: i= 107-<2090 2206 -116>,  	Ek2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(98)
printNotes: i= 108-<2483 2572 -89>,  	 G2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 109-<2191 2206 -15>,  	Ek2 --  1/16th.( 40) <      > 	V 36 - M 40	= -4  %-11  	q= -4  %-11  	 0.203(98)
printNotes: i= 110-<2120 2364 -244>,  	 F2 --    1/4th(106) <      > 	V105 - M106	= -1  %-1  	q= -1  %-1  	 0.604(98)
printNotes: i= 111-<2204 2206  -2>,  	Ek2 -- 1/16th..( 46) <      > 	V 46 - M 46	=  +  %+0  	q=  +  %+0  	 0.261(98)
printNotes: i= 112-<2101 2081  20>,  	 D2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(98)
printNotes: i= 113-<2195 2206 -11>,  	Ek2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(98)
printNotes: i= 114-<2068 2081 -13>,  	 D2 --   1/16th( 26) <      > 	V 31 - M 26	= +5  %+16  	q= +5  %+16  	 0.174(98)
printNotes: i= 115-<2321 2364 -43>,  	 F2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(98)
printNotes: i= 116-<2084 2081   3>,  	 D2 --  1/16th.( 40) <      > 	V 34 - M 40	= -6  %-18  	q= -6  %-18  	 0.192(98)
printNotes: i= 117-<2096 2081  15>,  	 D2 --    1/4th(106) <      > 	V106 - M106	=  +  %+0  	q=  +  %+0  	 0.610(98)<-- same note
printNotes: i= 118-<2637 2766 -129>,  	 A2 --   1/32nd( 13) <      > 	V 16 - M 13	= +3  %+19  	q= +3  %+19  	 0.087(98)


silence
printNotes: i= 119-<   0   40 -40>,  	Slc --   whole.(635) <2*sela> 	V661 - M635	=+26  %+4  	q=+26  %+4  	 3.831(98)
printNotes: i= 120-<2010 2081 -71>,  	 D2 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(98)
printNotes: i= 121-<2774 2766   8>,  	 A2 --    1/4th(106) <      > 	V100 - M106	= -6  %-6  	q= -6  %-6  	 0.575(98)
printNotes: i= 122-<2585 2572  13>,  	 G2 -- 1/16th..( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(98)
printNotes: i= 123-<2774 2766   8>,  	 A2 --  1/16th.( 40) <      > 	V 37 - M 40	= -3  %-8  	q= -3  %-8  	 0.209(98)
printNotes: i= 124-<2558 2572 -14>,  	 G2 --   1/8th.( 79) <      > 	V 78 - M 79	= -1  %-1  	q= -1  %-1  	 0.447(98)
printNotes: i= 125-<2372 2364   8>,  	 F2 --   1/8th.( 79) <      > 	V 82 - M 79	= +3  %+4  	q= +3  %+4  	 0.470(98)
printNotes: i= 126-<2217 2206  11>,  	Ek2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 127-<2318 2364 -46>,  	 F2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(98)
printNotes: i= 128-<2200 2206  -6>,  	Ek2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(98)
printNotes: i= 129-< 969 2364 -1395>,  	 F2 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(98)
printNotes: i= 130-< 960 1864 -904>,  	 C2 --   1/16th( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(98)
printNotes: i= 131-<2463 2572 -109>,  	 G2 --    1/4th(106) <      > 	V109 - M106	= +3  %+3  	q= +3  %+3  	 0.627(98)
printNotes: i= 132-<2071 2364 -293>,  	 F2 --  1/16th.( 40) <      > 	V 37 - M 40	= -3  %-8  	q= -3  %-8  	 0.209(98)
printNotes: i= 133-<2547 2572 -25>,  	 G2 --  1/16th.( 40) <      > 	V 38 - M 40	= -2  %-5  	q= -2  %-5  	 0.215(98)
printNotes: i= 134-<2367 2364   3>,  	 F2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(98)
printNotes: i= 135-<2531 2572 -41>,  	 G2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(98)
printNotes: i= 136-<2366 2364   2>,  	 F2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(98)
printNotes: i= 137-<2194 2206 -12>,  	Ek2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(98)
printNotes: i= 138-<2324 2364 -40>,  	 F2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(98)
printNotes: i= 139-<2202 2206  -4>,  	Ek2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(98)
printNotes: i= 140-<2061 2081 -20>,  	 D2 --   1/32nd( 13) <      > 	V 16 - M 20	= -4  %-25  	q= +3  %+19  	 0.087(98)
printNotes: i= 141-<2196 2206 -10>,  	Ek2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(98)


silence
