	voice Midi Diff								present		 Best		Sec

printNotes: i= 78-<2256 2217  39>,  	Ek2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(74)
printNotes: i= 79-<2489 2478  11>,  	F#2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 80-<2283 2217  66>,  	Ek2 --  1/32nd.( 26) <      > 	V 22 - M 26	= -4  %-18  	q= -4  %-18  	 0.122(74)
printNotes: i= 81-<2334 2478 -144>,  	F#2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(74)
printNotes: i= 82-<2206 2217 -11>,  	Ek2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 83-<2092 2091   1>,  	 D2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(74)
printNotes: i= 84-<2229 2217  12>,  	Ek2 --   1/8th.(105) <      > 	V104 - M105	= -1  %-1  	q= -1  %-1  	 0.598(74)
printNotes: i= 85-<2674 2800 -126>,  	 A2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(74)


silence
printNotes: i= 86-<   0   40 -40>,  	Slc --    half.(420) <-1*sela> 	V396 - M350	=+46  %+12  	q=-24  %-6  	 2.293(74)<-----%12   %6

printNotes: i= 87-<2310 2217  93>,  	Ek2 --   128th.(  7) <      > 	V  6 - M  7	= -1  %-17  	q= -1  %-17  	 0.029(74)
printNotes: i= 88-<1393 2586 -1193>,  	 G2 --   1/8th.(105) <      > 	V 91 - M105	=-14  %-15  	q=-14  %-15  	 0.522(74)
printNotes: i= 89-<2101 2800 -699>,  	 A2 --   1/8th.(105) <      > 	V105 - M105	=  +  %+0  	q=  +  %+0  	 0.604(74)
printNotes: i= 90-<2859 2880 -21>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(74)
printNotes: i= 91-<1914 2800 -886>,  	 A2 -- 1/16th..( 61) <      > 	V 63 - M 61	= +2  %+3  	q= +2  %+3  	 0.360(74)
printNotes: i= 92-<2563 2586 -23>,  	 G2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(74)
printNotes: i= 93-<2480 2478   2>,  	F#2 --    1/4th(140) <      > 	V143 - M140	= +3  %+2  	q= +3  %+2  	 0.824(74)
printNotes: i= 94-<2575 2586 -11>,  	 G2 --   1/16th( 35) <      > 	V 41 - M 35	= +6  %+15  	q= +6  %+15  	 0.232(74)
printNotes: i= 95-<2822 2880 -58>,  	Bb2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(74)
printNotes: i= 96-<2672 2800 -128>,  	 A2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(74)
printNotes: i= 97-<3062 3080 -18>,  	 C3 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(74)
printNotes: i= 98-<2783 2800 -17>,  	 A2 --  1/32nd.( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(74)
printNotes: i= 99-<2584 2586  -2>,  	 G2 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(74)
printNotes: i= 100-<2378 2478 -100>,  	F#2 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(74)
printNotes: i= 101-<2173 2217 -44>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(74)
printNotes: i= 102-<2474 2478  -4>,  	F#2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 103-<2565 2586 -21>,  	 G2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(74)
printNotes: i= 104-<2785 2800 -15>,  	 A2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(74)
printNotes: i= 105-<2569 2586 -17>,  	 G2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 106-<2437 2478 -41>,  	F#2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(74)
printNotes: i= 107-<2222 2217   5>,  	Ek2 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(74)
printNotes: i= 108-<1955 2091 -136>,  	 D2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i= 109-<1656 2217 -561>,  	Ek2 --    1/8th( 70) <      > 	V 73 - M 70	= +3  %+4  	q= +3  %+4  	 0.418(74)


silence
printNotes: i= 110-<   0   40 -40>,  	Slc --  1/4th..(245) <      > 	V230 - M251	=-21  %-9  	q=-15  %-7  	 1.329(74)
printNotes: i= 111-<1928 1893  35>,  	 C2 --   1/64th(  9) <      > 	V 11 - M 13	= -2  %-18  	q= +2  %+18  	 0.058(74)
printNotes: i= 112-<2577 2586  -9>,  	 G2 --   1/16th( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(74)
printNotes: i= 113-<2799 2800  -1>,  	 A2 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(74)
