	voice Midi Diff								present		 Best		Sec

printNotes: i= 118-<2497 2482  15>,  	F#2 --  1/16th.( 49) <      > 	V 47 - M 49	= -2  %-4  	q= -2  %-4  	 0.267(79)
printNotes: i= 119-<2584 2584    >,  	 G2 --    1/4th(131) <      > 	V123 - M115	= +8  %+7  	q= -8  %-7  	 0.708(79)
printNotes: i= 120-<2896 2812  84>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)


silence
printNotes: i= 121-<   0   40 -40>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i= 122-<2588 2584   4>,  	 G2 --   1/4th.(196) <      > 	V201 - M196	= +5  %+2  	q= +5  %+2  	 1.161(79)
printNotes: i= 123-<2594 2584  10>,  	 G2 --    1/4th(131) <      > 	V131 - M131	=  +  %+0  	q=  +  %+0  	 0.755(79)<-- same note


silence
printNotes: i= 124-<   0   40 -40>,  	Slc --    1/4th(131) <2*sela> 	V163 - M196	=-33  %-20  	q=+32  %+20  	 0.940(79)
printNotes: i= 125-<1773 2094 -321>,  	 D2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(79)
printNotes: i= 126-<2562 2812 -250>,  	 A2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(79)
printNotes: i= 127-<2579 2584  -5>,  	 G2 -- 1/16th..( 57) <      > 	V 53 - M 49	= +4  %+8  	q= -4  %-8  	 0.302(79)
printNotes: i= 128-<2610 2584  26>,  	 G2 -- 1/16th..( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(79)<-- same note
printNotes: i= 129-<2176 2482 -306>,  	F#2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 130-<1974 2482 -508>,  	F#2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)<-- same note
printNotes: i= 131-<2576 2584  -8>,  	 G2 --    1/8th( 65) <      > 	V 71 - M 65	= +6  %+8  	q= +6  %+8  	 0.406(79)
printNotes: i= 132-<2739 2812 -73>,  	 A2 --    1/8th( 65) <      > 	V 72 - M 65	= +7  %+10  	q= +7  %+10  	 0.412(79)
printNotes: i= 133-<1386 2584 -1198>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)
printNotes: i= 134-<2263 2584 -321>,  	 G2 --    1/8th( 65) <      > 	V 62 - M 65	= -3  %-5  	q= -3  %-5  	 0.354(79)<-- same note
printNotes: i= 135-<2803 2812  -9>,  	 A2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(79)
printNotes: i= 136-<2602 2584  18>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 137-<2808 2812  -4>,  	 A2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(79)
printNotes: i= 138-<3005 3084 -79>,  	 C3 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(79)
printNotes: i= 139-<2797 2812 -15>,  	 A2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(79)
printNotes: i= 140-<3092 3084   8>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(79)


silence
printNotes: i= 141-< 567   40 527>,  	Slc --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(79)
printNotes: i= 142-<2831 2812  19>,  	 A2 -- 1/16th..( 57) <      > 	V 55 - M 57	= -2  %-4  	q= -2  %-4  	 0.313(79)
printNotes: i= 143-<2587 2584   3>,  	 G2 --   1/4th.(196) <-1*sela> 	V165 - M196	=-31  %-19  	q=-31  %-19  	 0.952(79)
printNotes: i= 144-<2496 2482  14>,  	F#2 --    1/8th( 65) <      > 	V 80 - M 65	=+15  %+19  	q=+15  %+19  	 0.459(79)
printNotes: i= 145-<2581 2584  -3>,  	 G2 -- 1/16th..( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(79)
printNotes: i= 146-<2488 2482   6>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(79)
printNotes: i= 147-<2588 2584   4>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 148-<2487 2482   5>,  	F#2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 149-<2734 2812 -78>,  	 A2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(79)
printNotes: i= 150-<2496 2482  14>,  	F#2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 151-<1513 2584 -1071>,  	 G2 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(79)
printNotes: i= 152-<1843 2215 -372>,  	Ek2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 153-< 586 2482 -1896>,  	F#2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(79)
printNotes: i= 154-<2231 2215  16>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 155-<2472 2482 -10>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 156-<2220 2215   5>,  	Ek2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(79)
printNotes: i= 157-<2481 2482  -1>,  	F#2 --    1/4th(131) <      > 	V136 - M131	= +5  %+4  	q= +5  %+4  	 0.784(79)
printNotes: i= 158-<2233 2215  18>,  	Ek2 --    1/4th(131) <      > 	V125 - M131	= -6  %-5  	q= -6  %-5  	 0.720(79)
printNotes: i= 159-<2140 2094  46>,  	 D2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 160-<2637 2584  53>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)


silence
printNotes: i= 161-<   0   40 -40>,  	Slc --   half..(458) <      > 	V460 - M398	=+62  %+13  	q= +2  %+0  	 2.664(79)<-----%13   %0

printNotes: i= 162-<1918 1884  34>,  	 C2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 163-< 624 2482 -1858>,  	F#2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(79)
printNotes: i= 164-<2285 2584 -299>,  	 G2 --    1/4th(131) <      > 	V131 - M131	=  +  %+0  	q=  +  %+0  	 0.755(79)
printNotes: i= 165-<1503 2584 -1081>,  	 G2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)<-- same note
printNotes: i= 166-<2584 2584    >,  	 G2 --  1/16th.( 49) <      > 	V 46 - M 49	= -3  %-7  	q= -3  %-7  	 0.261(79)<-- same note
printNotes: i= 167-<2484 2482   2>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 168-<2573 2584 -11>,  	 G2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
printNotes: i= 169-<2763 2812 -49>,  	 A2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 170-<2613 2584  29>,  	 G2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)
printNotes: i= 171-<2472 2482 -10>,  	F#2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 172-<2593 2584   9>,  	 G2 -- 1/32nd..( 29) <      > 	V 27 - M 25	= +2  %+7  	q= -2  %-7  	 0.151(79)
printNotes: i= 173-<2795 2812 -17>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(79)
printNotes: i= 174-<2618 2584  34>,  	 G2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(79)
printNotes: i= 175-<2041 2812 -771>,  	 A2 --    1/8th( 65) <      > 	V 71 - M 65	= +6  %+8  	q= +6  %+8  	 0.406(79)
printNotes: i= 176-<2167 2584 -417>,  	 G2 --  1/16th.( 49) <      > 	V 44 - M 49	= -5  %-11  	q= -5  %-11  	 0.250(79)
