	voice Midi Diff								present		 Best		Sec

printNotes: i= 166-<2076 2105 -29>,  	 D2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 167-<2240 2242  -2>,  	Ek2 --  1/8th..(117) <      > 	V116 - M117	= -1  %-1  	q= -1  %-1  	 0.668(77)
printNotes: i= 168-<2242 2242    >,  	Ek2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(77)<-- same note
printNotes: i= 169-< 814 1902 -1088>,  	 C2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 170-<1543 2105 -562>,  	 D2 --    1/8th( 67) <      > 	V 78 - M 67	=+11  %+14  	q=+11  %+14  	 0.447(77)
printNotes: i= 171-<2192 2242 -50>,  	Ek2 --    half.(401) <-2*sela> 	V354 - M401	=-47  %-13  	q=-47  %-13  	 2.049(77)
printNotes: i= 172-< 976 2105 -1129>,  	 D2 --  1/16th.( 50) <      > 	V 51 - M 50	= +1  %+2  	q= +1  %+2  	 0.290(77)
printNotes: i= 173-<2248 2242   6>,  	Ek2 --    1/4th(134) <      > 	V145 - M134	=+11  %+8  	q=+11  %+8  	 0.836(77)
printNotes: i= 174-<2103 2105  -2>,  	 D2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 175-<1962 2242 -280>,  	Ek2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(77)
printNotes: i= 176-<2228 2242 -14>,  	Ek2 --  1/16th.( 50) <      > 	V 50 - M 50	=  +  %+0  	q=  +  %+0  	 0.284(77)<-- same note
