	voice Midi Diff								present		 Best		Sec

printNotes: i= 136-<2299 2582 -283>,  	 G2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(93)
printNotes: i= 137-<2745 3053 -308>,  	 C3 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(93)
printNotes: i= 138-<2440 2467 -27>,  	F#2 --    1/4th(111) <1*sela> 	V135 - M111	=+24  %+18  	q=+24  %+18  	 0.778(93)
printNotes: i= 139-<2059 2860 -801>,  	Bb2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(93)
printNotes: i= 140-<2498 2582 -84>,  	 G2 -- 1/16th..( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(93)
printNotes: i= 141-<2761 3053 -292>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(93)
printNotes: i= 142-<2825 2860 -35>,  	Bb2 --    1/8th( 56) <      > 	V 67 - M 56	=+11  %+16  	q=+11  %+16  	 0.383(93)
printNotes: i= 143-<1785 2467 -682>,  	F#2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 144-<2586 2582   4>,  	 G2 --  1/8th..( 97) <      > 	V 95 - M 97	= -2  %-2  	q= -2  %-2  	 0.546(93)
printNotes: i= 145-<2794 2789   5>,  	 A2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)


silence
printNotes: i= 146-<  51   40  11>,  	Slc --    whole(445) <2*sela> 	V478 - M445	=+33  %+7  	q=+33  %+7  	 2.769(93)
printNotes: i= 147-<2543 2467  76>,  	F#2 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(93)
printNotes: i= 148-<1648 2582 -934>,  	 G2 --   1/8th.( 83) <      > 	V 75 - M 83	= -8  %-11  	q= -8  %-11  	 0.430(93)
printNotes: i= 149-<2140 2789 -649>,  	 A2 --  1/8th..( 97) <      > 	V101 - M 97	= +4  %+4  	q= +4  %+4  	 0.580(93)
printNotes: i= 150-<2864 2860   4>,  	Bb2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(93)
printNotes: i= 151-<2795 2789   6>,  	 A2 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(93)
printNotes: i= 152-<2873 2860  13>,  	Bb2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(93)
printNotes: i= 153-<2575 2789 -214>,  	 A2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(93)
printNotes: i= 154-<2859 3053 -194>,  	 C3 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(93)
printNotes: i= 155-<2367 2582 -215>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(93)
printNotes: i= 156-<2481 2467  14>,  	F#2 --   1/4th.(167) <-1*sela> 	V140 - M111	=+29  %+21  	q=-27  %-19  	 0.807(93)
printNotes: i= 157-<2573 2582  -9>,  	 G2 --    1/8th( 56) <      > 	V 65 - M 56	= +9  %+14  	q= +9  %+14  	 0.372(93)
printNotes: i= 158-<2778 2789 -11>,  	 A2 --   1/8th.( 83) <      > 	V 89 - M 83	= +6  %+7  	q= +6  %+7  	 0.511(93)
printNotes: i= 159-<2901 3053 -152>,  	 C3 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(93)
printNotes: i= 160-<2892 2860  32>,  	Bb2 -- 1/16th..( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(93)
printNotes: i= 161-<3051 3053  -2>,  	 C3 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(93)
printNotes: i= 162-<2792 2789   3>,  	 A2 --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(93)
printNotes: i= 163-<2870 2860  10>,  	Bb2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(93)
printNotes: i= 164-<2199 2582 -383>,  	 G2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i= 165-<2656 3053 -397>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(93)
printNotes: i= 166-<2465 2789 -324>,  	 A2 --   1/8th.( 83) <      > 	V 89 - M 83	= +6  %+7  	q= +6  %+7  	 0.511(93)
printNotes: i= 167-<2773 2789 -16>,  	 A2 --    1/4th(111) <      > 	V111 - M111	=  +  %+0  	q=  +  %+0  	 0.639(93)<-- same note
printNotes: i= 168-< 977 2860 -1883>,  	Bb2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(93)
printNotes: i= 169-<2731 2789 -58>,  	 A2 --    1/4th(111) <      > 	V115 - M111	= +4  %+3  	q= +4  %+3  	 0.662(93)


silence
printNotes: i= 170-<   0   40 -40>,  	Slc --    1/4th(111) <      > 	V120 - M445	=-325  %-271  	q= +9  %+8  	 0.691(93)<-----%271   %8

printNotes: i= 171-<2069 1889 180>,  	 C2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(93)
printNotes: i= 172-<2782 2860 -78>,  	Bb2 --  1/16th.( 42) <      > 	V 45 - M 42	= +3  %+7  	q= +3  %+7  	 0.255(93)
printNotes: i= 173-<2774 2789 -15>,  	 A2 --  1/8th..( 97) <      > 	V 97 - M 97	=  +  %+0  	q=  +  %+0  	 0.557(93)
printNotes: i= 174-< 852 2789 -1937>,  	 A2 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(93)<-- same note
printNotes: i= 175-<2858 2860  -2>,  	Bb2 --    1/8th( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(93)
printNotes: i= 176-<2785 2789  -4>,  	 A2 --  1/8th..( 97) <      > 	V 94 - M 97	= -3  %-3  	q= -3  %-3  	 0.540(93)
