	voice Midi Diff								present		 Best		Sec

printNotes: i= 106-<2798 2799  -1>,  	 A2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)
printNotes: i= 107-<2858 2860  -2>,  	Bb2 --  1/64th.( 15) <      > 	V 13 - M 10	= +3  %+23  	q= -2  %-15  	 0.070(66)
printNotes: i= 108-<2828 2799  29>,  	 A2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 109-<3100 3055  45>,  	 C3 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 110-<2868 2860   8>,  	Bb2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 111-<3130 3055  75>,  	 C3 --  1/64th.( 15) <      > 	V 12 - M 15	= -3  %-25  	q= -3  %-25  	 0.064(66)
printNotes: i= 112-<2859 2860  -1>,  	Bb2 --  1/32nd.( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(66)
printNotes: i= 113-<2823 2799  24>,  	 A2 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(66)
printNotes: i= 114-<2884 2860  24>,  	Bb2 --   1/16th( 39) <      > 	V 37 - M 39	= -2  %-5  	q= -2  %-5  	 0.209(66)
printNotes: i= 115-<3047 3055  -8>,  	 C3 --  1/32nd.( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(66)
printNotes: i= 116-<3263 3255   8>,  	 D3 --  1/64th.( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(66)
printNotes: i= 117-<3088 3055  33>,  	 C3 --  1/32nd.( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(66)
printNotes: i= 118-<2885 2860  25>,  	Bb2 --  1/32nd.( 29) <      > 	V 26 - M 29	= -3  %-12  	q= -3  %-12  	 0.145(66)
printNotes: i= 119-<2765 2799 -34>,  	 A2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 120-<2823 2860 -37>,  	Bb2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 121-<2615 2586  29>,  	 G2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(66)
printNotes: i= 122-<2834 2860 -26>,  	Bb2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(66)
printNotes: i= 123-<2805 2799   6>,  	 A2 --  1/16th.( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(66)
printNotes: i= 124-<2869 2860   9>,  	Bb2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 125-<2506 2586 -80>,  	 G2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(66)
printNotes: i= 126-<2880 2860  20>,  	Bb2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)
printNotes: i= 127-<2803 2799   4>,  	 A2 --  1/8th..(138) <      > 	V143 - M138	= +5  %+3  	q= +5  %+3  	 0.824(66)
printNotes: i= 128-< 862 2860 -1998>,  	Bb2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(66)
printNotes: i= 129-<2107 2799 -692>,  	 A2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(66)


silence
printNotes: i= 130-<  61   40  21>,  	Slc --    whole(629) <      > 	V612 - M794	=-182  %-30  	q=-17  %-3  	 3.547(66)<-----%30   %3

printNotes: i= 131-<2490 2462  28>,  	F#2 --   128th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(66)
printNotes: i= 132-<1900 2860 -960>,  	Bb2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(66)
printNotes: i= 133-<2811 2799  12>,  	 A2 --    1/8th( 79) <      > 	V 93 - M 79	=+14  %+15  	q=+14  %+15  	 0.534(66)
printNotes: i= 134-< 654 2586 -1932>,  	 G2 --   1/16th( 39) <      > 	V 44 - M 39	= +5  %+11  	q= +5  %+11  	 0.250(66)
printNotes: i= 135-<2861 2860   1>,  	Bb2 -- 1/16th..( 69) <      > 	V 69 - M 69	=  +  %+0  	q=  +  %+0  	 0.395(66)
printNotes: i= 136-<2448 2799 -351>,  	 A2 --    1/4th(157) <      > 	V151 - M157	= -6  %-4  	q= -6  %-4  	 0.871(66)
printNotes: i= 137-<1001 3055 -2054>,  	 C3 --  128th..(  9) <      > 	V  9 - M 10	= -1  %-11  	q=  +  %+0  	 0.046(66)
printNotes: i= 138-<2726 2799 -73>,  	 A2 --   1/16th( 39) <      > 	V 39 - M 39	=  +  %+0  	q=  +  %+0  	 0.221(66)
printNotes: i= 139-<2800 2799   1>,  	 A2 -- 1/32nd..( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(66)<-- same note
printNotes: i= 140-<1364 3055 -1691>,  	 C3 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(66)
printNotes: i= 141-<2647 2799 -152>,  	 A2 --    1/8th( 79) <      > 	V 93 - M 79	=+14  %+15  	q=+14  %+15  	 0.534(66)


silence
printNotes: i= 142-<   0   40 -40>,  	Slc --  1/16th.( 59) <      > 	V 52 - M165	=-113  %-217  	q= -7  %-13  	 0.296(66)<-----%217   %13

printNotes: i= 143-<1924 1862  62>,  	 C2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(66)
