	voice Midi Diff								present		 Best		Sec

printNotes: i= 129-<1156 1883 -727>,  	 C2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 130-<2094 2083  11>,  	 D2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 131-<2575 2583  -8>,  	 G2 --   1/8th.( 92) <      > 	V 87 - M 92	= -5  %-6  	q= -5  %-6  	 0.499(84)
printNotes: i= 132-<2583 2849 -266>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)


silence
printNotes: i= 133-<2636   40 2596>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 134-<2578 2583  -5>,  	 G2 --  1/8th..(107) <      > 	V100 - M 92	= +8  %+8  	q= -7  %-7  	 0.575(84)
printNotes: i= 135-<2582 2583  -1>,  	 G2 --   1/4th.(184) <      > 	V184 - M184	=  +  %+0  	q=  +  %+0  	 1.062(84)<-- same note
printNotes: i= 136-<2611 2849 -238>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 137-<2584 2583   1>,  	 G2 --    1/4th(122) <      > 	V125 - M122	= +3  %+2  	q= +3  %+2  	 0.720(84)
printNotes: i= 138-<2822 2849 -27>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(84)
printNotes: i= 139-<2585 2583   2>,  	 G2 --   1/8th.( 92) <-1*sela> 	V 77 - M 61	=+16  %+21  	q=-15  %-19  	 0.441(84)
printNotes: i= 140-<2827 2849 -22>,  	Bb2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 141-<2587 2583   4>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(84)
printNotes: i= 142-<2418 2458 -40>,  	F#2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 143-<1990 2219 -229>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i= 144-<2017 2583 -566>,  	 G2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(84)
printNotes: i= 145-<2451 2458  -7>,  	F#2 --  1/16th.( 46) <      > 	V 39 - M 46	= -7  %-18  	q= -7  %-18  	 0.221(84)
printNotes: i= 146-<2576 2583  -7>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 147-<2838 2849 -11>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(84)
printNotes: i= 148-<2373 2458 -85>,  	F#2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(84)
printNotes: i= 149-<2329 2583 -254>,  	 G2 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(84)
printNotes: i= 150-<2452 2458  -6>,  	F#2 -- 1/16th..( 54) <      > 	V 50 - M 46	= +4  %+8  	q= -4  %-8  	 0.284(84)
printNotes: i= 151-<2582 2583  -1>,  	 G2 -- 1/16th..( 54) <      > 	V 52 - M 54	= -2  %-4  	q= -2  %-4  	 0.296(84)
printNotes: i= 152-<2462 2458   4>,  	F#2 --    1/8th( 61) <      > 	V 75 - M 61	=+14  %+19  	q=+14  %+19  	 0.430(84)
printNotes: i= 153-<2560 2583 -23>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 154-<2464 2458   6>,  	F#2 --    1/8th( 61) <      > 	V 73 - M 61	=+12  %+16  	q=+12  %+16  	 0.418(84)
printNotes: i= 155-<2570 2583 -13>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 46	= -3  %-7  	q= -3  %-7  	 0.244(84)
printNotes: i= 156-<2454 2458  -4>,  	F#2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 157-<2493 2583 -90>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(84)
printNotes: i= 158-<2221 2219   2>,  	Ek2 --    1/4th(122) <1*sela> 	V145 - M153	= -8  %-6  	q=+23  %+16  	 0.836(84)
