	voice Midi Diff								present		 Best		Sec

printNotes: i= 120-<1952 1921  31>,  	Dk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 121-<2202 2277 -75>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 122-<1904 1921 -17>,  	Dk2 --  1/16th.( 44) <      > 	V 47 - M 44	= +3  %+6  	q= +3  %+6  	 0.267(88)
printNotes: i= 123-<1781 1785  -4>,  	 C2 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(88)
printNotes: i= 124-<1807 1785  22>,  	 C2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(88)<-- same note
printNotes: i= 125-<1924 1921   3>,  	Dk2 --   1/8th.( 88) <      > 	V 76 - M 88	=-12  %-16  	q=-12  %-16  	 0.435(88)
printNotes: i= 126-<1791 1785   6>,  	 C2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 127-<2026 2071 -45>,  	Eb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 128-<1813 1785  28>,  	 C2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(88)
printNotes: i= 129-<1685 1685    >,  	 B1 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 130-<1802 1785  17>,  	 C2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 131-<1871 1921 -50>,  	Dk2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 132-<1689 1685   4>,  	 B1 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 133-<1837 1785  52>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 134-<1686 1685   1>,  	 B1 --   1/8th.( 88) <      > 	V 83 - M 88	= -5  %-6  	q= -5  %-6  	 0.476(88)
printNotes: i= 135-<1792 1785   7>,  	 C2 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(88)
printNotes: i= 136-<1910 1921 -11>,  	Dk2 -- 1/16th..( 51) <      > 	V 48 - M 44	= +4  %+8  	q= -3  %-6  	 0.273(88)
printNotes: i= 137-<1775 1785 -10>,  	 C2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 138-<1908 1921 -13>,  	Dk2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 139-<1791 1785   6>,  	 C2 --   1/4th.(176) <      > 	V166 - M176	=-10  %-6  	q=-10  %-6  	 0.958(88)
printNotes: i= 140-<1686 1685   1>,  	 B1 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(88)
printNotes: i= 141-<1788 1785   3>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 142-<1711 1685  26>,  	 B1 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)


silence
printNotes: i= 143-<   0   40 -40>,  	Slc --    whole(470) <      > 	V457 - M475	=-18  %-4  	q=-13  %-3  	 2.647(88)
printNotes: i= 144-<1529 1427 102>,  	Ak1 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(88)
printNotes: i= 145-<1695 1785 -90>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 146-<1565 1427 138>,  	Ak1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)
printNotes: i= 147-<1727 1785 -58>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 148-<1699 1685  14>,  	 B1 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(88)
printNotes: i= 149-<1869 1921 -52>,  	Dk2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 150-<1234 1685 -451>,  	 B1 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 151-<1766 1785 -19>,  	 C2 --   1/8th.( 88) <      > 	V 91 - M 88	= +3  %+3  	q= +3  %+3  	 0.522(88)
printNotes: i= 152-<1934 1921  13>,  	Dk2 --  1/8th..(103) <      > 	V 97 - M103	= -6  %-6  	q= -6  %-6  	 0.557(88)
printNotes: i= 153-<1799 1785  14>,  	 C2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(88)
