	voice Midi Diff								present		 Best		Sec

printNotes: i= 162-<2407 2399   8>,  	 A2 --   1/4th.(177) <-1*sela> 	V150 - M177	=-27  %-18  	q=-27  %-18  	 0.865(88)
printNotes: i= 163-<2895 2887   8>,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)


silence
printNotes: i= 164-<   0   40 -40>,  	Slc --   whole.(707) <-4*sela> 	V646 - M707	=-61  %-9  	q=-61  %-9  	 3.744(88)
printNotes: i= 165-<2142 1985 157>,  	 F2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(88)
printNotes: i= 166-<2853 2887 -34>,  	 D3 --  1/8th..(103) <      > 	V103 - M103	=  +  %+0  	q=  +  %+0  	 0.592(88)
printNotes: i= 167-<2681 2667  14>,  	 C3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 168-<1297 2887 -1590>,  	 D3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)
printNotes: i= 169-<2477 2667 -190>,  	 C3 --    1/4th(118) <1*sela> 	V135 - M118	=+17  %+13  	q=+17  %+13  	 0.778(88)
printNotes: i= 170-<2483 2470  13>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(88)
printNotes: i= 171-<1879 2399 -520>,  	 A2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(88)
printNotes: i= 172-<2175 2470 -295>,  	Bb2 --   1/4th.(177) <-1*sela> 	V158 - M177	=-19  %-12  	q=-19  %-12  	 0.911(88)
printNotes: i= 173-<2413 2399  14>,  	 A2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(88)
printNotes: i= 174-<2519 2470  49>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(88)


silence
printNotes: i= 175-<   0   40 -40>,  	Slc --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
