	voice Midi Diff								present		 Best		Sec

printNotes: i= 96-<2183 2242 -59>,  	 G2 --   1/4th.(191) <      > 	V191 - M191	=  +  %+0  	q=  +  %+0  	 1.103(81)<-- same note
printNotes: i= 97-<2262 2242  20>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 98-<1830 2242 -412>,  	 G2 --    1/4th(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(81)<-- same note
printNotes: i= 99-<2222 2242 -20>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 100-<1851 2242 -391>,  	 G2 --   1/4th.(191) <      > 	V191 - M191	=  +  %+0  	q=  +  %+0  	 1.103(81)<-- same note
printNotes: i= 101-<2216 2242 -26>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 102-<2011 2242 -231>,  	 G2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note


silence
printNotes: i= 103-<   0   40 -40>,  	Slc --    1/4th(127) <      > 	V137 - M127	=+10  %+7  	q=+10  %+7  	 0.789(81)
printNotes: i= 104-<2039 2032   7>,  	 F2 --  1/32nd.( 24) <      > 	V 25 - M 48	=-23  %-92  	q= +1  %+4  	 0.139(81)<-----%92   %4

printNotes: i= 105-<1290 1933 -643>,  	 E2 --    1/8th( 64) <      > 	V 76 - M 16	=+60  %+79  	q=+12  %+16  	 0.435(81)<-----%79   %16

printNotes: i= 106-<2210 2242 -32>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 107-<2242 2242    >,  	 G2 --   1/8th.( 96) <      > 	V 96 - M 96	=  +  %+0  	q=  +  %+0  	 0.551(81)<-- same note
printNotes: i= 108-<2247 2242   5>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 109-<2235 2242  -7>,  	 G2 --  1/4th..(223) <      > 	V231 - M255	=-24  %-10  	q= +8  %+3  	 1.335(81)<-- same note<-----%10   %3

printNotes: i= 110-<2590 2542  48>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 111-<2410 2442 -32>,  	 A2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

printNotes: i= 112-<2242 2242    >,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 113-<2054 2032  22>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 114-<1969 1933  36>,  	 E2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 115-<1765 1740  25>,  	 D2 --  1/16th.( 48) <      > 	V 49 - M 64	=-15  %-31  	q= +1  %+2  	 0.279(81)<-----%31   %2

printNotes: i= 116-<2034 2032   2>,  	 F2 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(81)<-----%22   %17

printNotes: i= 117-<1957 1933  24>,  	 E2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 118-<2003 2032 -29>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 119-<1945 1933  12>,  	 E2 --   1/4th.(191) <      > 	V195 - M255	=-60  %-31  	q= +4  %+2  	 1.126(81)<-----%31   %2

printNotes: i= 120-<1773 1740  33>,  	 D2 --    1/8th( 64) <      > 	V 73 - M 96	=-23  %-32  	q= +9  %+12  	 0.418(81)<-----%32   %12

printNotes: i= 121-<2041 2032   9>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 122-<1955 1933  22>,  	 E2 --   1/16th( 32) <      > 	V 31 - M 16	=+15  %+48  	q= -1  %-3  	 0.174(81)<-----%48   %3

printNotes: i= 123-<1698 1740 -42>,  	 D2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 124-<1546 1538   8>,  	 C2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 125-<1424 1438 -14>,  	 B1 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 126-<1604 1538  66>,  	 C2 --    1/8th( 64) <      > 	V 65 - M 64	= +1  %+2  	q= +1  %+2  	 0.372(81)


silence
printNotes: i= 127-<   0   40 -40>,  	Slc --    half.(382) <      > 	V390 - M382	= +8  %+2  	q= +8  %+2  	 2.258(81)
printNotes: i= 128-<1520 1538 -18>,  	 C2 --  1/16th.( 48) <      > 	V 46 - M 64	=-18  %-39  	q= -2  %-4  	 0.261(81)<-----%39   %4

printNotes: i= 129-<2006 2242 -236>,  	 G2 --   whole.(764) <-5*sela> 	V678 - M 64	=+614  %+91  	q=-86  %-13  	 3.930(81)<-----%91   %13

printNotes: i= 130-<2240 2242  -2>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
