	voice Midi Diff								present		 Best		Sec

printNotes: i= 80-<2738 2709  29>,  	 C3 --    128th(  4) <      > 	V  4 - M 33	=-29  %-725  	q=  +  %+0  	 0.017(78)<-----%725   %0 <<

printNotes: i= 81-<2572 2609 -37>,  	 B2 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(78)
printNotes: i= 82-<2690 2709 -19>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

printNotes: i= 83-<2424 2429  -5>,  	 A2 --  1/16th.( 49) <      > 	V 45 - M 33	=+12  %+27  	q= -4  %-9  	 0.255(78)<-----%27   %9

printNotes: i= 84-<2532 2609 -77>,  	 B2 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

printNotes: i= 85-<2257 2230  27>,  	 G2 --    1/8th( 66) <      > 	V 72 - M 99	=-27  %-38  	q= +6  %+8  	 0.412(78)<-----%38   %8

printNotes: i= 86-<2462 2429  33>,  	 A2 --    1/8th( 66) <      > 	V 65 - M 49	=+16  %+25  	q= -1  %-2  	 0.372(78)<-----%25   %2

printNotes: i= 87-<2506 2526 -20>,  	Bb2 --  1/32nd.( 25) <      > 	V 23 - M 16	= +7  %+30  	q= -2  %-9  	 0.128(78)<-----%30   %9

printNotes: i= 88-<2429 2429    >,  	 A2 --  1/16th.( 49) <      > 	V 51 - M 33	=+18  %+35  	q= +2  %+4  	 0.290(78)<-----%35   %4

printNotes: i= 89-<2509 2526 -17>,  	Bb2 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(78)
printNotes: i= 90-<2431 2429   2>,  	 A2 --   1/16th( 33) <      > 	V 37 - M 16	=+21  %+57  	q= +4  %+11  	 0.209(78)<-----%57   %11

printNotes: i= 91-<2535 2526   9>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(78)
printNotes: i= 92-<2268 2230  38>,  	 G2 --   1/4th.(198) <      > 	V189 - M264	=-75  %-40  	q= -9  %-5  	 1.091(78)<-----%40   %5



silence
printNotes: i= 93-<  27   40 -13>,  	Slc --    whole(527) <7*sela> 	V644 - M330	=+314  %+49  	q=+117  %+18  	 3.733(78)<-----%49   %18

printNotes: i= 94-<1402 1526 -124>,  	 C2 --   1/32nd( 16) <      > 	V 19 - M 22	= -3  %-16  	q= +3  %+16  	 0.104(78)
printNotes: i= 95-<1987 2024 -37>,  	 F2 --  1/16th.( 49) <      > 	V 43 - M 22	=+21  %+49  	q= -6  %-14  	 0.244(78)<-----%49   %14

printNotes: i= 96-<2236 2230   6>,  	 G2 --   1/16th( 33) <      > 	V 36 - M 44	= -8  %-22  	q= +3  %+8  	 0.203(78)<-----%22   %8

printNotes: i= 97-<2418 2429 -11>,  	 A2 --  1/16th.( 49) <      > 	V 48 - M 44	= +4  %+8  	q= -1  %-2  	 0.273(78)<-----%8   %2

printNotes: i= 98-<2529 2566 -37>,  	Bk2 --   1/4th.(198) <-1*sela> 	V181 - M198	=-17  %-9  	q=-17  %-9  	 1.045(78)
