	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<1716 1914 -198>,  	 E2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 89-<2224 2237 -13>,  	 G2 --  1/32nd.( 24) <      > 	V 20 - M 32	=-12  %-60  	q= -4  %-20  	 0.110(80)<-----%60   %20

printNotes: i= 90-<2089 2026  63>,  	 F2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(80)<-----%300   %0 <<

printNotes: i= 91-<1934 1914  20>,  	 E2 --   1/8th.( 97) <      > 	V 88 - M 48	=+40  %+45  	q= -9  %-10  	 0.505(80)<-----%45   %10

printNotes: i= 92-<2015 2026 -11>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
printNotes: i= 93-<1779 1914 -135>,  	 E2 --  1/16th.( 48) <      > 	V 49 - M 16	=+33  %+67  	q= +1  %+2  	 0.279(80)<-----%67   %2

printNotes: i= 94-<1723 1724  -1>,  	 D2 -- 1/16th..( 57) <      > 	V 55 - M 65	=-10  %-18  	q= -2  %-4  	 0.313(80)<-----%18   %4

printNotes: i= 95-<1916 1914   2>,  	 E2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 96-<1746 1724  22>,  	 D2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(80)<-----%10   %3

printNotes: i= 97-<1967 2026 -59>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 48	=-30  %-167  	q= +2  %+11  	 0.099(80)<-----%167   %11



silence
printNotes: i= 98-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 48 - M 16	=+32  %+67  	q=  +  %+0  	 0.273(80)<-----%67   %0

printNotes: i= 99-< 537 1515 -978>,  	 C2 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(80)<-----%22   %17

printNotes: i= 100-<1511 1515  -4>,  	 C2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 101-<1731 1724   7>,  	 D2 --  1/4th..(226) <      > 	V218 - M259	=-41  %-19  	q= -8  %-4  	 1.260(80)<-----%19   %4



silence
printNotes: i= 102-<   0   40 -40>,  	Slc --  1/4th..(226) <      > 	V225 - M259	=-34  %-15  	q= -1  %-0  	 1.300(80)<-----%15   %0

printNotes: i= 103-<1767 1724  43>,  	 D2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(80)
printNotes: i= 104-<2393 2424 -31>,  	 A2 --    1/4th(129) <      > 	V130 - M162	=-32  %-25  	q= +1  %+1  	 0.749(80)<-----%25   %1

printNotes: i= 105-<2462 2715 -253>,  	 C3 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)


silence
printNotes: i= 106-<   0   40 -40>,  	Slc --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(80)
printNotes: i= 107-<2080 2237 -157>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
printNotes: i= 108-< 957 2026 -1069>,  	 F2 --  1/16th.( 48) <      > 	V 52 - M 16	=+36  %+69  	q= +4  %+8  	 0.296(80)<-----%69   %8

printNotes: i= 109-<1917 1914   3>,  	 E2 --    1/4th(129) <1*sela> 	V145 - M259	=-114  %-79  	q=+16  %+11  	 0.836(80)<-----%79   %11

printNotes: i= 110-<1720 1724  -4>,  	 D2 --   1/16th( 32) <      > 	V 37 - M 65	=-28  %-76  	q= +5  %+14  	 0.209(80)<-----%76   %14

printNotes: i= 111-<1513 1515  -2>,  	 C2 --  1/8th..(113) <      > 	V107 - M129	=-22  %-21  	q= -6  %-6  	 0.615(80)<-----%21   %6

printNotes: i= 112-<1047 1724 -677>,  	 D2 --    1/8th( 65) <      > 	V 70 - M 32	=+38  %+54  	q= +5  %+7  	 0.401(80)<-----%54   %7

printNotes: i= 113-<1967 2026 -59>,  	 F2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(80)
printNotes: i= 114-<1916 1914   2>,  	 E2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(80)<-----%23   %8 <<

printNotes: i= 115-<2072 2026  46>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 116-<1942 1914  28>,  	 E2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 117-<1749 1724  25>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 118-<1935 1914  21>,  	 E2 --    1/4th(129) <1*sela> 	V149 - M129	=+20  %+13  	q=+20  %+13  	 0.859(80)


silence
printNotes: i= 119-<   0   40 -40>,  	Slc --  1/4th..(226) <      > 	V219 - M259	=-40  %-18  	q= -7  %-3  	 1.265(80)<-----%18   %3

printNotes: i= 120-<1114 1515 -401>,  	 C2 --    1/8th( 65) <      > 	V 80 - M 65	=+15  %+19  	q=+15  %+19  	 0.459(80)
printNotes: i= 121-<1196 1724 -528>,  	 D2 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(80)<-----%32   %2

printNotes: i= 122-<1565 1914 -349>,  	 E2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 123-<1697 1724 -27>,  	 D2 --    1/4th(129) <      > 	V127 - M129	= -2  %-2  	q= -2  %-2  	 0.731(80)
printNotes: i= 124-<1911 1914  -3>,  	 E2 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(80)<-----%26   %12

printNotes: i= 125-<1753 1724  29>,  	 D2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(80)<-----%52   %14

printNotes: i= 126-<1907 1914  -7>,  	 E2 --  1/16th.( 48) <      > 	V 50 - M 48	= +2  %+4  	q= +2  %+4  	 0.284(80)
printNotes: i= 127-<1988 2026 -38>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 128-<1936 1914  22>,  	 E2 --    1/8th( 65) <      > 	V 73 - M 32	=+41  %+56  	q= +8  %+11  	 0.418(80)<-----%56   %11

printNotes: i= 129-<2025 2026  -1>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(80)<-----%60   %20 <<

printNotes: i= 130-<1935 1914  21>,  	 E2 --    128th(  4) <      > 	V  4 - M 32	=-28  %-700  	q=  +  %+0  	 0.017(80)<-----%700   %0 <<

printNotes: i= 131-<1902 1914 -12>,  	 E2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(80)<-- same note<-----%167   %0 <<

printNotes: i= 132-<2075 2026  49>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(80)<-----%129   %0 <<

printNotes: i= 133-<1902 1914 -12>,  	 E2 --   128th.(  6) <      > 	V  6 - M 32	=-26  %-433  	q=  +  %+0  	 0.029(80)<-----%433   %0 <<

printNotes: i= 134-<1054 1724 -670>,  	 D2 --  1/16th.( 48) <      > 	V 44 - M 32	=+12  %+27  	q= -4  %-9  	 0.250(80)<-----%27   %9

printNotes: i= 135-<1460 1515 -55>,  	 C2 --     half(259) <2*sela> 	V294 - M259	=+35  %+12  	q=+35  %+12  	 1.701(80)


silence
printNotes: i= 136-<   0   40 -40>,  	Slc --   whole.(776) <-6*sela> 	V680 - M517	=+163  %+24  	q=-96  %-14  	 3.942(80)<-----%24   %14

printNotes: i= 137-<1472 1515 -43>,  	 C2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(80)<-----%24   %14

printNotes: i= 138-<2201 2237 -36>,  	 G2 --   1/8th.( 97) <      > 	V 97 - M 65	=+32  %+33  	q=  +  %+0  	 0.557(80)<-----%33   %0

printNotes: i= 139-<2349 2367 -18>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(80)<-----%191   %9 <<

