	voice Midi Diff								present		 Best		Sec

printNotes: i= 109-<2284 2294 -10>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 110-<2468 2494 -26>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(88)<-----%50   %10 <<

printNotes: i= 111-<2288 2294  -6>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 112-<2491 2494  -3>,  	 G2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(88)<-----%275   %0 <<

printNotes: i= 113-<2628 2642 -14>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 114-<2446 2494 -48>,  	 G2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 115-<2637 2642  -5>,  	Ak2 --  1/16th.( 44) <      > 	V 47 - M 29	=+18  %+38  	q= +3  %+6  	 0.267(88)<-----%38   %6

printNotes: i= 116-<2511 2494  17>,  	 G2 --  1/32nd.( 22) <      > 	V 23 - M 39	=-16  %-70  	q= +1  %+4  	 0.128(88)<-----%70   %4

printNotes: i= 117-<2634 2642  -8>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 39	=-10  %-34  	q=  +  %+0  	 0.163(88)<-----%34   %0

printNotes: i= 118-<2495 2494   1>,  	 G2 --  1/4th..(205) <      > 	V205 - M273	=-68  %-33  	q=  +  %+0  	 1.184(88)<-----%33   %0

printNotes: i= 119-<2699 2642  57>,  	Ak2 --    1/8th( 58) <      > 	V 64 - M 58	= +6  %+9  	q= +6  %+9  	 0.366(88)


silence
printNotes: i= 120-<   0   40 -40>,  	Slc --    half.(351) <-1*sela> 	V329 - M292	=+37  %+11  	q=-22  %-7  	 1.904(88)<-----%11   %7

printNotes: i= 121-<2158 2294 -136>,  	 F2 --    1/8th( 58) <      > 	V 64 - M 58	= +6  %+9  	q= +6  %+9  	 0.366(88)
