	voice Midi Diff								present		 Best		Sec

printNotes: i= 124-<1850 1802  48>,  	 C2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 125-<2192 2180  12>,  	 E2 --    1/4th(118) <1*sela> 	V143 - M206	=-63  %-44  	q=+25  %+17  	 0.824(88)<-----%44   %17

printNotes: i= 126-<1971 1929  42>,  	Dk2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 127-<1949 2180 -231>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 128-<1745 1802 -57>,  	 C2 --   1/4th.(177) <-1*sela> 	V158 - M177	=-19  %-12  	q=-19  %-12  	 0.911(88)


silence
printNotes: i= 129-<   0   40 -40>,  	Slc --   1/8th.( 88) <      > 	V 82 - M 59	=+23  %+28  	q= -6  %-7  	 0.470(88)<-----%28   %7

printNotes: i= 130-<1380 1455 -75>,  	Ak1 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 131-<1928 1929  -1>,  	Dk2 --    1/4th(118) <      > 	V128 - M118	=+10  %+8  	q=+10  %+8  	 0.737(88)
printNotes: i= 132-<2180 2180    >,  	 E2 --   1/4th.(177) <-1*sela> 	V155 - M118	=+37  %+24  	q=-22  %-14  	 0.894(88)<-----%24   %14

printNotes: i= 133-<2499 2494   5>,  	 G2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(88)
printNotes: i= 134-<2300 2295   5>,  	 F2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 135-<2462 2494 -32>,  	 G2 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(88)<-----%114   %0 <<

printNotes: i= 136-<2329 2295  34>,  	 F2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 137-<2196 2180  16>,  	 E2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 138-<2327 2295  32>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 139-<2205 2180  25>,  	 E2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 140-<1970 1929  41>,  	Dk2 -- 1/32nd..( 26) <      > 	V 27 - M 15	=+12  %+44  	q= +1  %+4  	 0.151(88)<-----%44   %4

printNotes: i= 141-<2151 2180 -29>,  	 E2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 142-<1989 1929  60>,  	Dk2 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 143-<1817 1802  15>,  	 C2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(88)<-----%42   %0

printNotes: i= 144-<1970 1929  41>,  	Dk2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 145-<1814 1802  12>,  	 C2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(88)
printNotes: i= 146-<1923 1929  -6>,  	Dk2 --     half(236) <-1*sela> 	V221 - M236	=-15  %-7  	q=-15  %-7  	 1.277(88)
printNotes: i= 147-<1834 1802  32>,  	 C2 --   1/8th.( 88) <      > 	V 75 - M 29	=+46  %+61  	q=-13  %-17  	 0.430(88)<-----%61   %17



silence
printNotes: i= 148-<   0   40 -40>,  	Slc --   1/8th.( 88) <      > 	V 77 - M 88	=-11  %-14  	q=-11  %-14  	 0.441(88)
printNotes: i= 149-<1339 1455 -116>,  	Ak1 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(88)<-----%26   %4

printNotes: i= 150-<1902 1929 -27>,  	Dk2 -- 1/16th..( 52) <      > 	V 53 - M 88	=-35  %-66  	q= +1  %+2  	 0.302(88)<-----%66   %2

