	voice Midi Diff								present		 Best		Sec

printNotes: i= 117-<2244 2253  -9>,  	Eb3 --    1/8th( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(80)
printNotes: i= 118-<2180 2172   8>,  	 D3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 119-<2028 2253 -225>,  	Eb3 --     half(257) <1*sela> 	V274 - M257	=+17  %+6  	q=+17  %+6  	 1.585(80)
printNotes: i= 120-<1304 1757 -453>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 121-<2250 2253  -3>,  	Eb3 --    1/4th(129) <      > 	V132 - M129	= +3  %+2  	q= +3  %+2  	 0.760(80)
printNotes: i= 122-<2155 2172 -17>,  	 D3 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(80)
printNotes: i= 123-<2246 2253  -7>,  	Eb3 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(80)
printNotes: i= 124-< 331 2172 -1841>,  	 D3 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(80)
printNotes: i= 125-<2079 2253 -174>,  	Eb3 --  1/8th..(113) <      > 	V113 - M113	=  +  %+0  	q=  +  %+0  	 0.650(80)
printNotes: i= 126-<2258 2253   5>,  	Eb3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(80)<-- same note
printNotes: i= 127-<2250 2253  -3>,  	Eb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)<-- same note
printNotes: i= 128-<2252 2253  -1>,  	Eb3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)<-- same note
printNotes: i= 129-< 967 2172 -1205>,  	 D3 --    1/8th( 64) <      > 	V 63 - M 64	= -1  %-2  	q= -1  %-2  	 0.360(80)
printNotes: i= 130-<2447 2454  -7>,  	 F3 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 131-<2253 2253    >,  	Eb3 --    1/8th( 64) <      > 	V 74 - M 64	=+10  %+14  	q=+10  %+14  	 0.424(80)
printNotes: i= 132-<2250 2253  -3>,  	Eb3 --   1/8th.( 96) <      > 	V 96 - M 96	=  +  %+0  	q=  +  %+0  	 0.551(80)<-- same note
printNotes: i= 133-<2245 2253  -8>,  	Eb3 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(80)<-- same note
printNotes: i= 134-<2157 2172 -15>,  	 D3 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 135-<2252 2253  -1>,  	Eb3 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 136-<2198 2172  26>,  	 D3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 137-<2439 2454 -15>,  	 F3 --  1/16th.( 48) <      > 	V 51 - M 48	= +3  %+6  	q= +3  %+6  	 0.290(80)
printNotes: i= 138-<2306 2253  53>,  	Eb3 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 139-<2151 2172 -21>,  	 D3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 140-<2230 2253 -23>,  	Eb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 141-<1618 1956 -338>,  	 C3 --    1/8th( 64) <      > 	V 79 - M 64	=+15  %+19  	q=+15  %+19  	 0.453(80)


silence
printNotes: i= 142-<   0   40 -40>,  	Slc --    whole(514) <      > 	V512 - M521	= -9  %-2  	q= -2  %-0  	 2.966(80)
printNotes: i= 143-<1512 1453  59>,  	 G2 --  1/32nd.( 24) <      > 	V 22 - M 24	= -2  %-9  	q= -2  %-9  	 0.122(80)
printNotes: i= 144-<1973 1956  17>,  	 C3 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 145-<2431 2454 -23>,  	 F3 --  1/16th.( 48) <      > 	V 46 - M 48	= -2  %-4  	q= -2  %-4  	 0.261(80)
printNotes: i= 146-<2217 2253 -36>,  	Eb3 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(80)
