	voice Midi Diff								present		 Best		Sec

printNotes: i= 133-<1980 1957  23>,  	 C3 --    1/8th( 36) <      > 	V 40 - M 36	= +4  %+10  	q= +4  %+10  	 0.226(142)


silence
printNotes: i= 134-<   0   40 -40>,  	Slc --  1/4th..(128) <      > 	V125 - M 73	=+52  %+42  	q= -3  %-2  	 0.720(142)<-----%42   %2

printNotes: i= 135-<1790 1611 179>,  	Ak2 --  1/32nd.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(142)
printNotes: i= 136-<2346 2452 -106>,  	 F3 --  1/16th.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(142)
printNotes: i= 137-<2258 2243  15>,  	Eb3 --    1/8th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(142)
printNotes: i= 138-<2139 2170 -31>,  	 D3 -- 1/32nd..( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(142)
printNotes: i= 139-<2266 2243  23>,  	Eb3 --   1/16th( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(142)
printNotes: i= 140-<1935 1957 -22>,  	 C3 --     half(146) <      > 	V150 - M146	= +4  %+3  	q= +4  %+3  	 0.865(142)
printNotes: i= 141-<1604 1751 -147>,  	Bb2 --    1/8th( 36) <      > 	V 34 - M 36	= -2  %-6  	q= -2  %-6  	 0.192(142)
printNotes: i= 142-<1641 1611  30>,  	Ak2 --    1/8th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(142)
printNotes: i= 143-<1950 1957  -7>,  	 C3 --     half(146) <      > 	V142 - M146	= -4  %-3  	q= -4  %-3  	 0.819(142)
printNotes: i= 144-<1522 2243 -721>,  	Eb3 -- 1/32nd..( 16) <      > 	V 15 - M 14	= +1  %+7  	q= -1  %-7  	 0.081(142)
printNotes: i= 145-<1915 1957 -42>,  	 C3 -- 1/16th..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(142)


silence
printNotes: i= 146-<   0   40 -40>,  	Slc --    1/4th( 73) <      > 	V 73 - M 36	=+37  %+51  	q=  +  %+0  	 0.418(142)<-----%51   %0

printNotes: i= 147-<1618 1611   7>,  	Ak2 --  1/32nd.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(142)
printNotes: i= 148-<1763 1751  12>,  	Bb2 --    1/8th( 36) <      > 	V 40 - M 36	= +4  %+10  	q= +4  %+10  	 0.226(142)
printNotes: i= 149-<1935 1957 -22>,  	 C3 --  1/16th.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(142)
printNotes: i= 150-<2134 2170 -36>,  	 D3 --  1/16th.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(142)
printNotes: i= 151-<2284 2243  41>,  	Eb3 --  1/16th.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(142)
printNotes: i= 152-<2440 2452 -12>,  	 F3 --  1/16th.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(142)
printNotes: i= 153-<2276 2243  33>,  	Eb3 -- 1/16th..( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(142)
printNotes: i= 154-<2151 2170 -19>,  	 D3 --  1/16th.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(142)
printNotes: i= 155-<2279 2243  36>,  	Eb3 --   1/16th( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(142)
printNotes: i= 156-<1992 1957  35>,  	 C3 --    1/8th( 36) <      > 	V 37 - M 36	= +1  %+3  	q= +1  %+3  	 0.209(142)
printNotes: i= 157-<2411 2452 -41>,  	 F3 --   1/32nd(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(142)
printNotes: i= 158-<2353 1957 396>,  	 C3 --    128th(  2) <      > 	V  1 - M  2	= -1  %-100  	q= -1  %-100  	 0.000(142)


silence
printNotes: i= 159-< 509   40 469>,  	Slc --   1/32nd(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(142)
printNotes: i= 160-<1837 1957 -120>,  	 C3 -- 1/32nd..( 16) <      > 	V 15 - M 14	= +1  %+7  	q= -1  %-7  	 0.081(142)
printNotes: i= 161-<2239 2243  -4>,  	Eb3 --    whole(292) <7*sela> 	V355 - M346	= +9  %+3  	q=+63  %+18  	 2.055(142)
printNotes: i= 162-<2180 2170  10>,  	 D3 -- 1/64th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(142)
printNotes: i= 163-<2279 2243  36>,  	Eb3 --   1/8th.( 55) <      > 	V 47 - M 55	= -8  %-17  	q= -8  %-17  	 0.267(142)
printNotes: i= 164-<1755 2452 -697>,  	 F3 --  1/64th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(142)
printNotes: i= 165-<2282 2243  39>,  	Eb3 --    1/4th( 73) <1*sela> 	V 87 - M 73	=+14  %+16  	q=+14  %+16  	 0.499(142)


silence
printNotes: i= 166-<   0   40 -40>,  	Slc --   1/8th.( 55) <      > 	V 47 - M 58	=-11  %-23  	q= -8  %-17  	 0.267(142)<-----%23   %17

printNotes: i= 167-<1679 1611  68>,  	Ak2 --   1/16th( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(142)
printNotes: i= 168-<2120 2170 -50>,  	 D3 --  1/16th.( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(142)
printNotes: i= 169-<2245 2243   2>,  	Eb3 --   1/16th( 18) <      > 	V 17 - M 16	= +1  %+6  	q= -1  %-6  	 0.093(142)
printNotes: i= 170-<2166 2170  -4>,  	 D3 -- 1/32nd..( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(142)
printNotes: i= 171-<2249 2243   6>,  	Eb3 --    1/8th( 36) <      > 	V 37 - M 36	= +1  %+3  	q= +1  %+3  	 0.209(142)
printNotes: i= 172-<2189 2170  19>,  	 D3 --   1/32nd(  9) <      > 	V 10 - M  9	= +1  %+10  	q= +1  %+10  	 0.052(142)
printNotes: i= 173-<2332 2452 -120>,  	 F3 --  128th..(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(142)
printNotes: i= 174-<2239 2243  -4>,  	Eb3 -- 1/16th..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(142)
printNotes: i= 175-<2461 2452   9>,  	 F3 -- 1/32nd..( 16) <      > 	V 15 - M 16	= -1  %-7  	q= -1  %-7  	 0.081(142)
