	voice Midi Diff								present		 Best		Sec

printNotes: i= 111-<1850 1957 -107>,  	 C3 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 112-<1751 1743   8>,  	Bb2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(77)
printNotes: i= 113-<1619 1604  15>,  	Ak2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 114-<1748 1743   5>,  	Bb2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 115-<1616 1604  12>,  	Ak2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 116-<1716 1743 -27>,  	Bb2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)
printNotes: i= 117-<1612 1604   8>,  	Ak2 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(77)
printNotes: i= 118-<1485 1472  13>,  	 G2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 119-<1660 1743 -83>,  	Bb2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 120-<1490 1472  18>,  	 G2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(77)
printNotes: i= 121-<1682 1743 -61>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 122-<1462 1472 -10>,  	 G2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(77)
printNotes: i= 123-<1251 1264 -13>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 124-<1457 1472 -15>,  	 G2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 125-<1311 1264  47>,  	 F2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(77)
printNotes: i= 126-<1456 1472 -16>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 127-<1262 1264  -2>,  	 F2 --  1/16th.( 50) <      > 	V 42 - M 50	= -8  %-19  	q= -8  %-19  	 0.238(77)
printNotes: i= 128-<1455 1472 -17>,  	 G2 --    1/8th( 67) <      > 	V 71 - M 67	= +4  %+6  	q= +4  %+6  	 0.406(77)
printNotes: i= 129-<1575 1604 -29>,  	Ak2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 130-<1487 1472  15>,  	 G2 -- 1/16th..( 58) <      > 	V 54 - M 50	= +4  %+7  	q= -4  %-7  	 0.308(77)
printNotes: i= 131-<1268 1264   4>,  	 F2 -- 1/16th..( 58) <      > 	V 55 - M 58	= -3  %-5  	q= -3  %-5  	 0.313(77)


silence
printNotes: i= 132-<   0   40 -40>,  	Slc --   1/4th.(200) <      > 	V216 - M140	=+76  %+35  	q=+16  %+7  	 1.248(77)<-----%35   %7

printNotes: i= 133-<1095 1064  31>,  	Eb2 --  1/64th.( 13) <      > 	V  9 - M 13	= -4  %-44  	q= -4  %-44  	 0.046(77)
printNotes: i= 134-<1174 1264 -90>,  	 F2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(77)
printNotes: i= 135-<1630 1743 -113>,  	Bb2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 136-<1632 1604  28>,  	Ak2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(77)
printNotes: i= 137-<1013 1743 -730>,  	Bb2 -- 1/16th..( 58) <      > 	V 56 - M 58	= -2  %-4  	q= -2  %-4  	 0.319(77)
printNotes: i= 138-<1952 1957  -5>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 139-<1016 1743 -727>,  	Bb2 -- 1/16th..( 58) <      > 	V 55 - M 58	= -3  %-5  	q= -3  %-5  	 0.313(77)
printNotes: i= 140-<1617 1604  13>,  	Ak2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 141-<1006 1743 -737>,  	Bb2 --    1/8th( 67) <      > 	V 69 - M 67	= +2  %+3  	q= +2  %+3  	 0.395(77)
printNotes: i= 142-<1465 1472  -7>,  	 G2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(77)
printNotes: i= 143-<1580 1604 -24>,  	Ak2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(77)
printNotes: i= 144-<1466 1472  -6>,  	 G2 --  1/8th..(117) <      > 	V111 - M117	= -6  %-5  	q= -6  %-5  	 0.639(77)
printNotes: i= 145-<1586 1604 -18>,  	Ak2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i= 146-<1712 1743 -31>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 147-<1472 1472    >,  	 G2 --  1/16th.( 50) <      > 	V 47 - M 50	= -3  %-6  	q= -3  %-6  	 0.267(77)
printNotes: i= 148-<1611 1604   7>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)
printNotes: i= 149-<1685 1743 -58>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 150-<1501 1472  29>,  	 G2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(77)
printNotes: i= 151-<1655 1743 -88>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 152-<1487 1472  15>,  	 G2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(77)


silence
printNotes: i= 153-<   0   40 -40>,  	Slc -- 1/16th..( 58) <      > 	V 62 - M 67	= -5  %-8  	q= +4  %+6  	 0.354(77)
printNotes: i= 154-<1282 1264  18>,  	 F2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(77)
printNotes: i= 155-<1487 1472  15>,  	 G2 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(77)
printNotes: i= 156-<1597 1604  -7>,  	Ak2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(77)
printNotes: i= 157-<1713 1743 -30>,  	Bb2 --  1/64th.( 13) <      > 	V  9 - M 13	= -4  %-44  	q= -4  %-44  	 0.046(77)
printNotes: i= 158-<1613 1604   9>,  	Ak2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(77)
printNotes: i= 159-<1495 1472  23>,  	 G2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
