	voice Midi Diff								present		 Best		Sec

printNotes: i= 90-< 850 1597 -747>,  	Ak2 -- 1/16th..( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(79)<-- same note
printNotes: i= 91-<1177 1461 -284>,  	 G2 --  1/16th.( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(79)
printNotes: i= 92-<1726 1733  -7>,  	Bb2 --   1/8th.( 98) <      > 	V 98 - M 98	=  +  %+0  	q=  +  %+0  	 0.563(79)
printNotes: i= 93-<1576 1597 -21>,  	Ak2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(79)
printNotes: i= 94-<1483 1461  22>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(79)
printNotes: i= 95-<1025 1597 -572>,  	Ak2 --   1/8th.( 98) <      > 	V 89 - M 98	= -9  %-10  	q= -9  %-10  	 0.511(79)
printNotes: i= 96-< 431 1733 -1302>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i= 97-<1608 1597  11>,  	Ak2 --    1/4th(131) <      > 	V141 - M131	=+10  %+7  	q=+10  %+7  	 0.813(79)


silence
printNotes: i= 98-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 69 - M 73	= -4  %-6  	q= +4  %+6  	 0.395(79)
printNotes: i= 99-< 769 1461 -692>,  	 G2 --  1/16th.( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(79)
printNotes: i= 100-<1586 1597 -11>,  	Ak2 --  1/16th.( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(79)
printNotes: i= 101-<1485 1461  24>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 102-<1287 1597 -310>,  	Ak2 --   1/8th.( 98) <      > 	V 85 - M 98	=-13  %-15  	q=-13  %-15  	 0.488(79)
printNotes: i= 103-<1311 1733 -422>,  	Bb2 --    1/8th( 65) <      > 	V 75 - M 65	=+10  %+13  	q=+10  %+13  	 0.430(79)
printNotes: i= 104-<1953 1954  -1>,  	 C3 --   1/4th.(196) <      > 	V205 - M196	= +9  %+4  	q= +9  %+4  	 1.184(79)
printNotes: i= 105-<1613 2377 -764>,  	 E3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 106-<1838 1954 -116>,  	 C3 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 107-<2193 2177  16>,  	 D3 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(79)


silence
printNotes: i= 108-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 75 - M 78	= -3  %-4  	q=+10  %+13  	 0.430(79)
printNotes: i= 109-<1539 1461  78>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(79)
printNotes: i= 110-<1791 1833 -42>,  	 B2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(79)
printNotes: i= 111-<1713 1733 -20>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 112-<1742 1733   9>,  	Bb2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(79)<-- same note
printNotes: i= 113-<1952 1954  -2>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 114-<1955 1954   1>,  	 C3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)<-- same note
printNotes: i= 115-<1980 1954  26>,  	 C3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)<-- same note
printNotes: i= 116-<2198 2177  21>,  	 D3 --  1/16th.( 49) <      > 	V 43 - M 49	= -6  %-14  	q= -6  %-14  	 0.244(79)
printNotes: i= 117-<1931 1954 -23>,  	 C3 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 118-<2114 2177 -63>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(79)
printNotes: i= 119-<1771 1733  38>,  	Bb2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(79)
printNotes: i= 120-<1965 1954  11>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 121-<1636 1597  39>,  	Ak2 --    1/8th( 65) <      > 	V 63 - M 65	= -2  %-3  	q= -2  %-3  	 0.360(79)
printNotes: i= 122-<1457 1461  -4>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 123-<1535 1597 -62>,  	Ak2 --   1/4th.(196) <      > 	V190 - M196	= -6  %-3  	q= -6  %-3  	 1.097(79)


silence
printNotes: i= 124-<   0   40 -40>,  	Slc --    1/8th( 65) <      > 	V 74 - M 67	= +7  %+9  	q= +9  %+12  	 0.424(79)
printNotes: i= 125-<1586 1597 -11>,  	Ak2 --  1/16th.( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(79)
printNotes: i= 126-<1745 1733  12>,  	Bb2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(79)
printNotes: i= 127-<1770 1733  37>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)<-- same note
printNotes: i= 128-<1622 1597  25>,  	Ak2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 129-<1707 1733 -26>,  	Bb2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)
printNotes: i= 130-<1912 1954 -42>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)
printNotes: i= 131-<1640 1597  43>,  	Ak2 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(79)
printNotes: i= 132-<1746 1733  13>,  	Bb2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(79)
printNotes: i= 133-<1621 1597  24>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(79)
printNotes: i= 134-<1740 1733   7>,  	Bb2 --   1/4th.(196) <      > 	V190 - M196	= -6  %-3  	q= -6  %-3  	 1.097(79)
printNotes: i= 135-<1584 1597 -13>,  	Ak2 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(79)
printNotes: i= 136-<1484 1461  23>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 137-<1608 1597  11>,  	Ak2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(79)
printNotes: i= 138-<1741 1733   8>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 139-<1470 1461   9>,  	 G2 -- 1/16th..( 57) <      > 	V 59 - M 57	= +2  %+3  	q= +2  %+3  	 0.337(79)
printNotes: i= 140-<1598 1597   1>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(79)
printNotes: i= 141-<1476 1461  15>,  	 G2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(79)
printNotes: i= 142-<1613 1597  16>,  	Ak2 -- 1/16th..( 57) <      > 	V 56 - M 57	= -1  %-2  	q= -1  %-2  	 0.319(79)
printNotes: i= 143-<1183 1954 -771>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(79)
printNotes: i= 144-<1440 1597 -157>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(79)


silence
printNotes: i= 145-<   0   40 -40>,  	Slc --   1/8th.( 98) <      > 	V 86 - M133	=-47  %-55  	q=-12  %-14  	 0.493(79)<-----%55   %14

printNotes: i= 146-<1501 1461  40>,  	 G2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(79)
printNotes: i= 147-<1566 1597 -31>,  	Ak2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(79)
printNotes: i= 148-<1726 1733  -7>,  	Bb2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 149-<1605 1597   8>,  	Ak2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(79)
printNotes: i= 150-<1735 1733   2>,  	Bb2 --    1/4th(131) <      > 	V129 - M131	= -2  %-2  	q= -2  %-2  	 0.743(79)
printNotes: i= 151-<1533 1461  72>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i= 152-<1615 1597  18>,  	Ak2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 153-<1449 1461 -12>,  	 G2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(79)
printNotes: i= 154-<1584 1597 -13>,  	Ak2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 155-<1477 1461  16>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 156-<1627 1597  30>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 157-<1461 1461    >,  	 G2 --  1/8th..(114) <      > 	V110 - M114	= -4  %-4  	q= -4  %-4  	 0.633(79)
printNotes: i= 158-<1587 1597 -10>,  	Ak2 --   1/8th.( 98) <      > 	V100 - M 98	= +2  %+2  	q= +2  %+2  	 0.575(79)
printNotes: i= 159-<1501 1461  40>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 160-<1732 1733  -1>,  	Bb2 --  1/8th..(114) <      > 	V116 - M114	= +2  %+2  	q= +2  %+2  	 0.668(79)
printNotes: i= 161-<1954 1954    >,  	 C3 --   1/8th.( 98) <      > 	V101 - M 98	= +3  %+3  	q= +3  %+3  	 0.580(79)
printNotes: i= 162-<2182 2177   5>,  	 D3 --   1/4th.(196) <      > 	V209 - M196	=+13  %+6  	q=+13  %+6  	 1.207(79)
printNotes: i= 163-< 798 1733 -935>,  	Bb2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 164-<1919 1954 -35>,  	 C3 --   1/4th.(196) <-1*sela> 	V175 - M196	=-21  %-12  	q=-21  %-12  	 1.010(79)
printNotes: i= 165-<1905 2277 -372>,  	Eb3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
printNotes: i= 166-<1925 1954 -29>,  	 C3 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)


silence
printNotes: i= 167-<   0   40 -40>,  	Slc --    1/8th( 65) <1*sela> 	V 81 - M 65	=+16  %+20  	q=+16  %+20  	 0.464(79)
printNotes: i= 168-<1328 1261  67>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(79)
printNotes: i= 169-<1688 1733 -45>,  	Bb2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(79)
printNotes: i= 170-<1591 1597  -6>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 171-<1730 1733  -3>,  	Bb2 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(79)
printNotes: i= 172-<1857 1954 -97>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(79)
printNotes: i= 173-<1634 1597  37>,  	Ak2 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(79)
printNotes: i= 174-<1751 1733  18>,  	Bb2 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(79)
printNotes: i= 175-<1901 1954 -53>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(79)
