	voice Midi Diff								present		 Best		Sec

printNotes: i= 83-<2252 2355 -103>,  	 E3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 84-<1978 1972   6>,  	 C3 --  1/16th.( 44) <      > 	V 41 - M 44	= -3  %-7  	q= -3  %-7  	 0.232(87)
printNotes: i= 85-<2274 2355 -81>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 86-<2171 2185 -14>,  	 D3 --    1/8th( 59) <      > 	V 64 - M 59	= +5  %+8  	q= +5  %+8  	 0.366(87)
printNotes: i= 87-<2246 2270 -24>,  	Eb3 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(87)
printNotes: i= 88-<2187 2185   2>,  	 D3 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(87)
printNotes: i= 89-<2253 2270 -17>,  	Eb3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 90-<2173 2185 -12>,  	 D3 --  1/16th.( 44) <      > 	V 42 - M 44	= -2  %-5  	q= -2  %-5  	 0.238(87)
printNotes: i= 91-<2274 2355 -81>,  	 E3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 92-<1907 1972 -65>,  	 C3 --     half(237) <1*sela> 	V256 - M237	=+19  %+7  	q=+19  %+7  	 1.480(87)


silence
printNotes: i= 93-<   0   40 -40>,  	Slc --   2whole(947) <1*sela> 	V970 - M947	=+23  %+2  	q=+23  %+2  	 5.625(87)
printNotes: i= 94-<1818 1762  56>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 95-<2344 2462 -118>,  	 F3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
