	voice Midi Diff								present		 Best		Sec

printNotes: i= 78-<1593 1601  -8>,  	Ak2 --  1/16th.( 40) <      > 	V 34 - M 27	= +7  %+21  	q= -6  %-18  	 0.192(97)
printNotes: i= 79-<1745 1746  -1>,  	Bb2 --     half(214) <      > 	V206 - M214	= -8  %-4  	q= -8  %-4  	 1.190(97)
printNotes: i= 80-<1244 1957 -713>,  	 C3 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(97)
printNotes: i= 81-<1717 1746 -29>,  	Bb2 --   1/16th( 27) <      > 	V 32 - M 27	= +5  %+16  	q= +5  %+16  	 0.180(97)


silence
printNotes: i= 82-<   0   40 -40>,  	Slc --  1/8th..( 93) <      > 	V 99 - M112	=-13  %-13  	q= +6  %+6  	 0.569(97)<-----%13   %6

printNotes: i= 83-<1306 1275  31>,  	 F2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)
printNotes: i= 84-<1584 1601 -17>,  	Ak2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(97)
printNotes: i= 85-<1455 1475 -20>,  	 G2 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(97)
printNotes: i= 86-<1591 1601 -10>,  	Ak2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(97)
printNotes: i= 87-<1736 1746 -10>,  	Bb2 --  1/16th.( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(97)
printNotes: i= 88-<1681 1696 -15>,  	As2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(97)
printNotes: i= 89-<1762 1746  16>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(97)
printNotes: i= 90-<1772 1746  26>,  	Bb2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)<-- same note
printNotes: i= 91-<1734 1696  38>,  	As2 -- 1/16th..( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(97)
printNotes: i= 92-<1880 1957 -77>,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(97)
printNotes: i= 93-<1735 1746 -11>,  	Bb2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(97)
printNotes: i= 94-<1740 1746  -6>,  	Bb2 --   1/16th( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(97)<-- same note
printNotes: i= 95-<1942 1957 -15>,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(97)
printNotes: i= 96-<1730 1746 -16>,  	Bb2 --   1/8th.( 80) <      > 	V 81 - M 80	= +1  %+1  	q= +1  %+1  	 0.464(97)
printNotes: i= 97-<1917 1957 -40>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)
printNotes: i= 98-<1732 1746 -14>,  	Bb2 --  1/8th..( 93) <      > 	V 99 - M 93	= +6  %+6  	q= +6  %+6  	 0.569(97)
printNotes: i= 99-<1649 1601  48>,  	Ak2 --  1/32nd.( 20) <      > 	V 21 - M 20	= +1  %+5  	q= +1  %+5  	 0.116(97)
printNotes: i= 100-<1952 1957  -5>,  	 C3 --    1/8th( 53) <      > 	V 56 - M 53	= +3  %+5  	q= +3  %+5  	 0.319(97)
printNotes: i= 101-<2256 2256    >,  	Eb3 --   1/32nd( 13) <      > 	V 16 - M 13	= +3  %+19  	q= +3  %+19  	 0.087(97)
printNotes: i= 102-<1955 1957  -2>,  	 C3 --  1/16th.( 40) <      > 	V 42 - M 40	= +2  %+5  	q= +2  %+5  	 0.238(97)
printNotes: i= 103-<1714 1746 -32>,  	Bb2 --   1/16th( 27) <      > 	V 25 - M 23	= +2  %+8  	q= -2  %-8  	 0.139(97)
printNotes: i= 104-<1574 1601 -27>,  	Ak2 --   1/16th( 27) <      > 	V 25 - M 23	= +2  %+8  	q= -2  %-8  	 0.139(97)
printNotes: i= 105-<1487 1475  12>,  	 G2 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(97)
printNotes: i= 106-<1589 1601 -12>,  	Ak2 --   1/16th( 27) <      > 	V 30 - M 27	= +3  %+10  	q= +3  %+10  	 0.168(97)
printNotes: i= 107-<1707 1746 -39>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(97)
printNotes: i= 108-<1487 1475  12>,  	 G2 --  1/16th.( 40) <      > 	V 36 - M 40	= -4  %-11  	q= -4  %-11  	 0.203(97)
printNotes: i= 109-<1719 1746 -27>,  	Bb2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(97)
printNotes: i= 110-<1489 1475  14>,  	 G2 --  1/16th.( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(97)
printNotes: i= 111-<1741 1746  -5>,  	Bb2 --   1/4th.(160) <      > 	V172 - M160	=+12  %+7  	q=+12  %+7  	 0.993(97)
printNotes: i= 112-<1596 1601  -5>,  	Ak2 --    1/8th( 53) <      > 	V 60 - M 53	= +7  %+12  	q= +7  %+12  	 0.342(97)
printNotes: i= 113-<1500 1475  25>,  	 G2 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(97)
printNotes: i= 114-<1594 1601  -7>,  	Ak2 --  1/8th..( 93) <      > 	V 91 - M 93	= -2  %-2  	q= -2  %-2  	 0.522(97)


silence
printNotes: i= 115-<   0   40 -40>,  	Slc --    1/4th(107) <      > 	V102 - M 91	=+11  %+11  	q= -5  %-5  	 0.586(97)<-----%11   %5

printNotes: i= 116-<1425 1475 -50>,  	 G2 --   1/16th( 27) <      > 	V 32 - M 27	= +5  %+16  	q= +5  %+16  	 0.180(97)
printNotes: i= 117-<1570 1601 -31>,  	Ak2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(97)
