	voice Midi Diff								present		 Best		Sec

printNotes: i= 82-<   0   40 -40>,  	Slc --    1/4th(117) <1*sela> 	V136 - M205	=-69  %-51  	q=+19  %+14  	 0.784(88)<-----%51   %14

printNotes: i= 83-<2437 2675 -238>,  	 C3 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(88)<-----%26   %4

printNotes: i= 84-<1481 2512 -1031>,  	Bb2 --    1/8th( 59) <      > 	V 61 - M 29	=+32  %+52  	q= +2  %+3  	 0.348(88)<-----%52   %3

printNotes: i= 85-<1833 2427 -594>,  	 A2 --    1/8th( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(88)
printNotes: i= 86-<2215 2211   4>,  	 G2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 87-<2218 2427 -209>,  	 A2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 88-<2439 2427  12>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 89-<2501 2512 -11>,  	Bb2 --    1/8th( 59) <      > 	V 56 - M 59	= -3  %-5  	q= -3  %-5  	 0.319(88)
printNotes: i= 90-<2679 2675   4>,  	 C3 --   1/8th.( 88) <      > 	V 78 - M117	=-39  %-50  	q=-10  %-13  	 0.447(88)<-----%50   %13

printNotes: i= 91-<2536 2512  24>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(88)<-----%275   %0 <<

printNotes: i= 92-<2472 2427  45>,  	 A2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(88)<-----%275   %0 <<

printNotes: i= 93-<2543 2512  31>,  	Bb2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 94-<2692 2675  17>,  	 C3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 95-<2493 2512 -19>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 96-<2647 2675 -28>,  	 C3 --   1/8th.( 88) <      > 	V 78 - M 15	=+63  %+81  	q=-10  %-13  	 0.447(88)<-----%81   %13

printNotes: i= 97-<2946 2888  58>,  	 D3 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

printNotes: i= 98-<2516 2512   4>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 39	=-18  %-86  	q= -1  %-5  	 0.116(88)<-----%86   %5

printNotes: i= 99-<2690 2675  15>,  	 C3 --  1/16th.( 44) <      > 	V 37 - M 39	= -2  %-5  	q= -7  %-19  	 0.209(88)
printNotes: i= 100-<2457 2512 -55>,  	Bb2 --   1/16th( 29) <      > 	V 35 - M 39	= -4  %-11  	q= +6  %+17  	 0.197(88)
printNotes: i= 101-<2690 2675  15>,  	 C3 --    1/4th(117) <      > 	V131 - M117	=+14  %+11  	q=+14  %+11  	 0.755(88)
printNotes: i= 102-<2535 2512  23>,  	Bb2 --   1/8th.( 88) <      > 	V 76 - M 88	=-12  %-16  	q=-12  %-16  	 0.435(88)
printNotes: i= 103-<2526 2427  99>,  	 A2 --   1/8th.( 88) <      > 	V 75 - M 44	=+31  %+41  	q=-13  %-17  	 0.430(88)<-----%41   %17



silence
printNotes: i= 104-<   0   40 -40>,  	Slc --    whole(470) <-1*sela> 	V449 - M352	=+97  %+22  	q=-21  %-5  	 2.601(88)<-----%22   %5

printNotes: i= 105-<1788 2675 -887>,  	 C3 --   1/16th( 29) <      > 	V 28 - M 44	=-16  %-57  	q= -1  %-4  	 0.157(88)<-----%57   %4

printNotes: i= 106-<2651 2675 -24>,  	 C3 --    128th(  4) <      > 	V  5 - M 29	=-24  %-480  	q= +1  %+20  	 0.023(88)<-- same note<-----%480   %20 <<

printNotes: i= 107-<1892 2512 -620>,  	Bb2 --   1/8th.( 88) <      > 	V 76 - M 59	=+17  %+22  	q=-12  %-16  	 0.435(88)<-----%22   %16

printNotes: i= 108-<2217 2675 -458>,  	 C3 --    1/8th( 59) <      > 	V 65 - M 59	= +6  %+9  	q= +6  %+9  	 0.372(88)
printNotes: i= 109-<1646 2512 -866>,  	Bb2 --    1/8th( 59) <      > 	V 65 - M 29	=+36  %+55  	q= +6  %+9  	 0.372(88)<-----%55   %9

printNotes: i= 110-<2890 2888   2>,  	 D3 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 111-<2674 2675  -1>,  	 C3 --  1/16th.( 44) <      > 	V 42 - M 39	= +3  %+7  	q= -2  %-5  	 0.238(88)
printNotes: i= 112-<2535 2512  23>,  	Bb2 --   1/16th( 29) <      > 	V 34 - M 39	= -5  %-15  	q= +5  %+15  	 0.192(88)
printNotes: i= 113-<2681 2675   6>,  	 C3 --    1/4th(117) <      > 	V110 - M127	=-17  %-15  	q= -7  %-6  	 0.633(88)<-----%15   %6

printNotes: i= 114-<2836 2888 -52>,  	 D3 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(88)<-----%142   %8 <<

printNotes: i= 115-<2524 2512  12>,  	Bb2 --    1/4th(117) <1*sela> 	V142 - M117	=+25  %+18  	q=+25  %+18  	 0.819(88)
printNotes: i= 116-<2426 2427  -1>,  	 A2 --  1/8th..(103) <      > 	V101 - M 88	=+13  %+13  	q= -2  %-2  	 0.580(88)<-----%13   %2

printNotes: i= 117-<2241 2211  30>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 118-<1982 2427 -445>,  	 A2 --   1/8th.( 88) <      > 	V 85 - M 29	=+56  %+66  	q= -3  %-4  	 0.488(88)<-----%66   %4



silence
printNotes: i= 119-<   0   40 -40>,  	Slc --    half.(352) <-2*sela> 	V322 - M323	= -1  %-0  	q=-30  %-9  	 1.863(88)
printNotes: i= 120-<2312 2675 -363>,  	 C3 --   1/16th( 29) <      > 	V 36 - M 59	=-23  %-64  	q= +7  %+19  	 0.203(88)<-----%64   %19

printNotes: i= 121-<1537 2512 -975>,  	Bb2 --    1/8th( 59) <      > 	V 60 - M 29	=+31  %+52  	q= +1  %+2  	 0.342(88)<-----%52   %2

printNotes: i= 122-<2640 2675 -35>,  	 C3 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(88)<-----%53   %16

printNotes: i= 123-<2538 2512  26>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 124-<2433 2427   6>,  	 A2 --   1/8th.( 88) <      > 	V 82 - M 88	= -6  %-7  	q= -6  %-7  	 0.470(88)
printNotes: i= 125-<2412 2427 -15>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)<-- same note
printNotes: i= 126-<1973 2211 -238>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

printNotes: i= 127-<2246 2427 -181>,  	 A2 --    1/8th( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(88)
printNotes: i= 128-<2501 2512 -11>,  	Bb2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(88)
printNotes: i= 129-<2678 2675   3>,  	 C3 --    1/8th( 59) <      > 	V 58 - M 88	=-30  %-52  	q= -1  %-2  	 0.331(88)<-----%52   %2

printNotes: i= 130-<2547 2512  35>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

printNotes: i= 131-<2310 2427 -117>,  	 A2 --  1/32nd.( 22) <      > 	V 20 - M 29	= -9  %-45  	q= -2  %-10  	 0.110(88)<-----%45   %10

printNotes: i= 132-<2544 2512  32>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(88)<-----%32   %0

printNotes: i= 133-<2645 2675 -30>,  	 C3 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 134-<2523 2512  11>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 135-<2694 2675  19>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(88)<-----%48   %0

printNotes: i= 136-<2931 2888  43>,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 137-<2539 2512  27>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 39	=-19  %-95  	q= -2  %-10  	 0.110(88)<-----%95   %10

printNotes: i= 138-<2662 2675 -13>,  	 C3 --  1/16th.( 44) <      > 	V 39 - M 39	=  +  %+0  	q= -5  %-13  	 0.221(88)
printNotes: i= 139-<2510 2512  -2>,  	Bb2 --   1/16th( 29) <      > 	V 31 - M 39	= -8  %-26  	q= +2  %+6  	 0.174(88)<-----%26   %6

printNotes: i= 140-<2579 2675 -96>,  	 C3 --    1/4th(117) <      > 	V121 - M117	= +4  %+3  	q= +4  %+3  	 0.697(88)
printNotes: i= 141-<2519 2512   7>,  	Bb2 --     half(235) <2*sela> 	V274 - M117	=+157  %+57  	q=+39  %+14  	 1.585(88)<-----%57   %14

printNotes: i= 142-<2493 2427  66>,  	 A2 --  1/32nd.( 22) <      > 	V 21 - M 44	=-23  %-110  	q= -1  %-5  	 0.116(88)<-----%110   %5



silence
printNotes: i= 143-<   0   40 -40>,  	Slc -- 1/16th..( 51) <      > 	V 51 - M117	=-66  %-129  	q=  +  %+0  	 0.290(88)<-----%129   %0

printNotes: i= 144-<1648 2211 -563>,  	 G2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(88)
printNotes: i= 145-<2649 2675 -26>,  	 C3 --    1/8th( 59) <      > 	V 56 - M 59	= -3  %-5  	q= -3  %-5  	 0.319(88)
printNotes: i= 146-<2523 2512  11>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 20	= +4  %+17  	q= -2  %-8  	 0.134(88)<-----%17   %8

printNotes: i= 147-<2409 2427 -18>,  	 A2 --  1/32nd.( 22) <      > 	V 23 - M 19	= +4  %+17  	q= +1  %+4  	 0.128(88)<-----%17   %4

printNotes: i= 148-<2204 2211  -7>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 20	= -1  %-5  	q= -3  %-16  	 0.104(88)
printNotes: i= 149-<2460 2427  33>,  	 A2 --   1/16th( 29) <      > 	V 32 - M 15	=+17  %+53  	q= +3  %+9  	 0.180(88)<-----%53   %9

printNotes: i= 150-<2587 2512  75>,  	Bb2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(88)<-----%21   %16

