	voice Midi Diff								present		 Best		Sec

printNotes: i= 114-<2485 2503 -18>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(90)
printNotes: i= 115-<2703 2680  23>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(90)
printNotes: i= 116-<2420 2420    >,  	 A2 --    1/4th(115) <      > 	V119 - M115	= +4  %+3  	q= +4  %+3  	 0.685(90)
printNotes: i= 117-<2498 2503  -5>,  	Bb2 --    1/4th(115) <      > 	V121 - M115	= +6  %+5  	q= +6  %+5  	 0.697(90)
printNotes: i= 118-<2675 2680  -5>,  	 C3 --  1/8th..(101) <      > 	V 94 - M 86	= +8  %+9  	q= -7  %-7  	 0.540(90)
printNotes: i= 119-<1601 2503 -902>,  	Bb2 -- 1/16th..( 50) <      > 	V 51 - M 29	=+22  %+43  	q= +1  %+2  	 0.290(90)<-----%43   %2

printNotes: i= 120-<2861 2906 -45>,  	 D3 --  1/64th.( 11) <      > 	V 12 - M  7	= +5  %+42  	q= +1  %+8  	 0.064(90)<-----%42   %8 <<

printNotes: i= 121-<2680 2680    >,  	 C3 --  1/32nd.( 22) <      > 	V 21 - M 14	= +7  %+33  	q= -1  %-5  	 0.116(90)<-----%33   %5

printNotes: i= 122-<2764 2906 -142>,  	 D3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(90)
printNotes: i= 123-<2521 2503  18>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 14	= +6  %+30  	q= -2  %-10  	 0.110(90)<-----%30   %10

printNotes: i= 124-<2615 2680 -65>,  	 C3 --  128th..(  6) <      > 	V  6 - M 14	= -8  %-133  	q=  +  %+0  	 0.029(90)<-----%133   %0 <<

printNotes: i= 125-<2423 2420   3>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
