	voice Midi Diff								present		 Best		Sec

printNotes: i= 83-<2219 2217   2>,  	 G2 --    1/8th( 64) <      > 	V 79 - M 97	=-18  %-23  	q=+15  %+19  	 0.453(80)<-----%23   %19

printNotes: i= 84-<2439 2428  11>,  	 A2 -- 1/16th..( 56) <      > 	V 53 - M 64	=-11  %-21  	q= -3  %-6  	 0.302(80)<-----%21   %6

printNotes: i= 85-<2121 2082  39>,  	F#2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(80)<-----%167   %0 <<

printNotes: i= 86-<2244 2217  27>,  	 G2 --    half.(386) <-2*sela> 	V353 - M257	=+96  %+27  	q=-33  %-9  	 2.043(80)<-----%27   %9



silence
printNotes: i= 87-<   0   40 -40>,  	Slc --    whole(515) <4*sela> 	V579 - M515	=+64  %+11  	q=+64  %+11  	 3.355(80)
printNotes: i= 88-<2133 2217 -84>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 89-<2439 2481 -42>,  	Bb2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 90-<2419 2428  -9>,  	 A2 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(80)<-----%45   %9

printNotes: i= 91-<2491 2481  10>,  	Bb2 -- 1/16th..( 56) <      > 	V 56 - M 64	= -8  %-14  	q=  +  %+0  	 0.319(80)<-----%14   %0

printNotes: i= 92-<2429 2428   1>,  	 A2 --  1/8th..(113) <      > 	V113 - M129	=-16  %-14  	q=  +  %+0  	 0.650(80)<-----%14   %0

printNotes: i= 93-<2484 2481   3>,  	Bb2 --    1/4th(129) <      > 	V122 - M129	= -7  %-6  	q= -7  %-6  	 0.702(80)
printNotes: i= 94-<2270 2428 -158>,  	 A2 -- 1/16th..( 56) <      > 	V 55 - M 64	= -9  %-16  	q= -1  %-2  	 0.313(80)<-----%16   %2

printNotes: i= 95-<2684 2695 -11>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 96-<2511 2481  30>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(80)<-----%146   %8 <<

printNotes: i= 97-<2506 2695 -189>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 98-<2456 2481 -25>,  	Bb2 --  1/16th.( 48) <      > 	V 44 - M 26	=+18  %+41  	q= -4  %-9  	 0.250(80)<-----%41   %9

printNotes: i= 99-<2432 2428   4>,  	 A2 --    1/8th( 64) <      > 	V 65 - M 26	=+39  %+60  	q= +1  %+2  	 0.372(80)<-----%60   %2

printNotes: i= 100-<2475 2481  -6>,  	Bb2 --   1/16th( 32) <      > 	V 31 - M 51	=-20  %-65  	q= -1  %-3  	 0.174(80)<-----%65   %3

printNotes: i= 101-<2435 2428   7>,  	 A2 --  1/16th.( 48) <      > 	V 41 - M 52	=-11  %-27  	q= -7  %-17  	 0.232(80)<-----%27   %17

printNotes: i= 102-<2480 2481  -1>,  	Bb2 --   1/16th( 32) <      > 	V 37 - M 51	=-14  %-38  	q= +5  %+14  	 0.209(80)<-----%38   %14

printNotes: i= 103-<2426 2428  -2>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 26	= -7  %-37  	q= +3  %+16  	 0.104(80)<-----%37   %16

