	voice Midi Diff								present		 Best		Sec

printNotes: i= 113-<2087 2077  10>,  	F#2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(90)<-----%142   %8 <<

printNotes: i= 114-<2212 2184  28>,  	 G2 -- 1/32nd..( 25) <      > 	V 26 - M 43	=-17  %-65  	q= +1  %+4  	 0.145(90)<-----%65   %4

printNotes: i= 115-< 505 2184 -1679>,  	 G2 --    1/8th( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(90)<-- same note


silence
printNotes: i= 116-<   0   40 -40>,  	Slc --    128th(  4) <      > 	V  2 - M115	=-113  %-5650  	q= -2  %-100  	 0.006(90)<-----%5650   %100 <<

printNotes: i= 117-<2182 2184  -2>,  	 G2 --   1/8th.( 86) <      > 	V 85 - M 57	=+28  %+33  	q= -1  %-1  	 0.488(90)<-----%33   %1

printNotes: i= 118-<2093 2077  16>,  	F#2 --  1/64th.( 11) <      > 	V  8 - M 14	= -6  %-75  	q= -3  %-38  	 0.041(90)<-----%75   %38 <<

printNotes: i= 119-<1773 2184 -411>,  	 G2 --    1/4th(115) <      > 	V121 - M115	= +6  %+5  	q= +6  %+5  	 0.697(90)
printNotes: i= 120-<1519 1811 -292>,  	Ek2 --    1/8th( 57) <      > 	V 63 - M 29	=+34  %+54  	q= +6  %+10  	 0.360(90)<-----%54   %10

printNotes: i= 121-<1387 1694 -307>,  	 D2 --   1/8th.( 86) <      > 	V 74 - M 57	=+17  %+23  	q=-12  %-16  	 0.424(90)<-----%23   %16

printNotes: i= 122-<1319 2077 -758>,  	F#2 --    1/8th( 57) <      > 	V 59 - M 29	=+30  %+51  	q= +2  %+3  	 0.337(90)<-----%51   %3

printNotes: i= 123-<1777 1811 -34>,  	Ek2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 124-<1933 2027 -94>,  	Fs2 --  1/64th.( 11) <      > 	V 10 - M 14	= -4  %-40  	q= -1  %-10  	 0.052(90)<-----%40   %10 <<

printNotes: i= 125-<1854 1877 -23>,  	 E2 -- 1/32nd..( 25) <      > 	V 23 - M 29	= -6  %-26  	q= -2  %-9  	 0.128(90)<-----%26   %9

printNotes: i= 126-<1695 1694   1>,  	 D2 --   1/32nd( 14) <      > 	V 17 - M 29	=-12  %-71  	q= +3  %+18  	 0.093(90)<-----%71   %18

printNotes: i= 127-<1825 1811  14>,  	Ek2 -- 1/32nd..( 25) <      > 	V 25 - M 29	= -4  %-16  	q=  +  %+0  	 0.139(90)<-----%16   %0

printNotes: i= 128-<2081 2077   4>,  	F#2 --  1/16th.( 43) <      > 	V 38 - M 29	= +9  %+24  	q= -5  %-13  	 0.215(90)<-----%24   %13

printNotes: i= 129-<1823 1811  12>,  	Ek2 --   1/32nd( 14) <      > 	V 14 - M 29	=-15  %-107  	q=  +  %+0  	 0.075(90)<-----%107   %0 <<

printNotes: i= 130-<2106 2077  29>,  	F#2 --    1/8th( 57) <      > 	V 63 - M 57	= +6  %+10  	q= +6  %+10  	 0.360(90)
printNotes: i= 131-<2171 2184 -13>,  	 G2 --  1/16th.( 43) <      > 	V 37 - M 29	= +8  %+22  	q= -6  %-16  	 0.209(90)<-----%22   %16

printNotes: i= 132-<2102 2077  25>,  	F#2 --   1/32nd( 14) <      > 	V 16 - M 29	=-13  %-81  	q= +2  %+12  	 0.087(90)<-----%81   %12 <<

printNotes: i= 133-<2172 2184 -12>,  	 G2 --    1/8th( 57) <      > 	V 67 - M 29	=+38  %+57  	q=+10  %+15  	 0.383(90)<-----%57   %15

printNotes: i= 134-<1944 2077 -133>,  	F#2 --   1/32nd( 14) <      > 	V 14 - M 29	=-15  %-107  	q=  +  %+0  	 0.075(90)<-----%107   %0 <<



silence
printNotes: i= 135-< 878   40 838>,  	Slc --    128th(  4) <      > 	V  4 - M  7	= -3  %-75  	q=  +  %+0  	 0.017(90)<-----%75   %0 <<

printNotes: i= 136-<1702 1811 -109>,  	Ek2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 137-<1745 1694  51>,  	 D2 --     half(229) <1*sela> 	V245 - M229	=+16  %+7  	q=+16  %+7  	 1.416(90)


silence
printNotes: i= 138-<   0   40 -40>,  	Slc --   1/4th.(172) <      > 	V174 - M115	=+59  %+34  	q= +2  %+1  	 1.004(90)<-----%34   %1

printNotes: i= 139-<1659 1694 -35>,  	 D2 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(90)
printNotes: i= 140-<1811 1811    >,  	Ek2 --   1/16th( 29) <      > 	V 34 - M 43	= -9  %-26  	q= +5  %+15  	 0.192(90)<-----%26   %15

printNotes: i= 141-<2047 2077 -30>,  	F#2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(90)
printNotes: i= 142-<1800 1811 -11>,  	Ek2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 143-<1877 2077 -200>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 14	= -4  %-40  	q= -1  %-10  	 0.052(90)<-----%40   %10 <<

printNotes: i= 144-<1806 1811  -5>,  	Ek2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 145-<1874 2077 -203>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 14	= -4  %-40  	q= -1  %-10  	 0.052(90)<-----%40   %10 <<

printNotes: i= 146-<1816 1811   5>,  	Ek2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(90)<-----%21   %4

printNotes: i= 147-<1696 1694   2>,  	 D2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(90)<-----%22   %17

printNotes: i= 148-<1810 1811  -1>,  	Ek2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(90)
printNotes: i= 149-<1687 1694  -7>,  	 D2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 150-<1815 1811   4>,  	Ek2 --    half.(344) <-1*sela> 	V330 - M229	=+101  %+31  	q=-14  %-4  	 1.910(90)<-----%31   %4



silence
printNotes: i= 151-< 303   40 263>,  	Slc --  1/64th.( 11) <      > 	V 12 - M115	=-103  %-858  	q= +1  %+8  	 0.064(90)<-----%858   %8 <<

printNotes: i= 152-<1610 1694 -84>,  	 D2 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(90)
printNotes: i= 153-<1824 1811  13>,  	Ek2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 154-<2071 2077  -6>,  	F#2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(90)
printNotes: i= 155-<2174 2184 -10>,  	 G2 --  1/16th.( 43) <      > 	V 41 - M 29	=+12  %+29  	q= -2  %-5  	 0.232(90)<-----%29   %5

printNotes: i= 156-<2099 2077  22>,  	F#2 --  1/32nd.( 21) <      > 	V 18 - M 14	= +4  %+22  	q= -3  %-17  	 0.099(90)<-----%22   %17

printNotes: i= 157-<2171 2184 -13>,  	 G2 --   1/64th(  7) <      > 	V  7 - M 14	= -7  %-100  	q=  +  %+0  	 0.035(90)<-----%100   %0 <<

printNotes: i= 158-<2067 2077 -10>,  	F#2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 159-<1846 1811  35>,  	Ek2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 160-<2027 2077 -50>,  	F#2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(90)
printNotes: i= 161-<1824 1811  13>,  	Ek2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(90)
printNotes: i= 162-<2087 2077  10>,  	F#2 --  1/4th..(201) <      > 	V202 - M229	=-27  %-13  	q= +1  %+0  	 1.167(90)<-----%13   %0



silence
printNotes: i= 163-<   0   40 -40>,  	Slc --    1/4th(115) <      > 	V119 - M115	= +4  %+3  	q= +4  %+3  	 0.685(90)
