	voice Midi Diff								present		 Best		Sec

printNotes: i= 88-<2205 2188  17>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8

printNotes: i= 89-<2055 2071 -16>,  	F#2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 90-<2201 2188  13>,  	 G2 --    1/4th(125) <      > 	V119 - M 31	=+88  %+74  	q= -6  %-5  	 0.685(83)<-----%74   %5



silence
printNotes: i= 91-<   0   40 -40>,  	Slc --    1/4th(125) <1*sela> 	V142 - M188	=-46  %-32  	q=+17  %+12  	 0.819(83)<-----%32   %12

printNotes: i= 92-<1837 1694 143>,  	 D2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 93-<2402 2480 -78>,  	Bb2 --    1/8th( 63) <      > 	V 63 - M 31	=+32  %+51  	q=  +  %+0  	 0.360(83)<-----%51   %0

printNotes: i= 94-<2393 2405 -12>,  	 A2 --   1/4th.(188) <-1*sela> 	V170 - M188	=-18  %-11  	q=-18  %-11  	 0.981(83)
printNotes: i= 95-<2375 2480 -105>,  	Bb2 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 96-<2796 2689 107>,  	 C3 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(83)<-----%100   %0 <<

printNotes: i= 97-<2484 2480   4>,  	Bb2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

printNotes: i= 98-<2384 2405 -21>,  	 A2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 99-<2200 2188  12>,  	 G2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 100-<2379 2405 -26>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 101-<2300 2480 -180>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 102-<2396 2405  -9>,  	 A2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 103-<2151 2188 -37>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

